Kabupaten/Kota,Realisasi Pendapatan Pemerintah Daerah Menurut Kabupaten/Kota (Ribu Rupiah),,,,,,
,2017,2018,2019,2020,2021,2022,2023
Sulawesi Utara,13264032371,13052652284,-,11886474192,12139237067,11973137697,3332263337
Bolaang Mongondow,1039637391,1028718825,-,951879577,870406519,930448630,178045166
Minahasa,1276079815,1267974997,-,1209033872,1231167680,1111356754,367482774
Kepulauan Sangihe,1078739022,899490548,-,922451692,870614567,878885054,804274622
Kepulauan Talaud,858409290,855858183,862416715,789952778,866369193,869298652,751514647
Minahasa Selatan,976783271,1021645339,972737996,902494272,910042682,892515615,928598322
Minahasa Utara,946497574,927613423,-,874149692,878615460,973066600,332063782
Bolaang Mongondow Utara,679933798,694013341,661376303,644822812,697477511,666002458,626159009
Kepulauan Sitaro,637263939,633363191,602646335,622460413,592831209,554113084,462628637
Minahasa Tenggara,724911937,723383226,-,556351445,667850884,574272140,589938837
Bolaang Mongondow Selatan,599363711,591049611,573651151,593218350,551684247,453118728,517999294
Bolaang Mongondow Timur,589656943,604744400,-,520227002,475455252,421927385,141430924
Kota Manado,1648496788,1461160058,-,1322170067,1300471782,1519312624,1492006333
Kota Bitung,869634357,967751474,872632804,731120951,946930006,931882694,846058442
Kota Tomohon,636874854,658134040,626149118,665829698,655685163,582308550,605781550
Kota Kotamobagu,701749681,717751628,-,580311571,623634912,614628729,586988224
