provinsi,tahun,lapangan_usaha,nilai_milyar_rp,satuan
Aceh,2014,Tidak ada,4116968.7,Juta Rupiah
Aceh,2015,Tidak ada,4102331.68,Juta Rupiah
Aceh,2016,Tidak ada,4218908.76,Juta Rupiah
Aceh,2017,Tidak ada,4341068.96,Juta Rupiah
Aceh,2018,Tidak ada,4416080.06,Juta Rupiah
Aceh,2019,Tidak ada,4671641.04,Juta Rupiah
Aceh,2020,Tidak ada,5189847.64,Juta Rupiah
Sumatera Utara,2014,Tidak ada,117.9,Juta Rupiah
Sumatera Utara,2015,Tidak ada,120.78,Juta Rupiah
Sumatera Utara,2016,Tidak ada,120.33,Juta Rupiah
Sumatera Utara,2017,Tidak ada,127.25,Juta Rupiah
Sumatera Utara,2018,Tidak ada,135.09,Juta Rupiah
Sumatera Utara,2019,Tidak ada,135.92,Juta Rupiah
Sumatera Utara,2020,Tidak ada,134.74,Juta Rupiah
Riau,2019,Negeri,2.0,Juta Rupiah
Riau,2019,Swasta,192.0,Juta Rupiah
Riau,2019,Jumlah,194.0,Juta Rupiah
Riau,2020,Negeri,2.0,Juta Rupiah
Riau,2021,Negeri,2.0,Juta Rupiah
Riau,2020,Swasta,202.0,Juta Rupiah
Riau,2021,Swasta,212.0,Juta Rupiah
Riau,2020,Jumlah,204.0,Juta Rupiah
Riau,2021,Jumlah,214.0,Juta Rupiah
Jambi,2014,Restoran,77.0,Juta Rupiah
Jambi,2015,Restoran,130.0,Juta Rupiah
Jambi,2014,Rumah Makan,553.0,Juta Rupiah
Jambi,2015,Rumah Makan,384.0,Juta Rupiah
Jambi,2014,Tempat Wisata,264.0,Juta Rupiah
Jambi,2015,Tempat Wisata,339.0,Juta Rupiah
Jambi,2016,Restoran,26.0,Juta Rupiah
Jambi,2016,Rumah Makan,339.0,Juta Rupiah
Jambi,2016,Tempat Wisata,160.0,Juta Rupiah
Lampung,2014,Tidak ada,40000.0,Juta Rupiah
Lampung,2015,Tidak ada,45000.0,Juta Rupiah
Lampung,2016,Tidak ada,37500.0,Juta Rupiah
Kepulauan Bangka Belitung,2014,Tidak ada,798.0,Juta Rupiah
Kepulauan Bangka Belitung,2015,Tidak ada,812.0,Juta Rupiah
Kepulauan Bangka Belitung,2016,Tidak ada,823.0,Juta Rupiah
DKI Jakarta,2015,Laki-laki,333996.0,Juta Rupiah
DKI Jakarta,2015,Perempuan ,323266.0,Juta Rupiah
DKI Jakarta,2015,Jumlah,657262.0,Juta Rupiah
DKI Jakarta,2016,Laki-laki,343620.0,Juta Rupiah
DKI Jakarta,2017,Laki-laki,352944.0,Juta Rupiah
DKI Jakarta,2016,Perempuan ,332170.0,Juta Rupiah
DKI Jakarta,2017,Perempuan ,340999.0,Juta Rupiah
DKI Jakarta,2016,Jumlah,675790.0,Juta Rupiah
