wilayah,wilayah_val,turvar_label,tahun,nilai,var_id,var_name
Sulawesi Utara,7100,Tidak ada,2015,12761,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2015,12365,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2015,12560,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2015,13661,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2015,10030,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2015,14171,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2016,16046,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2017,17112,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2016,13238,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2017,13770,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2016,14827,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2017,15841,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2016,23444,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2017,16604,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2016,13088,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2017,12784,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2016,11730,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2017,12741,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2018,16954,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2019,18350,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2018,13462,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2019,14682,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2018,15777,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2019,17105,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2018,15944,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2019,15849,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2018,11891,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2019,13492,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2018,12144,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2019,13126,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2020,21390,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2021,20963,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2020,18140,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2021,20637,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2020,19172,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2021,19217,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2020,20449,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2021,19302,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2020,15128,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2021,14613,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2020,18136,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2021,18072,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2022,18335,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2023,19270,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2022,15890,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2023,16392,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2022,17257,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2023,17776,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2022,17542,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2023,18884,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2022,14289,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2023,15138,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2022,14774,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2023,16387,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2024,23831,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2024,18402,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2024,17505,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2024,20510,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2024,15027,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2024,17516,1172,Upah Rata-rata Per Jam
