provinsi,tahun,sektor_kode,sektor_nama,nilai_miliar_rp,pct_dari_total
Gorontalo,2014,A,"Pertanian, Kehutanan, dan Perikanan",9511.57,15.73
Gorontalo,2014,Angkutan,Rel,,
Gorontalo,2014,Angkutan,Darat,996.97,1.65
Gorontalo,2014,Angkutan,Laut,72.25,0.12
Gorontalo,2014,Angkutan,"Sungai, Danau, dan Penyeberangan",59.6,0.1
Gorontalo,2014,Angkutan,Udara,344.58,0.57
Gorontalo,2014,Asuransi,dan Dana Pensiun,19.11,0.03
Gorontalo,2014,B,Pertambangan dan Penggalian,331.42,0.55
Gorontalo,2014,C,Industri Pengolahan,1051.64,1.74
Gorontalo,2014,D,Pengadaan Listrik dan Gas,11.71,0.02
Gorontalo,2014,E,"Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",12.76,0.02
Gorontalo,2014,F,Konstruksi,2971.32,4.91
Gorontalo,2014,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,2624.85,4.34
Gorontalo,2014,H,Transportasi dan Pergudangan,1535.45,2.54
Gorontalo,2014,I,Penyediaan Akomodasi dan Makan Minum,540.44,0.89
Gorontalo,2014,Industri,Batubara dan Pengilangan Migas,,
Gorontalo,2014,Industri,Makanan dan Minuman,686.94,1.14
Gorontalo,2014,Industri,Pengolahan Tembakau,,
Gorontalo,2014,Industri,Tekstil dan Pakaian Jadi,22.89,0.04
Gorontalo,2014,Industri,"Kulit, Barang dari Kulit, dan Alas Kaki",,
Gorontalo,2014,Industri,"Kayu, Barang dari Kayu dan Gabus; dan Barang Anyaman dari Bambu, Rotan, dan Sejenisnya",125.15,0.21
Gorontalo,2014,Industri,Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,13.44,0.02
Gorontalo,2014,Industri,"Kimia, Farmasi, dan Obat Tradisional",0.6,0.0
Gorontalo,2014,Industri,Karet; Barang dari Karet dan Plastik,1.2,0.0
Gorontalo,2014,Industri,Barang Galian bukan Logam,65.58,0.11
Gorontalo,2014,Industri,Logam Dasar,,
Gorontalo,2014,Industri,"Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",16.4,0.03
Gorontalo,2014,Industri,Mesin dan Perlengkapan,0.97,0.0
Gorontalo,2014,Industri,Alat Angkutan,8.24,0.01
Gorontalo,2014,Industri,Furnitur,108.03,0.18
Gorontalo,2014,Industri,Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,2.2,0.0
Gorontalo,2014,J,Informasi dan Komunikasi,631.1,1.04
Gorontalo,2014,Jasa,Pertanian dan Perburuan,101.22,0.17
Gorontalo,2014,Jasa,Perantara Keuangan,624.61,1.03
Gorontalo,2014,Jasa,Keuangan Lainnya,285.21,0.47
Gorontalo,2014,Jasa,Penunjang Keuangan,1.82,0.0
Gorontalo,2014,K,Jasa Keuangan dan Asuransi,930.75,1.54
Gorontalo,2014,L,Real Estat,463.94,0.77
Gorontalo,2014,"M,N",Jasa Perusahaan,24.3,0.04
Gorontalo,2014,O,"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",2214.14,3.66
Gorontalo,2014,P,Jasa Pendidikan,1051.89,1.74
Gorontalo,2014,Produk,Domestik Bruto,25193.78,41.67
Gorontalo,2014,Q,Jasa Kesehatan dan Kegiatan Sosial,862.82,1.43
Gorontalo,2014,"R,S,T,U",Jasa Lainnya,423.69,0.7
Gorontalo,2014,Tanaman,Pangan,5127.66,8.48
