Scientific_Name,Latitude,Longitude,Province,Year,Source
Babyrousa celebensis,0.731554,122.271444,Gorontalo,2024,GBIF
Babyrousa celebensis,0.727104,122.412556,Gorontalo,2023,GBIF
Babyrousa celebensis,0.74219,122.385678,Gorontalo,2023,GBIF
Babyrousa celebensis,0.6316,122.38139,Gorontalo,2023,GBIF
Babyrousa celebensis,0.68177,122.203743,Gorontalo,2023,GBIF
Babyrousa celebensis,0.789104,122.291875,Gorontalo,2023,GBIF
Babyrousa celebensis,0.732525,122.342319,Gorontalo,2023,GBIF
Babyrousa celebensis,0.76747,122.359316,Gorontalo,2023,GBIF
Babyrousa celebensis,0.684147,122.354215,Gorontalo,2022,GBIF
Babyrousa celebensis,0.606247,122.296783,Gorontalo,2021,GBIF
Babyrousa celebensis,0.769717,122.377018,Gorontalo,2018,GBIF
Babyrousa celebensis,0.821762,122.47337,Gorontalo,2018,GBIF
Babyrousa celebensis,0.822113,122.406036,Gorontalo,2018,GBIF
Babyrousa celebensis,-3.143892,121.809143,Sulawesi Tenggara,2018,GBIF
Babyrousa celebensis,-3.130442,121.825836,Sulawesi Tenggara,2018,GBIF
Babyrousa celebensis,0.655646,122.272048,Gorontalo,2017,GBIF
Babyrousa celebensis,0.702856,122.352195,Gorontalo,2017,GBIF
Babyrousa celebensis,0.982164,122.398006,Gorontalo,2017,GBIF
Babyrousa celebensis,0.854762,122.208489,Gorontalo,2017,GBIF
Babyrousa celebensis,0.693443,122.355165,Gorontalo,2016,GBIF
Babyrousa celebensis,0.779113,122.27894,Gorontalo,2016,GBIF
Babyrousa celebensis,0.979055,122.364212,Gorontalo,2014,GBIF
Babyrousa celebensis,0.960398,122.327968,Gorontalo,2014,GBIF
Babyrousa celebensis,0.610858,122.2502,Gorontalo,2013,GBIF
Babyrousa celebensis,1.596293,125.13464,Sulawesi Utara,2012,GBIF
Babyrousa celebensis,0.656162,122.308175,Gorontalo,2012,GBIF
Babyrousa celebensis,0.642102,122.284469,Gorontalo,2012,GBIF
Babyrousa celebensis,1.38333,125.08333,Sulawesi Utara,1965,GBIF
Babyrousa celebensis,-2.0,121.0,Sulawesi Tengah,1965,GBIF
Babyrousa celebensis,1.38333,125.08333,Sulawesi Utara,1950,GBIF
Babyrousa celebensis,0.765,124.57,Sulawesi Utara,1918,GBIF
Babyrousa celebensis,0.765,124.57,Sulawesi Utara,1917,GBIF
Babyrousa celebensis,-1.08333,121.98333,Sulawesi Tengah,1917,GBIF
Babyrousa babyrussa,-1.523137,120.314964,Sulawesi Tengah,1895,GBIF
Babyrousa babyrussa,-2.0,121.0,Sulawesi Tengah,Unknown,GBIF
Babyrousa babyrussa,-2.0,121.0,Sulawesi Tengah,Unknown,GBIF
Babyrousa babyrussa,-2.0,121.0,Sulawesi Tengah,Unknown,GBIF
Babyrousa babyrussa,-2.0,121.0,Sulawesi Tengah,Unknown,GBIF
Babyrousa babyrussa,-2.0,121.0,Sulawesi Tengah,Unknown,GBIF
Babyrousa babyrussa,-2.0,121.0,Sulawesi Tengah,Unknown,GBIF
Babyrousa babyrussa,0.5,124.0,Sulawesi Utara,Unknown,GBIF
Babyrousa babyrussa,-2.0,121.0,Sulawesi Tengah,Unknown,GBIF
Babyrousa babyrussa,-2.0,121.0,Sulawesi Tengah,Unknown,GBIF
Babyrousa babyrussa,-4.270833,120.0,Sulawesi Selatan,Unknown,GBIF
Babyrousa babyrussa,-5.518889,120.353889,Sulawesi Selatan,Unknown,GBIF
Babyrousa babyrussa,-2.0,121.0,Sulawesi Tengah,Unknown,GBIF
Babyrousa babyrussa,-2.078039,121.516654,Sulawesi Tengah,Unknown,GBIF
Bubalus depressicornis,-3.063786,121.294479,Sulawesi Tenggara,2025,GBIF
Bubalus depressicornis,-3.136029,121.716742,Sulawesi Tenggara,2024,GBIF
Bubalus depressicornis,0.980201,122.310033,Gorontalo,2023,GBIF
Bubalus depressicornis,0.732819,122.376246,Gorontalo,2022,GBIF
Bubalus depressicornis,0.763162,121.734658,Gorontalo,2021,GBIF
Bubalus depressicornis,0.887921,122.223906,Gorontalo,2014,GBIF
Bubalus depressicornis,0.786335,122.224593,Gorontalo,2014,GBIF
Bubalus depressicornis,-4.589457,123.155548,Sulawesi Tenggara,2013,GBIF
Bubalus depressicornis,-5.212615,122.870241,Sulawesi Tenggara,2013,GBIF
Bubalus depressicornis,0.69287,122.336818,Gorontalo,2013,GBIF
Bubalus depressicornis,1.438035,125.049087,Sulawesi Utara,2012,GBIF
Bubalus depressicornis,0.754869,122.381411,Gorontalo,2012,GBIF
Bubalus depressicornis,-4.1159,122.2314,Sulawesi Tenggara,1953,GBIF
