id_badan_usaha,nama_badan_usaha,jenis_badan_usaha,jenis_perizinan,alamat,scraped_at,detail_url
611426735552075729,3G TRUST,Perusahaan Komanditer (CV),IUP,"JL. ALEXANDER RT 002/001, KEL. BACANG, KEC. BUKIT INTAN, PANGKALPINANG",2026-06-10T04:45:34.461378+07:00,https://minerbaone.esdm.go.id/publik/badan-usaha/611426735552075729
611426894520392098,AAL RIZKI TAMBANG PALU,Perusahaan Perseroan Terbatas (PT),IUP,JL. PEMUDA NO.01,2026-06-10T04:45:34.461378+07:00,https://minerbaone.esdm.go.id/publik/badan-usaha/611426894520392098
611426795245409420,AASAAK AFAFA JAYA,Perusahaan Perseroan Terbatas (PT),IUP,"Kampung Pesantren RT.019 RW.007, Kel. Pasrepan, Kec. Pasrepan, Kab. Pasuruan, Jawa Timur",2026-06-10T04:45:34.461378+07:00,https://minerbaone.esdm.go.id/publik/badan-usaha/611426795245409420
611426883795556288,ABADI DUA PUTRI,Perusahaan Perseroan Terbatas (PT),IUP,"Bambakoro, Desa/Kelurahan Bambakoro, Kec. Lariang, Kab. Pasangkayu, Provinsi Sulawesi Barat,",2026-06-10T04:45:34.461378+07:00,https://minerbaone.esdm.go.id/publik/badan-usaha/611426883795556288
611426691788709536,ABADI MINERAL RESOURCES,Perusahaan Perseroan Terbatas (PT),IUP,JL. PLUIT KARANG CANTIK BLOK 04 BARAT NO. 19 RW. 006 RT. 003 KELURAHAN PLUIT KECAMATAN PENJARINGAN,2026-06-10T04:45:34.461378+07:00,https://minerbaone.esdm.go.id/publik/badan-usaha/611426691788709536
611426555125701991,Abadi Nikel Nusantara,Perusahaan Perseroan Terbatas (PT),IUP,JL. BOULEVARD RAYA RUKO INKOPAL BLOK A NO. 21-23 KELAPA GADING,2026-06-10T04:45:34.461378+07:00,https://minerbaone.esdm.go.id/publik/badan-usaha/611426555125701991
611426464532928053,ABADI OGAN CEMERLANG,Perusahaan Perseroan Terbatas (PT),IUP,"JL.Ir.Haji Juanda No.35A
RT.01,RW.01
Tangerang Selatan",2026-06-10T04:45:34.461378+07:00,https://minerbaone.esdm.go.id/publik/badan-usaha/611426464532928053
611426849066717652,ABADI SILIKA PERSADA,Perusahaan Perseroan Terbatas (PT),IUP,"Ruko Beach Theme Park Golf Island Blok E Nomor 210-212, Desa/Kelurahan Kamal Muara, Kec. Penjaringan, Kota Adm. Jakarta Utara, Provinsi DKI Jakarta.",2026-06-10T04:45:34.461378+07:00,https://minerbaone.esdm.go.id/publik/badan-usaha/611426849066717652
611426934269812692,ABAD NIKEL MINING,Perusahaan Perseroan Terbatas (PT),IPP,"South Quarter Tower A, 18th Floor, Jl. R.A. Kartini Kavling 8,
Desa/Kelurahan Cilandak Barat, Kec. Cilandak, Kota Adm. Jakarta
Selatan, Provinsi DKI Jakarta,
Kode Pos: 12430",2026-06-10T04:45:34.461378+07:00,https://minerbaone.esdm.go.id/publik/badan-usaha/611426934269812692
611426911943530732,ABDARA BRM TAMBANG,Perusahaan Perseroan Terbatas (PT),IUP,"Jl. Poros Palu-Donggala Kilometer 17 RT Loli Saluran, Banawa Kab. Donggala Sulawesi Tengah",2026-06-10T04:45:34.461378+07:00,https://minerbaone.esdm.go.id/publik/badan-usaha/611426911943530732
660394324625857266,ABDI NUSA AGUNG,Perusahaan Perseroan Terbatas (PT),IPP,"GREEN LAKE CITY, RUKO CORDOBA BLOK F NO. 7, LANTAI 3, KOTA TANGERANG",2026-06-10T04:45:34.461378+07:00,https://minerbaone.esdm.go.id/publik/badan-usaha/660394324625857266
611426795350267665,ABHI NAYA SARANA,Perusahaan Perseroan Terbatas (PT),IPP,"Gedung Ascom Jl. Matraman Raya No. 67 , Desa/Kelurahan Palmeriam,
Kec. Matraman, Kota Adm. Jakarta Timur Kode Pos: 13140",2026-06-10T04:45:34.461378+07:00,https://minerbaone.esdm.go.id/publik/badan-usaha/611426795350267665
611426841286286070,ABHIPRAYA NAWASENA ADHIKARA,Perusahaan Perseroan Terbatas (PT),IUP,"Jalan Purnama No 7 Samping Gg Perintis 5 RT 004 RW 015
Kelurahan Akcaya  Kecamatan Pontianak Selatan Kota Pontianak, Kalimantan Barat",2026-06-10T04:45:34.461378+07:00,https://minerbaone.esdm.go.id/publik/badan-usaha/611426841286286070
611426776224241593,ABIDIN JAYA UTAMA,Perusahaan Komanditer (CV),IUP,"Jln. Kalilo Gang Teratai No. 16, Kel. Singonegaran, Kec. Banyuwangi, Kab. Banyuwangi, Prov. Jawa Timur",2026-06-10T04:45:34.461378+07:00,https://minerbaone.esdm.go.id/publik/badan-usaha/611426776224241593
