id_badan_usaha,nama_badan_usaha,kode_badan_usaha,nib,npwp_badan_usaha,no_telp,email,alamat,kode_pos,rt,rw,jenis_badan_usaha,scraped_at
611426735552075729,3G TRUST,14357,0220104392145,75618899*******,07179100150____,,"JL. ALEXANDER RT 002/001, KEL. BACANG, KEC. BUKIT INTAN, PANGKALPINANG",,,,Perusahaan Komanditer (CV),2026-06-10T05:01:48.459405
611426894520392098,AAL RIZKI TAMBANG PALU,20470,0220301221897,072895846*******,0811985400,artp.palu@gmail.com,JL. PEMUDA NO.01,94111,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:01:51.000187
611426795245409420,AASAAK AFAFA JAYA,16620,0501220015665,053663548*******,082333848981___,,"Kampung Pesantren RT.019 RW.007, Kel. Pasrepan, Kec. Pasrepan, Kab. Pasuruan, Jawa Timur",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:01:53.571703
611426883795556288,ABADI DUA PUTRI,19988,1510210000576,43868419*******,085298425388___,,"Bambakoro, Desa/Kelurahan Bambakoro, Kec. Lariang, Kab. Pasangkayu, Provinsi Sulawesi Barat,",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:01:56.050919
611426691788709536,ABADI MINERAL RESOURCES,12289,9120100471351,003040562*******,02166695230____,,JL. PLUIT KARANG CANTIK BLOK 04 BARAT NO. 19 RW. 006 RT. 003 KELURAHAN PLUIT KECAMATAN PENJARINGAN,,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:01:58.564112
611426555125701991,Abadi Nikel Nusantara,4779,1810210037641,02845976*******,,,JL. BOULEVARD RAYA RUKO INKOPAL BLOK A NO. 21-23 KELAPA GADING,,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:01.205156
611426464532928053,ABADI OGAN CEMERLANG,16,9120505741588,002545645*******,021-7444676,abadiogan.cemerlang@gmail.com,"JL.Ir.Haji Juanda No.35A
RT.01,RW.01
Tangerang Selatan",15412,01,01,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:03.798811
611426849066717652,ABADI SILIKA PERSADA,18772,2705220052092,065538777*******,081350424853___,,"Ruko Beach Theme Park Golf Island Blok E Nomor 210-212, Desa/Kelurahan Kamal Muara, Kec. Penjaringan, Kota Adm. Jakarta Utara, Provinsi DKI Jakarta.",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:06.529437
611426934269812692,ABAD NIKEL MINING,22316,1606250090006,100000000*******,,,"South Quarter Tower A, 18th Floor, Jl. R.A. Kartini Kavling 8,
Desa/Kelurahan Cilandak Barat, Kec. Cilandak, Kota Adm. Jakarta
Selatan, Provinsi DKI Jakarta,
Kode Pos: 12430",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:09.112490
611426911943530732,ABDARA BRM TAMBANG,21270,1004230048875,40451135*******,6285396815159__,,"Jl. Poros Palu-Donggala Kilometer 17 RT Loli Saluran, Banawa Kab. Donggala Sulawesi Tengah",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:11.850503
660394324625857266,ABDI NUSA AGUNG,660394324625857266,1108220010605,081020825*******,0811825001,abdinusaagung99@gmail.com,"GREEN LAKE CITY, RUKO CORDOBA BLOK F NO. 7, LANTAI 3, KOTA TANGERANG",15147,001,013,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:14.420784
611426795350267665,ABHI NAYA SARANA,16788,null_16788,53812254*******,021-29613810,abhinayasarana2021@gmail.com,"Gedung Ascom Jl. Matraman Raya No. 67 , Desa/Kelurahan Palmeriam,
Kec. Matraman, Kota Adm. Jakarta Timur Kode Pos: 13140",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:16.875178
611426841286286070,ABHIPRAYA NAWASENA ADHIKARA,18613,403220005279,63445893*******,081549271630___,,"Jalan Purnama No 7 Samping Gg Perintis 5 RT 004 RW 015
Kelurahan Akcaya  Kecamatan Pontianak Selatan Kota Pontianak, Kalimantan Barat",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:19.621423
611426776224241593,ABIDIN JAYA UTAMA,15766,1908210010594,43220519*******,085311687513___,,"Jln. Kalilo Gang Teratai No. 16, Kel. Singonegaran, Kec. Banyuwangi, Kab. Banyuwangi, Prov. Jawa Timur",,,,Perusahaan Komanditer (CV),2026-06-10T05:02:22.170884
611426856452887359,ABIMANYU BARA UTAMA,19051,null_19051,40892702*******,,,"JALAN PANTI NOMOR:000, Desa/Kelurahan Sumur Dewa, Kec. Selebar,
Kota Bengkulu, Provinsi Bengkulu,
Kode Pos: 38216",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:24.784416
611426856490635572,ABIMAS JAYA BARA,19114,null_19114,62498701*******,081336200645,pt.abimas.jaya.bara@gmail.com,"Jalan Pangeran Suriansyah Ujung Nomor 40, Desa/Kelurahan Mentaos, Kec. Banjarbaru Utara, Kota Banjarbaru, Provinsi Kalimantan Selatan, Kode Pos: 70714",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:27.220269
611426464545510509,ABISHA BUMI PERSADA,36,2812210015864,031287486*******,0217512977,abishabumipersada2021@gmail.com,Jl. H. Nawi Raya No. 45,12420,006,002,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:29.979839
611426649241686366,ABSAH INTERNASIONAL,9987,null_9987,02003627*******,0285410200,absahinternasionala7@gmail.com,"JALAN WR SUPRATMAN, JATAYU RESIDENCE NO. A7-8, Desa/Kelurahan Panjang Wetan, Kec. Pekalongan Utara, Kota Pekalongan, Provinsi Jawa Tengah, Kode Pos: 51141",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:32.501222
611426841206592245,ABU BARA INDONESIA,18514,null_18514,62249417*******,,,"JL. PUE BONGO NO. 31 RT 001 RW 001, Desa/Kelurahan Boyaoge, Kec.
Tatanga, Kota Palu, Provinsi Sulawesi Tengah,",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:34.960014
611426856419334836,ACCEL RESOURCES INDONESIA,18996,2807220068501,060412232*******,081383161555,accelresourcesid@gmail.com,"Gedung Kopi Lt 2 Unit 208, Jl. RP. Soeroso No.20",10330,009,005,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:37.482034
611426912010637835,ACEH COAL ENERGY,21394,null_21394,,08129415129,ptacehcoalenergy1@gmail.com,"RUKO HIMALAYA HIVE NO 28-30 JL. BOULEVARD PALEM RAYA,
LIPPO VILLAGE CENTRAL KELAPA DUA KARAWACI, Desa/Kelurahan
Bencongan, Kec. Kelapa Dua, Kab. Tangerang, Provinsi Banten,
Kode Pos: 15810",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:39.989596
611426704161903612,ACEH MINERAL PRIMA DEVELOPMENT,13053,0812210041306,03142618*******,,,,,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:42.389849
611426681793679771,ACES SELARAS,11921,0220007231113,003198175*******,081298888861,aces.selaras@yahoo.com,"Jl. Trans Palu - Donggala Km. 10
",94228,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:44.860494
611426639234077511,ACK BARA ABADI,9564,8120204952609,082750184*******,08111808582,ackbaraabadi19@gmail.com,"CFX Tower Lantai 3 dan 4, Jalan Jenderal Gatot Subroto Nomor Kaveling 35-36",12950,006,003,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:47.558791
611426795287354103,ACRITAS MEGA PERSADA,16682,null_16682,71460553*******,,,"JL. KS TUBUN II NO. 03, KEL. SLIPI, KEC. PAL MERAH",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:50.100022
611426906356716131,ADABI ENERGY CORPORA,20973,2401230022617,062490814*******,081277788730,adabi.energy@gmail.com,"Jalan Patin Nomor 51, Kelurahan Timbau, Kec. Tenggarong, Kab. Kutai Kartanegara, Provinsi Kalimantan Timur, Kode Pos: 75511",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:52.542418
611426841152069070,ADA EKATAMA ENERGI,18464,null_18464,62000375*******,089686557802,adaekatamaenergi@gmail.com,"JALAN BATUNUNGGAL INDAH RAYA NOMOR 199, Desa/Kelurahan
Batununggal, Kec. Bandung Kidul, Kota Bandung, Provinsi Jawa Barat,
Kode Pos: 40266",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:54.936805
611426900157534936,ADAMA ANUGERAH NUSANTARA,20890,2811220051572,061576362*******,,,"Citra Garden 7 E2 Nomor 01 , Desa/Kelurahan Kalideres, Kec. Kalideres,
Kota Adm. Jakarta Barat, Provinsi DKI Jakarta,
Kode Pos: 11840",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:57.333964
611426863612565578,ADAMA NUSA TRADING,19196,null_19196,40673907*******,,,"Jl. Jaya Mandala V No. 21E, , Kota Adm. Jakarta Selatan, Provinsi DKI
Jakarta,",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:02:59.729662
611426863595787952,ADAMAR DAYA ANUGERAH,19179,null_19179,39028329*******,081908886417,adamardayaanugerah@gmail.com,"Pondok Indah Office Tower d/h Wisma Pondok Indah Jl.Sultan Iskandar Muda Kav.V-TA, Desa/Kelurahan Pondok Pinang, Kec. Kebayoran Lama, Kota Adm. Jakarta Selatan, Provinsi DKI Jakarta, Kode Pos: 11410",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:02.167931
611426849112857908,ADAMAS DAYA ENERGI,18851,null_18851,62590915*******,,,"Perum Griya Asri Utama 1 Jalan Tambak Langsat Nomor B2 ,
Desa/Kelurahan Syamsudin Noor, Kec. Landasan Ulin, Kota Banjarbaru,
Provinsi Kalimantan Selatan,
Kode Pos: 70724",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:04.626934
611426856436109508,ADAMAS INDONESIA ENERGI,19023,null_19023,40894698*******,0811196353,adamasindonesiaenergi@gmail.com,"South Quarter, Tower A, 18th Floor, Jl.RA Kartini Kav 8, Kelurahan Cilandak Barat, Kec. Cilandak, Kota Adm. Jakarta Selatan, Provinsi DKI Jakarta, Kode Pos: 12240",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:07.141446
611426856427724799,ADAM PUTRA JAYA MANDIRI,19013,null_19013,61911326*******,,,"Jl Propinsi RT 19, Desa/Kelurahan Petung, Kec. Penajam, Kab. Penajam
Paser Utara, Provinsi Kalimantan Timur",,,,Perusahaan Komanditer (CV),2026-06-10T05:03:09.590137
611426878082914245,ADANG PASER JAYA,19723,2909210039003,043705376*******,081918677789___,adang.paserjaya@gmail.com,Jalan Negara Simpang Lombok No.57,,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:12.091958
