id_badan_usaha,nama_direksi,jabatan,tanggal_berlaku,tanggal_berakhir
611426735552075729,FANDY LINGGA,Komanditer,,
611426735552075729,ISA MELKYZEDECK SUHARDIMAN,Direktur,,
611426735552075729,IRWIN SAHRONI,Direktur Utama,,
611426894520392098,BOYKE MARDONAL,Komisaris,2015-04-16,
611426894520392098,FREDERICK SAUT TIMBUL SIAHAAN,Direktur Utama,,
611426795245409420,PUTRI QUROTU AINI SAKINAH,Komisaris,2021-11-29,
611426795245409420,HARUM DZATI FITRIYAH,Komisaris,2021-11-29,
611426795245409420,MARSI SHONHAJI,Komisaris,2021-11-29,
611426795245409420,NURIN NAHDLIYAH,Komisaris,2021-11-29,
611426795245409420,ROBI'AH,Komisaris,2021-11-29,
611426795245409420,MASYHUDI.NW,Komisaris Utama,2021-11-29,
611426795245409420,MOH. ALI MAS'UD,Direktur,2021-11-29,
611426795245409420,ACHMAD FAISHOL ABDUL JALIL,Direktur Utama,2021-11-29,
611426691788709536,"TIO, EFFENDY TIOS",Komisaris,2021-10-04,2026-10-04
611426691788709536,TAMI ABADI TIOS,Direktur,2021-10-04,2026-10-04
611426555125701991,ADI WIJOYO,Direktur Utama,,
611426555125701991,INGGRID HENTIANA,Direktur,,
611426555125701991,BUDI GUNAWAN,Komisaris,,
611426464532928053,IR ARIEF ISTANTO,Direktur Utama,2019-08-01,
611426464532928053,AMAN SUBAGIO,Direktur,2019-08-01,
611426464532928053,JAN BASTIAN SUNARYANTO,Komisaris Utama,2019-08-01,
611426464532928053,TANTO SATRIONO,Komisaris,2019-08-01,
611426464532928053,JOHNNY DARMAWAN,Komisaris,2019-08-01,
611426849066717652,ARIFIN DANIEL,Komisaris,,
611426849066717652,SANDI SUWANDI,Direktur,,
611426934269812692,Geraldy Sam Baghiz Ojwala,Direktur,,
611426934269812692,Irwan Liu Gunawan,Komisaris,,
660394324625857266,KWE TJOEI HWEE,-,,
660394324625857266,TJANDRA,Direktur,,
660394324625857266,MERRY,Komisaris,,
611426795350267665,Yoga Suwisma,Direktur Utama,,
611426795350267665,Wendri Arman,Direktur,,
611426795350267665,Patih Prahasto Soedhowo,Komisaris Utama,,
611426795350267665,Sirojud Tolibin,Komisaris,,
611426841286286070,KEVEN SUKIRNO,Komisaris,2022-02-16,
611426841286286070,"ISAC NICODEMUS RESIRWAWAN, S.T.",Direktur,2022-02-16,
611426841286286070,DRA SHINTAWATI,Komisaris,2022-02-16,
611426841286286070,HAMID SAJUTI,Komisaris Utama,2022-02-16,
611426841286286070,AGUNG WELLI SAPUTRA,Direktur Utama,2022-02-16,
611426856452887359,RIO DWI PUTRA,Direktur,,
611426856452887359,ARLANSYAH ASNAWIE,Komisaris Utama,,
611426856452887359,SUCI ASTRIA,Komisaris,,
611426856490635572,IZHAR RAHMAN HAKIM,Direktur,,
611426856490635572,NOVITA OCTAVIANI,Komisaris Utama,,
611426856490635572,YANUAR SOFWAN HENDARMAN,Komisaris,,
611426464545510509,NEIL MATAHELUMUAL,Direktur,2021-12-27,
611426464545510509,NOLLIUS MATAHELUMUAL,Direktur Utama,2021-12-27,
611426464545510509,DJANI SUTEDJA,Komisaris,2021-12-27,
611426649241686366,Hidayat Zulkarnaen,Direktur Utama,,
611426649241686366,Akhmad Yudi Dewanto,Direktur,,
611426649241686366,Hendri Pramudianto,Komisaris Utama,,
611426649241686366,Drs H Ali Mansur,Komisaris,,
611426841206592245,SONI NUROCHIM,Direktur,,
611426841206592245,LUTFI MOHAMAD AL JUFRI,Komisaris,,
611426856419334836,BULAN PAUL PETRUS,Direktur Utama,,
611426856419334836,Ir Pandapotan Siahaan,Direktur,,
611426856419334836,dr. LAMBOK SIAHAAN,Komisaris,,
611426912010637835,Timothy Bagas Wicaksono ,Direktur Utama,,
611426912010637835,Fitri Herowati,Komisaris,,
611426912010637835,Liliana Winarto,Direktur,,
611426912010637835,Lie Agung Wibowo,Direktur,,
611426704161903612,MUHAMMAD ALI,Komisaris,2021-12-08,
611426704161903612,ROBBY ALI,Direktur,2021-12-08,
611426639234077511,Kenneth Atman,Direktur,2025-07-24,
611426639234077511,Andreas Maria,Komisaris,2025-07-24,
611426795287354103,BUDIMAN SIMADJAJA,Direktur Utama,,
611426795287354103,T. PUTRI INDIRA SANTI,Direktur,,
611426795287354103,CHRIST LEON,Komisaris,,
611426906356716131,Rusdi Adi Pratama,Direktur Utama,,
611426906356716131,Sudarto Sitepu,Direktur,,
611426906356716131,Dana Deanita,Komisaris,,
611426841152069070,IRNI,Direktur,,
611426841152069070,MIA FEBRIANA,Komisaris,,
611426900157534936,Muhammad Ardhi,Direktur,,
611426900157534936,Soeherman Tadjuddin,Komisaris,,
611426863612565578,Adyan Hadikusumah,Direktur,,
611426863612565578,Tsakila Dania Zen,Komisaris,,
611426863595787952,LOUIS GUNAWAN KHOE,Direktur,,
611426863595787952,MUH. FAISAL RANI,Komisaris,,
611426849112857908,Iqbal Qamarullah,Direktur,,
611426849112857908,Thaufik Aliman Hakim,Komisaris,,
611426856436109508,Yudhie Setiawan,Direktur,,
611426856436109508,Muhammad Erlangga,Komisaris,,
611426856427724799,Sapardi,Direktur,,
611426856427724799,Agustia Ningrum,Komisaris,,
611426878082914245,Sunardi Wiyogo Oei,Komisaris,2023-06-26,
611426878082914245,Santoso Prajogo,Komisaris Utama,2023-06-26,
611426878082914245,Tahyun Effendi,Direktur,2023-12-20,2028-12-12
611426883837499272,Tommy Jahja Eden Nelwan,Direktur Utama,,
611426883837499272,Timothy Deni Otto Tehupuring,Direktur,,
611426883837499272,"Praisela Syania Hendrieta Nelwan, S.Ked.",Direktur,,
611426883837499272,"Monica Titin Kumalasari, S.S.",Komisaris Utama,,
611426883837499272,Kefas Ardi Jannica Tehupuring,Komisaris,,
611426883837499272,"DR. DRA. Elsjani Adelin Langi, M.Th, M.Pd.K",Komisaris,,
611426464558095895,Lie Luckman,Komisaris,2025-10-09,
611426464558095895,Mrs. Wimonphan Tancharoen,Komisaris,2024-09-16,
