year,loss_ha,province
2001,4140.57938,Sulawesi Utara
2002,7110.93641,Sulawesi Utara
2003,2617.6355,Sulawesi Utara
2004,6509.2244900000005,Sulawesi Utara
2005,3217.1201,Sulawesi Utara
2006,4588.4317200000005,Sulawesi Utara
2007,4057.10138,Sulawesi Utara
2008,1530.9402599999999,Sulawesi Utara
2009,6625.03876,Sulawesi Utara
2010,2004.18703,Sulawesi Utara
2011,2949.79736,Sulawesi Utara
2012,2483.48918,Sulawesi Utara
2013,1732.9518200000002,Sulawesi Utara
2014,6968.321239999999,Sulawesi Utara
2015,14568.19323,Sulawesi Utara
2016,8735.14735,Sulawesi Utara
2017,5658.21112,Sulawesi Utara
2018,7345.12233,Sulawesi Utara
2019,8883.75172,Sulawesi Utara
2020,2856.6131499999997,Sulawesi Utara
2021,2712.4397000000004,Sulawesi Utara
2022,2648.66808,Sulawesi Utara
2023,6343.2694,Sulawesi Utara
2024,3726.39578,Sulawesi Utara
2025,2907.58311,Sulawesi Utara
2001,28855.23554,Sulawesi Tengah
2002,55988.069859999996,Sulawesi Tengah
2003,29997.90632,Sulawesi Tengah
2004,70612.82667,Sulawesi Tengah
2005,31669.88416,Sulawesi Tengah
2006,50844.56254,Sulawesi Tengah
2007,34209.73078,Sulawesi Tengah
2008,25503.967239999998,Sulawesi Tengah
2009,87469.48234,Sulawesi Tengah
2010,33739.95099,Sulawesi Tengah
2011,42814.38187,Sulawesi Tengah
2012,59550.8663,Sulawesi Tengah
2013,48917.38196,Sulawesi Tengah
2014,87699.30374999999,Sulawesi Tengah
2015,154168.61833,Sulawesi Tengah
2016,127999.89357,Sulawesi Tengah
2017,71995.13363,Sulawesi Tengah
2018,71334.51374,Sulawesi Tengah
2019,92685.29062,Sulawesi Tengah
2020,46924.30591,Sulawesi Tengah
2021,36807.60763,Sulawesi Tengah
2022,43938.90444,Sulawesi Tengah
2023,87894.38647,Sulawesi Tengah
2024,49868.94711,Sulawesi Tengah
2025,60683.83157,Sulawesi Tengah
2001,20828.461,Sulawesi Selatan
2002,25036.52661,Sulawesi Selatan
2003,16983.527179999997,Sulawesi Selatan
2004,54774.78256,Sulawesi Selatan
2005,22474.776120000002,Sulawesi Selatan
2006,46745.55684,Sulawesi Selatan
2007,18770.30803,Sulawesi Selatan
2008,16319.43522,Sulawesi Selatan
2009,46123.79751,Sulawesi Selatan
2010,16157.934099999999,Sulawesi Selatan
