year,category,area_ha,category_type,province
2001,0,3737.52235,protected_areas,Sulawesi Utara
2001,1,221.78028,protected_areas,Sulawesi Utara
2001,2,181.27676,protected_areas,Sulawesi Utara
2002,0,5857.99999,protected_areas,Sulawesi Utara
2002,1,630.8024,protected_areas,Sulawesi Utara
2002,2,622.13402,protected_areas,Sulawesi Utara
2003,0,2218.09193,protected_areas,Sulawesi Utara
2003,1,196.9337,protected_areas,Sulawesi Utara
2003,2,202.60986,protected_areas,Sulawesi Utara
2004,2,243.35772,protected_areas,Sulawesi Utara
2004,0,5528.75131,protected_areas,Sulawesi Utara
2004,1,737.11546,protected_areas,Sulawesi Utara
2005,0,2681.61014,protected_areas,Sulawesi Utara
2005,1,347.55687,protected_areas,Sulawesi Utara
2005,2,187.95309,protected_areas,Sulawesi Utara
2006,2,127.97836,protected_areas,Sulawesi Utara
2006,0,4144.82184,protected_areas,Sulawesi Utara
2006,1,315.63151,protected_areas,Sulawesi Utara
2007,2,142.05399,protected_areas,Sulawesi Utara
2007,0,3601.18518,protected_areas,Sulawesi Utara
2007,1,313.86223,protected_areas,Sulawesi Utara
2008,0,1348.3228900000001,protected_areas,Sulawesi Utara
2008,1,169.16294,protected_areas,Sulawesi Utara
2008,2,13.45443,protected_areas,Sulawesi Utara
2009,0,5927.94672,protected_areas,Sulawesi Utara
2009,1,596.87496,protected_areas,Sulawesi Utara
2009,2,100.21707,protected_areas,Sulawesi Utara
2010,1,119.38969,protected_areas,Sulawesi Utara
2010,0,1838.7570699999999,protected_areas,Sulawesi Utara
2010,2,46.04027,protected_areas,Sulawesi Utara
2011,0,2642.0770199999997,protected_areas,Sulawesi Utara
2011,1,140.62147,protected_areas,Sulawesi Utara
2011,2,167.09888,protected_areas,Sulawesi Utara
2012,1,87.38785,protected_areas,Sulawesi Utara
2012,2,52.28164,protected_areas,Sulawesi Utara
2012,0,2343.8197,protected_areas,Sulawesi Utara
2013,2,29.36191,protected_areas,Sulawesi Utara
2013,1,95.1585,protected_areas,Sulawesi Utara
2013,0,1608.43141,protected_areas,Sulawesi Utara
2014,0,6487.62837,protected_areas,Sulawesi Utara
2014,1,362.24772,protected_areas,Sulawesi Utara
2014,2,118.44514000000001,protected_areas,Sulawesi Utara
2015,0,13433.81953,protected_areas,Sulawesi Utara
2015,1,902.7169399999999,protected_areas,Sulawesi Utara
2015,2,231.65677,protected_areas,Sulawesi Utara
2016,2,770.08079,protected_areas,Sulawesi Utara
2016,1,552.70107,protected_areas,Sulawesi Utara
2016,0,7412.3655,protected_areas,Sulawesi Utara
2017,0,5211.76383,protected_areas,Sulawesi Utara
2017,1,320.09372,protected_areas,Sulawesi Utara
2017,2,126.35356,protected_areas,Sulawesi Utara
2018,0,6776.22267,protected_areas,Sulawesi Utara
2018,1,449.17783000000003,protected_areas,Sulawesi Utara
2018,2,119.72183999999999,protected_areas,Sulawesi Utara
2019,1,349.85773,protected_areas,Sulawesi Utara
2019,2,89.60661,protected_areas,Sulawesi Utara
2019,0,8444.28739,protected_areas,Sulawesi Utara
2020,0,2667.4281,protected_areas,Sulawesi Utara
2020,1,132.92935,protected_areas,Sulawesi Utara
2020,2,56.255700000000004,protected_areas,Sulawesi Utara
2021,0,2564.24388,protected_areas,Sulawesi Utara
2021,1,87.31093,protected_areas,Sulawesi Utara
2021,2,60.8849,protected_areas,Sulawesi Utara
2022,2,59.85761,protected_areas,Sulawesi Utara
2022,0,2446.57215,protected_areas,Sulawesi Utara
2022,1,142.23834,protected_areas,Sulawesi Utara
2023,0,6100.29014,protected_areas,Sulawesi Utara
2023,1,172.92938,protected_areas,Sulawesi Utara
2023,2,70.04987,protected_areas,Sulawesi Utara
2024,0,3489.12031,protected_areas,Sulawesi Utara
2024,1,168.93209000000002,protected_areas,Sulawesi Utara
2024,2,68.34338,protected_areas,Sulawesi Utara
2025,1,182.77796,protected_areas,Sulawesi Utara
2025,0,2685.90277,protected_areas,Sulawesi Utara
2025,2,38.90239,protected_areas,Sulawesi Utara
2001,Fruit,649.18267,plantations,Sulawesi Utara
2001,Fruit Mix,1.61547,plantations,Sulawesi Utara
2001,Oil palm,14.1968,plantations,Sulawesi Utara
2002,Fruit,638.33881,plantations,Sulawesi Utara
2002,Fruit Mix,2.84631,plantations,Sulawesi Utara
2002,Oil palm,25.553819999999998,plantations,Sulawesi Utara
2003,Fruit,182.83297000000002,plantations,Sulawesi Utara
2003,Fruit Mix,0.38464,plantations,Sulawesi Utara
2003,Oil palm,8.90229,plantations,Sulawesi Utara
2004,Oil palm,12.51306,plantations,Sulawesi Utara
2004,Fruit,798.00145,plantations,Sulawesi Utara
2004,Fruit Mix,1.30776,plantations,Sulawesi Utara
2005,Fruit,280.35682,plantations,Sulawesi Utara
2005,Fruit Mix,0.76927,plantations,Sulawesi Utara
2005,Oil palm,11.35766,plantations,Sulawesi Utara
2006,Oil palm,22.73252,plantations,Sulawesi Utara
2006,Fruit,538.5434600000001,plantations,Sulawesi Utara
2006,Fruit Mix,5.15413,plantations,Sulawesi Utara
2007,Oil palm,17.80169,plantations,Sulawesi Utara
2007,Fruit,558.0998,plantations,Sulawesi Utara
2007,Fruit Mix,2.15396,plantations,Sulawesi Utara
2008,Fruit,216.20923,plantations,Sulawesi Utara
2008,Fruit Mix,0.23078,plantations,Sulawesi Utara
