tree_cover_2000_ha,avg_density,year,province,tree_cover_2010_ha
1249530.29586,75.49526999999999,2000,Sulawesi Utara,
,75.06846,2010,Sulawesi Utara,1231722.8578499998
10196872.34674,137.54941,2000,Sulawesi Tengah,
,137.36468,2010,Sulawesi Tengah,10048276.728459999
5562883.57462,80.53034,2000,Sulawesi Selatan,
,80.16483,2010,Sulawesi Selatan,5508511.7815
3081778.36034,61.065,2000,Sulawesi Tenggara,
,60.86885,2010,Sulawesi Tenggara,3071833.1238599997
1073783.78422,13.7271,2000,Gorontalo,
,13.7126,2010,Gorontalo,1049533.31669
2586461.36062,20.606,2000,Sulawesi Barat,
,20.57009,2010,Sulawesi Barat,2552620.0910500004
