province,year,primary_loss_ha
Gorontalo,2001.0,515.56639
Gorontalo,2002.0,3458.80276
Gorontalo,2003.0,1998.64673
Gorontalo,2004.0,3086.24411
Gorontalo,2005.0,2555.06149
Gorontalo,2006.0,2414.82312
Gorontalo,2007.0,2029.72534
Gorontalo,2008.0,743.3479600000001
Gorontalo,2009.0,3268.48475
Gorontalo,2010.0,525.64386
Gorontalo,2011.0,1110.5217
Gorontalo,2012.0,1105.98299
Gorontalo,2013.0,1146.21594
Gorontalo,2014.0,3909.67333
Gorontalo,2015.0,7856.117889999999
Gorontalo,2016.0,5923.85937
Gorontalo,2017.0,3158.70957
Gorontalo,2018.0,3232.25202
Gorontalo,2019.0,3204.86592
Gorontalo,2020.0,1475.77225
Gorontalo,2021.0,681.19075
Gorontalo,2022.0,711.19237
Gorontalo,2023.0,1397.99881
Gorontalo,2024.0,1727.55513
Gorontalo,2025.0,2520.13653
Sulawesi Barat,2001.0,5700.7116
Sulawesi Barat,2002.0,7469.81398
Sulawesi Barat,2003.0,4645.41589
Sulawesi Barat,2004.0,9692.13102
Sulawesi Barat,2005.0,6367.69567
Sulawesi Barat,2006.0,7711.27088
Sulawesi Barat,2007.0,3127.48536
Sulawesi Barat,2008.0,6311.88695
Sulawesi Barat,2009.0,6851.38201
Sulawesi Barat,2010.0,3805.2283
Sulawesi Barat,2011.0,5075.66072
Sulawesi Barat,2012.0,6383.0186300000005
Sulawesi Barat,2013.0,3986.09683
Sulawesi Barat,2014.0,5813.61954
Sulawesi Barat,2015.0,6373.03235
Sulawesi Barat,2016.0,6919.94355
Sulawesi Barat,2017.0,5088.2705000000005
Sulawesi Barat,2018.0,6300.74971
Sulawesi Barat,2019.0,5962.03707
Sulawesi Barat,2020.0,3335.56427
Sulawesi Barat,2021.0,4569.18636
Sulawesi Barat,2022.0,3962.13487
Sulawesi Barat,2023.0,5508.92428
Sulawesi Barat,2024.0,4999.99893
Sulawesi Barat,2025.0,6735.39591
Sulawesi Selatan,2001.0,3212.12763
Sulawesi Selatan,2002.0,9412.36034
Sulawesi Selatan,2003.0,8890.81625
Sulawesi Selatan,2004.0,25305.94904
Sulawesi Selatan,2005.0,10373.4492
Sulawesi Selatan,2006.0,18072.56865
Sulawesi Selatan,2007.0,8611.19847
Sulawesi Selatan,2008.0,4993.98163
Sulawesi Selatan,2009.0,13679.97773
Sulawesi Selatan,2010.0,6010.722390000001
Sulawesi Selatan,2011.0,10482.88654
Sulawesi Selatan,2012.0,14309.63278
Sulawesi Selatan,2013.0,9476.0874
Sulawesi Selatan,2014.0,19818.36315
Sulawesi Selatan,2015.0,30831.69006
Sulawesi Selatan,2016.0,36712.54614
Sulawesi Selatan,2017.0,18125.46872
Sulawesi Selatan,2018.0,12334.925179999998
Sulawesi Selatan,2019.0,19357.15734
Sulawesi Selatan,2020.0,11168.08575
Sulawesi Selatan,2021.0,8968.512030000002
Sulawesi Selatan,2022.0,8938.19788
Sulawesi Selatan,2023.0,12150.35535
Sulawesi Selatan,2024.0,8567.75989
Sulawesi Selatan,2025.0,11970.16542
Sulawesi Tengah,2001.0,6661.10596
Sulawesi Tengah,2002.0,27539.39083
Sulawesi Tengah,2003.0,18722.99944
Sulawesi Tengah,2004.0,36681.27129
Sulawesi Tengah,2005.0,18165.73735
Sulawesi Tengah,2006.0,25418.26881
Sulawesi Tengah,2007.0,17083.26765
Sulawesi Tengah,2008.0,12721.57893
