province,year,driver,area_ha,co2_emissions_mg,is_primary
Sulawesi Utara,2001,Commodity driven deforestation,55737.44545,29449910.186279997,
Sulawesi Utara,2001,Forestry,3182.1824100000003,1839088.9857500002,
Sulawesi Utara,2001,Shifting agriculture,16.29141,6780.76286,
Sulawesi Utara,2001,Unknown,38.8955,28657.38151,
Sulawesi Utara,2001,Urbanization,39.71613,11187.54493,
Sulawesi Utara,2002,Commodity driven deforestation,63092.82339,45128108.563379996,
Sulawesi Utara,2002,Forestry,2756.45126,1577848.20221,
Sulawesi Utara,2002,Shifting agriculture,43.33766,32493.26644,
Sulawesi Utara,2002,Unknown,43.60523,21368.65681,
Sulawesi Utara,2002,Urbanization,20.97196,6588.31958,
Sulawesi Utara,2003,Commodity driven deforestation,28944.796489999997,18493710.99853,
Sulawesi Utara,2003,Forestry,1689.19037,977038.1399399999,
Sulawesi Utara,2003,Shifting agriculture,8.52478,4956.976720000001,
Sulawesi Utara,2003,Unknown,4.68425,4946.96447,
Sulawesi Utara,2003,Urbanization,44.86309,15952.81825,
Sulawesi Utara,2004,Commodity driven deforestation,97660.74978,67841929.0481,
Sulawesi Utara,2004,Forestry,4241.07433,2606272.5682900003,
Sulawesi Utara,2004,Shifting agriculture,142.81687,76153.92772,
Sulawesi Utara,2004,Unknown,24.032049999999998,14454.33767,
Sulawesi Utara,2004,Urbanization,85.96199,30761.02515,
Sulawesi Utara,2005,Commodity driven deforestation,83873.05711,62575474.15127,
Sulawesi Utara,2005,Forestry,3407.76188,1949426.4237799998,
Sulawesi Utara,2005,Shifting agriculture,39.33591,16554.67134,
Sulawesi Utara,2005,Unknown,10.21469,8633.66932,
Sulawesi Utara,2005,Urbanization,73.13299,23591.68122,
Sulawesi Utara,2006,Commodity driven deforestation,163679.66738,141236973.77391,
Sulawesi Utara,2006,Forestry,6390.58769,3619230.85536,
Sulawesi Utara,2006,Shifting agriculture,163.11287,99003.38378,
Sulawesi Utara,2006,Unknown,14.66857,9148.210019999999,
Sulawesi Utara,2006,Urbanization,106.31939,39082.38311,
Sulawesi Utara,2007,Commodity driven deforestation,168297.61411999998,173159133.54335,
Sulawesi Utara,2007,Forestry,5279.34239,3058110.95614,
Sulawesi Utara,2007,Shifting agriculture,275.00534,125462.63737999999,
Sulawesi Utara,2007,Unknown,10.530840000000001,6751.829159999999,
Sulawesi Utara,2007,Urbanization,120.14705,40470.90423,
Sulawesi Utara,2008,Commodity driven deforestation,182889.93252,153653804.20779,
Sulawesi Utara,2008,Forestry,6041.1079199999995,3616288.09761,
Sulawesi Utara,2008,Shifting agriculture,175.29758,75292.80095,
Sulawesi Utara,2008,Unknown,15.98288,7478.08156,
Sulawesi Utara,2008,Urbanization,121.29936,39449.91108,
Sulawesi Utara,2009,Commodity driven deforestation,191779.87631999998,148533044.54847,
Sulawesi Utara,2009,Forestry,9065.52485,5232025.21246,
Sulawesi Utara,2009,Shifting agriculture,445.67709,186802.9861,
Sulawesi Utara,2009,Unknown,15.369130000000002,8390.82432,
Sulawesi Utara,2009,Urbanization,132.36149,47993.66087,
Sulawesi Utara,2010,Commodity driven deforestation,114590.63337,101037600.0773,
Sulawesi Utara,2010,Forestry,5343.60628,3242666.93282,
Sulawesi Utara,2010,Shifting agriculture,145.68754,76004.58754000001,
Sulawesi Utara,2010,Unknown,10.91195,4767.8588199999995,
Sulawesi Utara,2010,Urbanization,89.34209,35198.28842,
Sulawesi Utara,2011,Commodity driven deforestation,125984.37532,106635193.31885,
Sulawesi Utara,2011,Forestry,5659.4292,3742922.4981400003,
Sulawesi Utara,2011,Shifting agriculture,534.60161,594084.6915,
Sulawesi Utara,2011,Unknown,18.372819999999997,12563.507380000001,
Sulawesi Utara,2011,Urbanization,86.73019,34641.64476,
Sulawesi Utara,2012,Commodity driven deforestation,348057.29886,279960702.12057,
Sulawesi Utara,2012,Forestry,11396.6009,7269173.066029999,
Sulawesi Utara,2012,Shifting agriculture,1571.51082,1258633.92898,
Sulawesi Utara,2012,Unknown,29.58428,13335.62944,
Sulawesi Utara,2012,Urbanization,241.75369,102591.31872,
Sulawesi Utara,2013,Commodity driven deforestation,97424.305,77735111.88626,
Sulawesi Utara,2013,Forestry,3242.41475,2027277.13861,
Sulawesi Utara,2013,Shifting agriculture,186.43203999999997,154445.54934,
Sulawesi Utara,2013,Unknown,7.76004,6182.00769,
Sulawesi Utara,2013,Urbanization,88.42024,37652.6664,
Sulawesi Utara,2014,Commodity driven deforestation,150237.2539,108062648.1706,
Sulawesi Utara,2014,Forestry,7942.47459,4852059.58166,
Sulawesi Utara,2014,Shifting agriculture,1095.72085,851236.79772,
Sulawesi Utara,2014,Unknown,35.49321,27207.79824,
Sulawesi Utara,2014,Urbanization,241.90734,101749.71172,
Sulawesi Utara,2015,Commodity driven deforestation,159874.16307,132523021.96116,
Sulawesi Utara,2015,Forestry,7354.5362000000005,4927399.8615500005,
Sulawesi Utara,2015,Shifting agriculture,1606.99427,1525352.06073,
Sulawesi Utara,2015,Unknown,18.14297,16984.82892,
Sulawesi Utara,2015,Urbanization,181.68017,78296.13155,
Sulawesi Utara,2016,Commodity driven deforestation,264301.46814,245591292.66773,
Sulawesi Utara,2016,Forestry,10844.87689,7900501.772050001,
Sulawesi Utara,2016,Shifting agriculture,389.34457,264188.66229,
Sulawesi Utara,2016,Unknown,20.82655,18941.72539,
Sulawesi Utara,2016,Urbanization,200.73162,92046.06875,
Sulawesi Utara,2017,Commodity driven deforestation,116019.05541999999,84862594.96897,
Sulawesi Utara,2017,Forestry,7760.29101,4537142.25951,
Sulawesi Utara,2017,Shifting agriculture,525.99271,226069.4173,
Sulawesi Utara,2017,Unknown,9.603480000000001,8800.66704,
Sulawesi Utara,2017,Urbanization,343.38704,158627.2152,
Sulawesi Utara,2018,Commodity driven deforestation,116112.45125,72669517.90954,
Sulawesi Utara,2018,Forestry,8629.97193,5288843.95713,
Sulawesi Utara,2018,Shifting agriculture,443.49523,242449.20717,
Sulawesi Utara,2018,Unknown,5.22321,4371.03111,
Sulawesi Utara,2018,Urbanization,264.0316,125009.86949,
Sulawesi Utara,2019,Commodity driven deforestation,94751.93781,60668039.45627,
Sulawesi Utara,2019,Forestry,7201.18008,4231341.74814,
Sulawesi Utara,2019,Shifting agriculture,305.19593,165324.69165,
Sulawesi Utara,2019,Unknown,13.836500000000001,9795.37423,
Sulawesi Utara,2019,Urbanization,311.27613,149179.26589,
Sulawesi Utara,2020,Commodity driven deforestation,102903.14087,64641903.58034,
Sulawesi Utara,2020,Forestry,4993.07415,3089370.64468,
Sulawesi Utara,2020,Shifting agriculture,189.3081,97191.98298999999,
Sulawesi Utara,2020,Unknown,35.18472,21673.90103,
Sulawesi Utara,2020,Urbanization,245.97881,117713.28727,
Sulawesi Utara,2021,Commodity driven deforestation,73460.46513,44809008.32382,
Sulawesi Utara,2021,Forestry,4271.21883,2506827.69862,
Sulawesi Utara,2021,Shifting agriculture,43.94754,19588.03908,
Sulawesi Utara,2021,Unknown,1.92079,1491.88834,
Sulawesi Utara,2021,Urbanization,88.88116,42911.12213,
Sulawesi Utara,2022,Commodity driven deforestation,84098.55149,49923744.20786,
Sulawesi Utara,2022,Forestry,3579.41972,2180871.57282,
Sulawesi Utara,2022,Shifting agriculture,35.34021,15972.85445,
Sulawesi Utara,2022,Unknown,13.599590000000001,11942.70163,
Sulawesi Utara,2022,Urbanization,85.11697,42718.6463,
Sulawesi Utara,2023,Commodity driven deforestation,132468.34617,76033130.57722,
Sulawesi Utara,2023,Forestry,6501.32423,3842279.18698,
Sulawesi Utara,2023,Shifting agriculture,102.19325,44067.79434,
Sulawesi Utara,2023,Unknown,1.69015,1397.13412,
Sulawesi Utara,2023,Urbanization,164.93333,84313.40001,
Sulawesi Selatan,2001,Commodity driven deforestation,12612.23066,7353564.83976,
Sulawesi Selatan,2001,Forestry,2329.70612,1661871.9017699999,
Sulawesi Selatan,2001,Shifting agriculture,59.92633,40934.34407,
Sulawesi Selatan,2001,Unknown,18.226309999999998,12905.21341,
Sulawesi Selatan,2001,Urbanization,13.07763,8706.05897,
Sulawesi Selatan,2002,Commodity driven deforestation,11870.88976,8550706.449959999,
Sulawesi Selatan,2002,Forestry,3404.53601,2419152.69254,
Sulawesi Selatan,2002,Shifting agriculture,55.07991,38549.65249,
Sulawesi Selatan,2002,Unknown,22.06715,14918.9896,
Sulawesi Selatan,2002,Urbanization,13.61612,9230.40607,
Sulawesi Selatan,2003,Commodity driven deforestation,7992.47742,5745082.42306,
Sulawesi Selatan,2003,Forestry,1777.5683,1197486.05226,
Sulawesi Selatan,2003,Shifting agriculture,18.0779,11274.94263,
Sulawesi Selatan,2003,Unknown,9.15068,5694.62928,
Sulawesi Selatan,2003,Urbanization,7.07731,4927.82201,
Sulawesi Selatan,2004,Commodity driven deforestation,22273.01757,16878458.700039998,
Sulawesi Selatan,2004,Forestry,4194.4068800000005,2817046.23879,
