umd_tree_cover_loss__year,esa_land_cover_2015__class,area__ha,province,year
2001,Agriculture,3159.78447,Sulawesi Utara,2001.0
2001,Forest,8.2102,Sulawesi Utara,2001.0
2001,Grassland,12.12732,Sulawesi Utara,2001.0
2001,Settlement,1.76851,Sulawesi Utara,2001.0
2001,Water,23.21991,Sulawesi Utara,2001.0
2002,Agriculture,5374.56309,Sulawesi Utara,2002.0
2002,Forest,39.43369,Sulawesi Utara,2002.0
2002,Grassland,59.461710000000004,Sulawesi Utara,2002.0
2002,Settlement,0.23067,Sulawesi Utara,2002.0
2002,Water,30.96624,Sulawesi Utara,2002.0
2003,Agriculture,1830.00092,Sulawesi Utara,2003.0
2003,Forest,14.42142,Sulawesi Utara,2003.0
2003,Grassland,30.23348,Sulawesi Utara,2003.0
2003,Water,7.1435,Sulawesi Utara,2003.0
2004,Agriculture,4581.8138,Sulawesi Utara,2004.0
2004,Forest,10.508049999999999,Sulawesi Utara,2004.0
2004,Grassland,34.63119,Sulawesi Utara,2004.0
2004,Settlement,0.69202,Sulawesi Utara,2004.0
2004,Water,23.056820000000002,Sulawesi Utara,2004.0
2005,Agriculture,2255.60451,Sulawesi Utara,2005.0
2005,Forest,13.42732,Sulawesi Utara,2005.0
2005,Grassland,34.065690000000004,Sulawesi Utara,2005.0
2005,Water,10.75326,Sulawesi Utara,2005.0
2006,Agriculture,3237.11777,Sulawesi Utara,2006.0
2006,Forest,4.2935300000000005,Sulawesi Utara,2006.0
2006,Grassland,4.30291,Sulawesi Utara,2006.0
2006,Settlement,2.15296,Sulawesi Utara,2006.0
2006,Water,18.069100000000002,Sulawesi Utara,2006.0
2007,Agriculture,2923.57893,Sulawesi Utara,2007.0
2007,Forest,11.047,Sulawesi Utara,2007.0
2007,Grassland,40.90874,Sulawesi Utara,2007.0
2007,Settlement,2.22986,Sulawesi Utara,2007.0
2007,Water,25.88882,Sulawesi Utara,2007.0
2008,Agriculture,1067.03458,Sulawesi Utara,2008.0
2008,Forest,1.14885,Sulawesi Utara,2008.0
2008,Grassland,10.0737,Sulawesi Utara,2008.0
2008,Settlement,0.15378,Sulawesi Utara,2008.0
2008,Water,9.84494,Sulawesi Utara,2008.0
2009,Agriculture,4584.16547,Sulawesi Utara,2009.0
2009,Forest,3.8411999999999997,Sulawesi Utara,2009.0
2009,Grassland,25.46213,Sulawesi Utara,2009.0
2009,Settlement,2.15296,Sulawesi Utara,2009.0
2009,Water,43.99284,Sulawesi Utara,2009.0
2010,Agriculture,1452.39078,Sulawesi Utara,2010.0
2010,Forest,2.14694,Sulawesi Utara,2010.0
2010,Grassland,14.063279999999999,Sulawesi Utara,2010.0
2010,Settlement,0.07689,Sulawesi Utara,2010.0
2010,Water,13.44417,Sulawesi Utara,2010.0
2011,Agriculture,2177.46004,Sulawesi Utara,2011.0
2011,Forest,17.25039,Sulawesi Utara,2011.0
2011,Grassland,30.46328,Sulawesi Utara,2011.0
2011,Settlement,0.76892,Sulawesi Utara,2011.0
2011,Water,19.96723,Sulawesi Utara,2011.0
2012,Agriculture,1801.16675,Sulawesi Utara,2012.0
2012,Forest,3.606,Sulawesi Utara,2012.0
2012,Grassland,6.91451,Sulawesi Utara,2012.0
2012,Settlement,1.99918,Sulawesi Utara,2012.0
2012,Water,16.60499,Sulawesi Utara,2012.0
2013,Agriculture,1326.91953,Sulawesi Utara,2013.0
2013,Forest,1.91623,Sulawesi Utara,2013.0
2013,Grassland,6.06773,Sulawesi Utara,2013.0
2013,Settlement,0.76892,Sulawesi Utara,2013.0
2013,Water,6.0724,Sulawesi Utara,2013.0
2014,Agriculture,5369.48514,Sulawesi Utara,2014.0
2014,Forest,13.88037,Sulawesi Utara,2014.0
2014,Grassland,38.322680000000005,Sulawesi Utara,2014.0
2014,Settlement,1.23027,Sulawesi Utara,2014.0
2014,Water,42.59124,Sulawesi Utara,2014.0
2015,Agriculture,11001.84378,Sulawesi Utara,2015.0
2015,Forest,3.99249,Sulawesi Utara,2015.0
2015,Grassland,40.96494,Sulawesi Utara,2015.0
2015,Settlement,0.76892,Sulawesi Utara,2015.0
2015,Water,46.79574,Sulawesi Utara,2015.0
2016,Agriculture,6813.72555,Sulawesi Utara,2016.0
2016,Forest,4.29634,Sulawesi Utara,2016.0
2016,Grassland,27.39844,Sulawesi Utara,2016.0
2016,Settlement,0.23067,Sulawesi Utara,2016.0
2016,Water,46.12123,Sulawesi Utara,2016.0
2017,Agriculture,4339.50349,Sulawesi Utara,2017.0
2017,Forest,8.522,Sulawesi Utara,2017.0
2017,Grassland,24.964660000000002,Sulawesi Utara,2017.0
2017,Water,13.8322,Sulawesi Utara,2017.0
2018,Agriculture,5453.77581,Sulawesi Utara,2018.0
2018,Forest,2.37983,Sulawesi Utara,2018.0
2018,Grassland,20.19582,Sulawesi Utara,2018.0
2018,Water,52.30619,Sulawesi Utara,2018.0
2019,Agriculture,6280.803980000001,Sulawesi Utara,2019.0
2019,Forest,26.67144,Sulawesi Utara,2019.0
2019,Grassland,28.3461,Sulawesi Utara,2019.0
2019,Settlement,1.61472,Sulawesi Utara,2019.0
2019,Water,67.33735,Sulawesi Utara,2019.0
2020,Agriculture,2205.39481,Sulawesi Utara,2020.0
2020,Forest,16.97164,Sulawesi Utara,2020.0
2020,Grassland,24.418039999999998,Sulawesi Utara,2020.0
2020,Settlement,0.23067,Sulawesi Utara,2020.0
2020,Water,17.05871,Sulawesi Utara,2020.0
2021,Agriculture,2073.54229,Sulawesi Utara,2021.0
2021,Forest,2.3784699999999996,Sulawesi Utara,2021.0
2021,Grassland,8.22067,Sulawesi Utara,2021.0
2021,Settlement,0.38446,Sulawesi Utara,2021.0
2021,Water,19.526519999999998,Sulawesi Utara,2021.0
