umd_tree_cover_loss__year,wdpa_protected_areas__iucn_cat,area__ha,province,year
2001,0,3737.52235,Sulawesi Utara,2001.0
2001,1,221.78028,Sulawesi Utara,2001.0
2001,2,181.27676,Sulawesi Utara,2001.0
2002,0,5857.999989999999,Sulawesi Utara,2002.0
2002,1,630.8024,Sulawesi Utara,2002.0
2002,2,622.13402,Sulawesi Utara,2002.0
2003,0,2218.09193,Sulawesi Utara,2003.0
2003,1,196.9337,Sulawesi Utara,2003.0
2003,2,202.60986,Sulawesi Utara,2003.0
2004,0,5528.75131,Sulawesi Utara,2004.0
2004,1,737.11546,Sulawesi Utara,2004.0
2004,2,243.35772,Sulawesi Utara,2004.0
2005,0,2681.6101400000002,Sulawesi Utara,2005.0
2005,1,347.55687,Sulawesi Utara,2005.0
2005,2,187.95309,Sulawesi Utara,2005.0
2006,0,4144.82184,Sulawesi Utara,2006.0
2006,1,315.63151,Sulawesi Utara,2006.0
2006,2,127.97836,Sulawesi Utara,2006.0
2007,0,3601.18518,Sulawesi Utara,2007.0
2007,1,313.86223,Sulawesi Utara,2007.0
2007,2,142.05399,Sulawesi Utara,2007.0
2008,0,1348.3228900000001,Sulawesi Utara,2008.0
2008,1,169.16294,Sulawesi Utara,2008.0
2008,2,13.45443,Sulawesi Utara,2008.0
2009,0,5927.94672,Sulawesi Utara,2009.0
2009,1,596.87496,Sulawesi Utara,2009.0
2009,2,100.21707,Sulawesi Utara,2009.0
2010,0,1838.7570699999999,Sulawesi Utara,2010.0
2010,1,119.38969,Sulawesi Utara,2010.0
2010,2,46.04027,Sulawesi Utara,2010.0
2011,0,2642.0770199999997,Sulawesi Utara,2011.0
2011,1,140.62147,Sulawesi Utara,2011.0
2011,2,167.09888,Sulawesi Utara,2011.0
2012,0,2343.8197,Sulawesi Utara,2012.0
2012,1,87.38785,Sulawesi Utara,2012.0
2012,2,52.28164,Sulawesi Utara,2012.0
2013,0,1608.4314100000001,Sulawesi Utara,2013.0
2013,1,95.1585,Sulawesi Utara,2013.0
2013,2,29.36191,Sulawesi Utara,2013.0
2014,0,6487.62837,Sulawesi Utara,2014.0
2014,1,362.24772,Sulawesi Utara,2014.0
2014,2,118.44514000000001,Sulawesi Utara,2014.0
2015,0,13433.81953,Sulawesi Utara,2015.0
2015,1,902.7169399999999,Sulawesi Utara,2015.0
2015,2,231.65677,Sulawesi Utara,2015.0
2016,0,7412.3655,Sulawesi Utara,2016.0
2016,1,552.70107,Sulawesi Utara,2016.0
2016,2,770.08079,Sulawesi Utara,2016.0
2017,0,5211.76383,Sulawesi Utara,2017.0
2017,1,320.09372,Sulawesi Utara,2017.0
2017,2,126.35356,Sulawesi Utara,2017.0
2018,0,6776.22267,Sulawesi Utara,2018.0
2018,1,449.17783000000003,Sulawesi Utara,2018.0
2018,2,119.72184,Sulawesi Utara,2018.0
2019,0,8444.28739,Sulawesi Utara,2019.0
2019,1,349.85773,Sulawesi Utara,2019.0
2019,2,89.60661,Sulawesi Utara,2019.0
2020,0,2667.4280999999996,Sulawesi Utara,2020.0
2020,1,132.92935,Sulawesi Utara,2020.0
2020,2,56.255700000000004,Sulawesi Utara,2020.0
2021,0,2564.24388,Sulawesi Utara,2021.0
2021,1,87.31093000000001,Sulawesi Utara,2021.0
2021,2,60.8849,Sulawesi Utara,2021.0
2022,0,2446.57215,Sulawesi Utara,2022.0
2022,1,142.23834,Sulawesi Utara,2022.0
2022,2,59.85761,Sulawesi Utara,2022.0
2023,0,6100.29014,Sulawesi Utara,2023.0
2023,1,172.92938,Sulawesi Utara,2023.0
2023,2,70.04987,Sulawesi Utara,2023.0
2024,0,3489.12031,Sulawesi Utara,2024.0
2024,1,168.93209000000002,Sulawesi Utara,2024.0
2024,2,68.34338,Sulawesi Utara,2024.0
2025,0,2685.90277,Sulawesi Utara,2025.0
2025,1,182.77796,Sulawesi Utara,2025.0
2025,2,38.902390000000004,Sulawesi Utara,2025.0
null,0,21934657.11646,Sulawesi Utara,
null,1,253977.9055,Sulawesi Utara,
null,2,54745.295079999996,Sulawesi Utara,
2001,0,27878.485539999998,Sulawesi Tengah,2001.0
2001,1,728.04026,Sulawesi Tengah,2001.0
2001,2,248.70976,Sulawesi Tengah,2001.0
2002,0,52722.07602,Sulawesi Tengah,2002.0
2002,1,1878.98384,Sulawesi Tengah,2002.0
2002,2,1387.0099599999999,Sulawesi Tengah,2002.0
2003,0,27947.038239999998,Sulawesi Tengah,2003.0
2003,1,850.1336,Sulawesi Tengah,2003.0
2003,2,1200.73447,Sulawesi Tengah,2003.0
2004,0,66985.35879,Sulawesi Tengah,2004.0
2004,1,2213.34807,Sulawesi Tengah,2004.0
2004,2,1414.11982,Sulawesi Tengah,2004.0
2005,0,30143.36351,Sulawesi Tengah,2005.0
2005,1,1065.34617,Sulawesi Tengah,2005.0
2005,2,461.17448,Sulawesi Tengah,2005.0
2006,0,48811.96943,Sulawesi Tengah,2006.0
2006,1,1274.92569,Sulawesi Tengah,2006.0
2006,2,757.6674099999999,Sulawesi Tengah,2006.0
2007,0,32409.28888,Sulawesi Tengah,2007.0
2007,1,1088.01076,Sulawesi Tengah,2007.0
2007,2,712.43116,Sulawesi Tengah,2007.0
2008,0,24767.72695,Sulawesi Tengah,2008.0
2008,1,593.9641,Sulawesi Tengah,2008.0
2008,2,142.27618999999999,Sulawesi Tengah,2008.0
2009,0,84626.11744,Sulawesi Tengah,2009.0
2009,1,1812.11331,Sulawesi Tengah,2009.0
2009,2,1031.25159,Sulawesi Tengah,2009.0
2010,0,32910.98167,Sulawesi Tengah,2010.0
2010,1,513.925,Sulawesi Tengah,2010.0
2010,2,315.0442800000001,Sulawesi Tengah,2010.0
2011,0,41643.6129,Sulawesi Tengah,2011.0
2011,1,812.02198,Sulawesi Tengah,2011.0
2011,2,358.74702,Sulawesi Tengah,2011.0
2012,0,58151.08642,Sulawesi Tengah,2012.0
2012,1,768.06789,Sulawesi Tengah,2012.0
2012,2,631.7119700000001,Sulawesi Tengah,2012.0
2013,0,47886.53293,Sulawesi Tengah,2013.0
2013,1,542.63797,Sulawesi Tengah,2013.0
2013,2,488.21107,Sulawesi Tengah,2013.0
2014,0,85363.41341,Sulawesi Tengah,2014.0
2014,1,1430.61359,Sulawesi Tengah,2014.0
2014,2,905.2767299999999,Sulawesi Tengah,2014.0
2015,0,148406.97278,Sulawesi Tengah,2015.0
2015,1,3191.69396,Sulawesi Tengah,2015.0
2015,2,2569.9515800000004,Sulawesi Tengah,2015.0
2016,0,122879.89401999999,Sulawesi Tengah,2016.0
2016,1,2646.00615,Sulawesi Tengah,2016.0
2016,2,2473.99337,Sulawesi Tengah,2016.0
2017,0,69628.27168,Sulawesi Tengah,2017.0
2017,1,1538.82196,Sulawesi Tengah,2017.0
2017,2,828.03999,Sulawesi Tengah,2017.0
2018,0,68635.08529,Sulawesi Tengah,2018.0
2018,1,1755.08366,Sulawesi Tengah,2018.0
2018,2,944.34478,Sulawesi Tengah,2018.0
2019,0,90029.9188,Sulawesi Tengah,2019.0
2019,1,1614.52038,Sulawesi Tengah,2019.0
2019,2,1040.85144,Sulawesi Tengah,2019.0
2020,0,45121.58759,Sulawesi Tengah,2020.0
2020,1,1065.76713,Sulawesi Tengah,2020.0
2020,2,736.9511699999999,Sulawesi Tengah,2020.0
2021,0,35543.90637,Sulawesi Tengah,2021.0
2021,1,654.17973,Sulawesi Tengah,2021.0
2021,2,609.52154,Sulawesi Tengah,2021.0
2022,0,42470.404520000004,Sulawesi Tengah,2022.0
2022,1,866.91512,Sulawesi Tengah,2022.0
2022,2,601.5848,Sulawesi Tengah,2022.0
2023,0,85217.28009,Sulawesi Tengah,2023.0
2023,1,1517.61859,Sulawesi Tengah,2023.0
2023,2,1159.4878,Sulawesi Tengah,2023.0
2024,0,47949.06648,Sulawesi Tengah,2024.0
2024,1,1114.50819,Sulawesi Tengah,2024.0
2024,2,805.3724599999999,Sulawesi Tengah,2024.0
2025,0,58482.81982,Sulawesi Tengah,2025.0
2025,1,1458.395,Sulawesi Tengah,2025.0
2025,2,742.61675,Sulawesi Tengah,2025.0
null,0,26139765.36673,Sulawesi Tengah,
null,1,1158990.79159,Sulawesi Tengah,
null,2,1619431.93389,Sulawesi Tengah,
2001,0,19610.22212,Sulawesi Selatan,2001.0
2001,1,1140.06101,Sulawesi Selatan,2001.0
2001,2,78.17788,Sulawesi Selatan,2001.0
2002,0,23905.529710000003,Sulawesi Selatan,2002.0
2002,1,1040.9479000000001,Sulawesi Selatan,2002.0
2002,2,90.049,Sulawesi Selatan,2002.0
2003,0,14813.47666,Sulawesi Selatan,2003.0
2003,1,2131.48037,Sulawesi Selatan,2003.0
2003,2,38.57017,Sulawesi Selatan,2003.0
2004,0,50895.75737,Sulawesi Selatan,2004.0
2004,1,3764.6721399999997,Sulawesi Selatan,2004.0
2004,2,114.35305,Sulawesi Selatan,2004.0
2005,0,21726.58127,Sulawesi Selatan,2005.0
2005,1,682.2751,Sulawesi Selatan,2005.0
2005,2,65.91976,Sulawesi Selatan,2005.0
2006,0,44575.56981,Sulawesi Selatan,2006.0
2006,1,2062.39172,Sulawesi Selatan,2006.0
2006,2,107.59533,Sulawesi Selatan,2006.0
2007,0,18242.8489,Sulawesi Selatan,2007.0
2007,1,471.72693000000004,Sulawesi Selatan,2007.0
2007,2,55.73216,Sulawesi Selatan,2007.0
2008,0,15949.71115,Sulawesi Selatan,2008.0
2008,1,284.08619,Sulawesi Selatan,2008.0
2008,2,85.63786999999999,Sulawesi Selatan,2008.0
2009,0,45162.01972,Sulawesi Selatan,2009.0
2009,1,759.89977,Sulawesi Selatan,2009.0
2009,2,201.87801,Sulawesi Selatan,2009.0
2010,0,15846.77032,Sulawesi Selatan,2010.0
2010,1,257.13176,Sulawesi Selatan,2010.0
2010,2,54.03201,Sulawesi Selatan,2010.0
2011,0,34126.51105,Sulawesi Selatan,2011.0
2011,1,612.0212200000001,Sulawesi Selatan,2011.0
2011,2,193.97591,Sulawesi Selatan,2011.0
2012,0,38087.27194,Sulawesi Selatan,2012.0
2012,1,447.26398000000006,Sulawesi Selatan,2012.0
2012,2,120.32143,Sulawesi Selatan,2012.0
2013,0,27850.54103,Sulawesi Selatan,2013.0
2013,1,482.37377000000004,Sulawesi Selatan,2013.0
2013,2,79.18605,Sulawesi Selatan,2013.0
2014,0,64860.37693,Sulawesi Selatan,2014.0
2014,1,738.7422399999999,Sulawesi Selatan,2014.0
2014,2,185.69677000000001,Sulawesi Selatan,2014.0
2015,0,72730.39506,Sulawesi Selatan,2015.0
2015,1,1039.54461,Sulawesi Selatan,2015.0
2015,2,246.89860000000002,Sulawesi Selatan,2015.0
2016,0,69164.03188,Sulawesi Selatan,2016.0
2016,1,1560.83223,Sulawesi Selatan,2016.0
2016,2,416.13145,Sulawesi Selatan,2016.0
2017,0,52295.5365,Sulawesi Selatan,2017.0
2017,1,790.23134,Sulawesi Selatan,2017.0
2017,2,441.3629,Sulawesi Selatan,2017.0
2018,0,46089.09826,Sulawesi Selatan,2018.0
2018,1,408.37824,Sulawesi Selatan,2018.0
2018,2,172.98633,Sulawesi Selatan,2018.0
2019,0,66209.20748,Sulawesi Selatan,2019.0
2019,1,927.6033500000001,Sulawesi Selatan,2019.0
2019,2,287.36948,Sulawesi Selatan,2019.0
2020,0,32877.564790000004,Sulawesi Selatan,2020.0
2020,1,340.20213,Sulawesi Selatan,2020.0
2020,2,381.53866999999997,Sulawesi Selatan,2020.0
2021,0,25386.42208,Sulawesi Selatan,2021.0
2021,1,284.62864,Sulawesi Selatan,2021.0
2021,2,236.62081,Sulawesi Selatan,2021.0
2022,0,35790.75574,Sulawesi Selatan,2022.0
2022,1,256.33023,Sulawesi Selatan,2022.0
2022,2,188.28428,Sulawesi Selatan,2022.0
2023,0,77996.62327,Sulawesi Selatan,2023.0
2023,1,929.52705,Sulawesi Selatan,2023.0
2023,2,267.91663,Sulawesi Selatan,2023.0
2024,0,28814.486,Sulawesi Selatan,2024.0
2024,1,269.57302,Sulawesi Selatan,2024.0
2024,2,122.95679,Sulawesi Selatan,2024.0
2025,0,42695.11128,Sulawesi Selatan,2025.0
2025,1,434.49609,Sulawesi Selatan,2025.0
2025,2,181.79783,Sulawesi Selatan,2025.0
null,0,21152195.37027,Sulawesi Selatan,
null,1,793274.8535199999,Sulawesi Selatan,
null,2,630207.2662,Sulawesi Selatan,
2001,0,14114.08786,Sulawesi Tenggara,2001.0
2001,1,1015.60803,Sulawesi Tenggara,2001.0
2001,2,237.31459,Sulawesi Tenggara,2001.0
2002,0,14460.61796,Sulawesi Tenggara,2002.0
2002,1,695.63508,Sulawesi Tenggara,2002.0
2002,2,407.52444,Sulawesi Tenggara,2002.0
2003,0,10814.7978,Sulawesi Tenggara,2003.0
2003,1,2079.7801200000004,Sulawesi Tenggara,2003.0
2003,2,256.82184,Sulawesi Tenggara,2003.0
2004,0,36550.84054,Sulawesi Tenggara,2004.0
2004,1,3579.1391999999996,Sulawesi Tenggara,2004.0
2004,2,268.69524,Sulawesi Tenggara,2004.0
2005,0,15447.56951,Sulawesi Tenggara,2005.0
2005,1,581.6409199999999,Sulawesi Tenggara,2005.0
