year,deforestation_ha,province
2016.0,8735.14735,Sulawesi Utara
2017.0,5658.21112,Sulawesi Utara
2018.0,7345.12233,Sulawesi Utara
2019.0,8883.75172,Sulawesi Utara
2020.0,2856.6131499999997,Sulawesi Utara
2021.0,2712.4397,Sulawesi Utara
2022.0,2648.66808,Sulawesi Utara
2023.0,6343.2694,Sulawesi Utara
2016.0,127999.89357,Sulawesi Tengah
2017.0,71995.13363,Sulawesi Tengah
2018.0,71334.51374,Sulawesi Tengah
2019.0,92685.29062,Sulawesi Tengah
2020.0,46924.30591,Sulawesi Tengah
2021.0,36807.60763,Sulawesi Tengah
2022.0,43938.90444,Sulawesi Tengah
2023.0,87894.38647,Sulawesi Tengah
2016.0,71140.99557,Sulawesi Selatan
2017.0,53527.13072,Sulawesi Selatan
2018.0,46670.4628,Sulawesi Selatan
2019.0,67424.18031,Sulawesi Selatan
2020.0,33599.30558,Sulawesi Selatan
2021.0,25907.67155,Sulawesi Selatan
2022.0,36235.37023,Sulawesi Selatan
2023.0,79194.06695000001,Sulawesi Selatan
2016.0,39632.87829,Sulawesi Tenggara
2017.0,29650.55887,Sulawesi Tenggara
2018.0,28050.4101,Sulawesi Tenggara
2019.0,41159.92727,Sulawesi Tenggara
2020.0,20725.819239999997,Sulawesi Tenggara
2021.0,13790.03328,Sulawesi Tenggara
2022.0,14541.82981,Sulawesi Tenggara
2023.0,43927.19132,Sulawesi Tenggara
2016.0,15680.69561,Gorontalo
2017.0,11903.02943,Gorontalo
2018.0,11535.778760000001,Gorontalo
2019.0,16577.43649,Gorontalo
2020.0,4562.55486,Gorontalo
2021.0,3438.0323900000003,Gorontalo
2022.0,4175.99545,Gorontalo
2023.0,11475.69858,Gorontalo
2016.0,22866.20783,Sulawesi Barat
2017.0,19627.035900000003,Sulawesi Barat
2018.0,21741.28924,Sulawesi Barat
2019.0,24489.7402,Sulawesi Barat
2020.0,13135.724750000001,Sulawesi Barat
2021.0,13505.43102,Sulawesi Barat
2022.0,14573.860400000001,Sulawesi Barat
2023.0,27140.44936,Sulawesi Barat
