provinsi,tahun,indikator,nilai,satuan
Aceh,2014,Keluhan Kesehatan Umum,30.55,Persen
Aceh,2015,Keluhan Kesehatan Umum,27.92,Persen
Sumatera Utara,2014,Keluhan Kesehatan Umum,23.55,Persen
Sumatera Utara,2015,Keluhan Kesehatan Umum,23.04,Persen
Sumatera Barat,2014,Keluhan Kesehatan Umum,31.8,Persen
Sumatera Barat,2015,Keluhan Kesehatan Umum,28.92,Persen
Riau,2014,Keluhan Kesehatan Umum,26.19,Persen
Riau,2015,Keluhan Kesehatan Umum,29.71,Persen
Jambi,2014,Keluhan Kesehatan Umum,21.91,Persen
Jambi,2015,Keluhan Kesehatan Umum,24.45,Persen
Sumatera Selatan,2014,Keluhan Kesehatan Umum,26.75,Persen
Sumatera Selatan,2015,Keluhan Kesehatan Umum,29.41,Persen
Bengkulu,2014,Keluhan Kesehatan Umum,29.96,Persen
Bengkulu,2015,Keluhan Kesehatan Umum,27.96,Persen
Lampung,2014,Keluhan Kesehatan Umum,28.63,Persen
Lampung,2015,Keluhan Kesehatan Umum,31.42,Persen
Kep. Bangka Belitung,2014,Keluhan Kesehatan Umum,26.27,Persen
Kep. Bangka Belitung,2015,Keluhan Kesehatan Umum,30.42,Persen
Kep. Riau,2014,Keluhan Kesehatan Umum,22.82,Persen
Kep. Riau,2015,Keluhan Kesehatan Umum,21.28,Persen
Dki Jakarta,2014,Keluhan Kesehatan Umum,30.45,Persen
Dki Jakarta,2015,Keluhan Kesehatan Umum,33.39,Persen
Jawa Barat,2014,Keluhan Kesehatan Umum,28.23,Persen
Jawa Barat,2015,Keluhan Kesehatan Umum,28.11,Persen
Jawa Tengah,2014,Keluhan Kesehatan Umum,32.92,Persen
Jawa Tengah,2015,Keluhan Kesehatan Umum,35.52,Persen
Di Yogyakarta,2014,Keluhan Kesehatan Umum,42.28,Persen
Di Yogyakarta,2015,Keluhan Kesehatan Umum,39.58,Persen
Jawa Timur,2014,Keluhan Kesehatan Umum,30.21,Persen
Jawa Timur,2015,Keluhan Kesehatan Umum,33.45,Persen
Banten,2014,Keluhan Kesehatan Umum,29.48,Persen
Banten,2015,Keluhan Kesehatan Umum,30.34,Persen
Bali,2014,Keluhan Kesehatan Umum,36.24,Persen
Bali,2015,Keluhan Kesehatan Umum,35.29,Persen
Nusa Tenggara Barat,2014,Keluhan Kesehatan Umum,37.13,Persen
Nusa Tenggara Barat,2015,Keluhan Kesehatan Umum,34.87,Persen
Nusa Tenggara Timur,2014,Keluhan Kesehatan Umum,33.85,Persen
Nusa Tenggara Timur,2015,Keluhan Kesehatan Umum,37.03,Persen
Kalimantan Barat,2014,Keluhan Kesehatan Umum,26.53,Persen
Kalimantan Barat,2015,Keluhan Kesehatan Umum,25.62,Persen
Kalimantan Tengah,2014,Keluhan Kesehatan Umum,26.57,Persen
Kalimantan Tengah,2015,Keluhan Kesehatan Umum,25.39,Persen
Kalimantan Selatan,2014,Keluhan Kesehatan Umum,34.79,Persen
Kalimantan Selatan,2015,Keluhan Kesehatan Umum,39.27,Persen
Kalimantan Timur,2014,Keluhan Kesehatan Umum,21.22,Persen
Kalimantan Timur,2015,Keluhan Kesehatan Umum,21.98,Persen
Kalimantan Utara,2015,Keluhan Kesehatan Umum,23.65,Persen
Sulawesi Utara,2014,Keluhan Kesehatan Umum,26.38,Persen
Sulawesi Utara,2015,Keluhan Kesehatan Umum,27.31,Persen
Sulawesi Tengah,2014,Keluhan Kesehatan Umum,30.47,Persen
Sulawesi Tengah,2015,Keluhan Kesehatan Umum,29.21,Persen
Sulawesi Selatan,2014,Keluhan Kesehatan Umum,24.78,Persen
Sulawesi Selatan,2015,Keluhan Kesehatan Umum,26.3,Persen
Sulawesi Tenggara,2014,Keluhan Kesehatan Umum,28.94,Persen
Sulawesi Tenggara,2015,Keluhan Kesehatan Umum,25.86,Persen
Gorontalo,2014,Keluhan Kesehatan Umum,36.81,Persen
Gorontalo,2015,Keluhan Kesehatan Umum,37.43,Persen
Sulawesi Barat,2014,Keluhan Kesehatan Umum,31.48,Persen
Sulawesi Barat,2015,Keluhan Kesehatan Umum,29.6,Persen
Maluku,2014,Keluhan Kesehatan Umum,20.1,Persen
Maluku,2015,Keluhan Kesehatan Umum,17.59,Persen
Maluku Utara,2014,Keluhan Kesehatan Umum,15.7,Persen
