Provinsi,IKU,Tahun,Halaman,Tabel
Sulawesi Barat,97.0,2015,216,0
Sulawesi Tengah,73.0,2015,270,0
Sulawesi Utara,90.0,2015,216,0
Gorontalo,77.0,2016,270,0
Sulawesi Barat,97.0,2016,204,0
Sulawesi Tengah,73.0,2016,204,0
Gorontalo,90.24,2017,89,0
Sulawesi Barat,86.58,2017,89,0
Sulawesi Selatan,87.98,2017,89,0
Sulawesi Tengah,87.96,2017,89,0
Sulawesi Tenggara,86.5,2017,89,0
Sulawesi Utara,83.97,2017,89,0
Gorontalo,88.3,2018,158,0
Sulawesi Barat,89.2,2018,158,0
Sulawesi Selatan,76.8,2018,158,0
Sulawesi Tengah,89.1,2018,158,0
Sulawesi Tenggara,83.6,2018,158,0
Sulawesi Utara,92.7,2018,158,0
