Provinsi,IKU,Tahun,Halaman,Tabel
Sulawesi Barat,97.0,2015,216,0
Sulawesi Tengah,73.0,2015,270,0
Sulawesi Tengah,78.0,2015,270,0
Sulawesi Utara,90.0,2015,216,0
Sulawesi Utara,99.0,2015,216,0
Gorontalo,77.0,2016,270,0
Sulawesi Barat,97.0,2016,204,0
Sulawesi Tengah,73.0,2016,204,0
Sulawesi Tengah,73.0,2016,270,0
Sulawesi Tengah,78.0,2016,270,0
Gorontalo,90.24,2017,89,0
Gorontalo,96.2,2017,89,0
Gorontalo,77.0,2017,250,0
Sulawesi Barat,86.58,2017,89,0
Sulawesi Barat,92.23,2017,89,0
Sulawesi Barat,89.21,2017,89,0
Sulawesi Selatan,87.98,2017,89,0
Sulawesi Selatan,90.43,2017,89,0
Sulawesi Selatan,76.8,2017,89,0
Sulawesi Selatan,91.0,2017,250,0
Sulawesi Tengah,87.96,2017,89,0
Sulawesi Tengah,85.99,2017,89,0
Sulawesi Tengah,89.12,2017,89,0
Sulawesi Tengah,73.0,2017,250,0
Sulawesi Tengah,78.0,2017,250,0
Sulawesi Tenggara,86.5,2017,89,0
Sulawesi Tenggara,92.56,2017,89,0
Sulawesi Tenggara,83.61,2017,89,0
Sulawesi Utara,83.97,2017,89,0
Sulawesi Utara,88.55,2017,89,0
Sulawesi Utara,92.72,2017,89,0
Gorontalo,88.3,2018,158,0
Gorontalo,94.8,2018,158,0
Gorontalo,77.0,2018,237,0
Sulawesi Barat,89.2,2018,158,0
Sulawesi Barat,86.4,2018,158,0
Sulawesi Barat,91.5,2018,158,0
Sulawesi Selatan,76.8,2018,158,0
Sulawesi Selatan,85.8,2018,158,0
Sulawesi Selatan,88.7,2018,158,0
Sulawesi Selatan,91.0,2018,237,0
Sulawesi Tengah,89.1,2018,158,0
Sulawesi Tengah,87.9,2018,158,0
Sulawesi Tengah,94.4,2018,158,0
Sulawesi Tengah,78.0,2018,237,0
Sulawesi Tenggara,83.6,2018,158,0
Sulawesi Tenggara,83.5,2018,158,0
Sulawesi Tenggara,91.0,2018,158,0
Sulawesi Utara,92.7,2018,158,0
Sulawesi Utara,86.7,2018,158,0
Sulawesi Utara,94.3,2018,158,0
