"Provinsi
Province",2019,2020,2021,2022,2023
(1),(2),(3),(4),(5),(6)
,,,,,
Aceh,"90,71","89,51","89,63","90,62","90,94"
Sumatera Utara,"86,58","89,22","89,55","89,69","90,90"
Sumatera Barat,"89,45","90,39","90,22","90,65","90,53"
Riau,"90,20","90,42","90,13","90,69","90,89"
Jambi,"87,25","85,65","87,08","89,85","90,57"
Sumatera Selatan,"87,13","86,57","86,28","89,10","87,76"
Bengkulu,"92,69","90,52","90,81","91,27","92,49"
Lampung,"86,62","85,45","85,46","87,32","88,04"
Kepulauan Bangka Belitung,"91,94","91,03","90,39","d
89,75","90,15"
Kepulauan Riau,"90,63","90,80","90,91","i
90,27","90,13"
,,,,.,
DKI Jakarta,"67,97","66,69","o
66,52","68,06","68,46"
Jawa Barat,"75,10","78,46","g
.
79,34","80,31","81,39"
Jawa Tengah,"84,81","84,73","s
84,60","85,14","86,35"
DI Yogyakarta,"85,19","89,55","p
88,59","89,16","89,01"
Jawa Timur,"83,06","84,06","b
83,20","84,28","84,73"
Banten,"74,98","w
72,83",".
74,14","73,97","66,67"
,,,,,
Bali,"89,85","w
88,34","89,28","89,19","88,99"
Nusa Tenggara Barat,"87,51","w
88,63","88,52","89,30","90,21"
Nusa Tenggara Timur,"88,18","/
89,80","90,51","91,52","92,03"
,,/,,,
Kalimantan Barat,"s
90,04",":
88,88","90,71","90,90","92,03"
Kalimantan Tengah,"p
88,82","89,84","90,39","91,25","91,47"
Kalimantan Selatan,"t
88,78","88,93","89,15","89,52","92,85"
Kalimantan Timur,"t
h
90,02","89,02","88,84","87,59","89,64"
Kalimantan Utara,"93,79","94,23","93,43","94,52","93,91"
,,,,,
Sulawesi Utara,"92,41","90,53","91,27","92,41","93,52"
Sulawesi Tengah,"92,98","91,80","91,33","91,86","91,88"
Sulawesi Selatan,"89,60","88,73","89,13","90,35","90,58"
Sulawesi Tenggara,"90,01","91,21","90,89","92,05","92,83"
Gorontalo,"86,88","93,89","93,96","94,47","94,43"
Sulawesi Barat,"89,97","89,72","90,97","91,88","93,33"
,,,,,
Maluku,"88,72","90,41","90,70","91,46","92,47"
Maluku Utara,"92,38","92,10","91,64","92,74","93,19"
Papua Barat,"92,64","94,83","95,60","95,79","96,22"
Papua Barat Daya,–,–,–,–,"96,28"
Papua,"92,56","94,57","94,02","95,32","95,87"
Papua Selatan,–,–,–,–,"95,44"
Papua Tengah,–,–,–,–,"95,33"
Papua Pegunungan,–,–,–,–,"97,68"
,,,,,
Indonesia,"86,56","87,21","87,36","88,06","88,67"
