"Provinsi
Province",20211,20222,20233,20244,20255
(1),(2),(3),(4),(5),(6)
,,,,,
Aceh,13.367,14.015,125.644,123.464,134.044
Sumatera Utara,24.413,12.087,137.610,163.195,158.286
Sumatera Barat,20.963,12.169,84.002,91.149,93.236
Riau,140.582,140.728,128.720,141.299,132.072
Jambi,11.647,9.674,83.514,76.266,80.007
Sumatera Selatan,297.546,13.659,108.139,106.945,117.042
Bengkulu,1.140,2.219,42.011,42.391,35.995
Lampung,708.981,1.362.718,96.717,96.108,96.028
Kepulauan Bangka Belitung,7.076,9.304,58.313,55.071,62.820
Kepulauan Riau,4.533,4.369,37.125,36.690,34.947
,,,,,
DKI Jakarta,4.063.993,3.213.639,5.221.150,6.222.658,6.240.362
Jawa Barat,95.298,40.174,"d
353.129",397.348,457.638
Jawa Tengah,223.819,203.333,"i
.
232.094",170.808,153.704
DI Yogyakarta,85.237,172.409,"o
385.425",288.558,316.408
Jawa Timur,3.816.228,32.322,"g
.
245.380",255.648,255.237
Banten,55.051,50.747,"s
77.976",75.808,78.670
,,,,,
Bali,29.900,"p
–",60.202,75.178,81.154
Nusa Tenggara Barat,12.436,"b
.
33.037",99.688,99.495,102.294
Nusa Tenggara Timur,103.722,"w
5.721",91.665,87.220,97.866
,,,,,
Kalimantan Barat,834.075,"w
5.205",67.376,79.017,78.247
Kalimantan Tengah,15.067,"w
6.760",109.890,168.992,269.374
Kalimantan Selatan,"/
1.546",323.403,309.307,373.311,235.369
Kalimantan Timur,"/
:
30.539",21.725,358.943,318.216,340.052
Kalimantan Utara,"s
15.059",7.567,58.324,86.512,89.017
,p,,,,
Sulawesi Utara,"t
54.124",59.930,103.506,83.808,99.828
Sulawesi Tengah,"t
h
9.453",3.927,78.621,89.536,87.109
Sulawesi Selatan,1.546,36.503,137.420,156.698,158.782
Sulawesi Tenggara,160.569,30.635,74.037,79.552,93.577
Gorontalo,19.860,11.289,43.884,39.810,39.677
Sulawesi Barat,16.725,26.506,57.506,88.159,101.925
,,,,,
Maluku,–,24.502,57.176,50.770,55.344
Maluku Utara,12.673,36.319,134.132,78.155,70.728
Papua Barat,54.749,60.385,187.314,173.007,109.567
Papua Barat Daya,–,–,54.197,48.347,36.317
Papua,76.589,6.604,70.112,61.183,59.168
Papua Selatan,–,–,11.845,9.354,37.064
Papua Tengah,–,–,40.262,56.564,57.505
Papua Pegunungan,–,–,17.006,48.404,37.290
,,,,,
