Tahun,Provinsi,IKU,Sumber
2019,Gorontalo,86.88,SLHI_2024.pdf
2019,Sulawesi Barat,89.97,SLHI_2024.pdf
2019,Sulawesi Selatan,89.6,SLHI_2024.pdf
2019,Sulawesi Tengah,92.98,SLHI_2024.pdf
2019,Sulawesi Tenggara,90.01,SLHI_2024.pdf
2019,Sulawesi Utara,92.41,SLHI_2024.pdf
2020,Gorontalo,93.89,SLHI_2024.pdf
2020,Sulawesi Barat,89.72,SLHI_2024.pdf
2020,Sulawesi Selatan,88.73,SLHI_2024.pdf
2020,Sulawesi Tengah,91.8,SLHI_2024.pdf
2020,Sulawesi Tenggara,91.21,SLHI_2024.pdf
2020,Sulawesi Utara,90.53,SLHI_2024.pdf
2021,Gorontalo,93.96,SLHI_2024.pdf
2021,Sulawesi Barat,90.97,SLHI_2024.pdf
2021,Sulawesi Selatan,89.13,SLHI_2024.pdf
2021,Sulawesi Tengah,91.33,SLHI_2024.pdf
2021,Sulawesi Tenggara,90.89,SLHI_2024.pdf
2021,Sulawesi Utara,91.27,SLHI_2024.pdf
2022,Gorontalo,94.47,SLHI_2024.pdf
2022,Sulawesi Barat,91.88,SLHI_2024.pdf
2022,Sulawesi Selatan,90.35,SLHI_2024.pdf
2022,Sulawesi Tengah,91.86,SLHI_2024.pdf
2022,Sulawesi Tenggara,92.05,SLHI_2024.pdf
2022,Sulawesi Utara,92.41,SLHI_2024.pdf
2023,Gorontalo,94.43,SLHI_2024.pdf
2023,Sulawesi Barat,93.33,SLHI_2024.pdf
2023,Sulawesi Selatan,90.58,SLHI_2024.pdf
2023,Sulawesi Tengah,91.88,SLHI_2024.pdf
2023,Sulawesi Tenggara,92.83,SLHI_2024.pdf
2023,Sulawesi Utara,91.07,SLHI_2023.pdf
2025,Gorontalo,92.73,SLHI_2025.pdf
2025,Sulawesi Barat,91.46,SLHI_2025.pdf
2025,Sulawesi Selatan,93.36,SLHI_2025.pdf
2025,Sulawesi Tengah,92.93,SLHI_2025.pdf
2025,Sulawesi Tenggara,93.83,SLHI_2025.pdf
2025,Sulawesi Utara,93.44,SLHI_2025.pdf
