Tahun,Provinsi,Indeks Kualitas Udara,Kolom,Halaman,Sumber
2023,Sulawesi Utara,91.07,"Indeks Kualitas Udara
Air Quality Index",227,SLHI_2023.pdf
2024,Sulawesi Utara,92.41,2019,128,SLHI_2024.pdf
2024,Sulawesi Utara,90.53,2020,128,SLHI_2024.pdf
2024,Sulawesi Utara,91.27,2021,128,SLHI_2024.pdf
2024,Sulawesi Utara,92.41,2022,128,SLHI_2024.pdf
2024,Sulawesi Utara,93.52,2023,128,SLHI_2024.pdf
2024,Sulawesi Tengah,92.98,2019,128,SLHI_2024.pdf
2024,Sulawesi Tengah,91.8,2020,128,SLHI_2024.pdf
2024,Sulawesi Tengah,91.33,2021,128,SLHI_2024.pdf
2024,Sulawesi Tengah,91.86,2022,128,SLHI_2024.pdf
2024,Sulawesi Tengah,91.88,2023,128,SLHI_2024.pdf
2024,Sulawesi Selatan,89.6,2019,128,SLHI_2024.pdf
2024,Sulawesi Selatan,88.73,2020,128,SLHI_2024.pdf
2024,Sulawesi Selatan,89.13,2021,128,SLHI_2024.pdf
2024,Sulawesi Selatan,90.35,2022,128,SLHI_2024.pdf
2024,Sulawesi Selatan,90.58,2023,128,SLHI_2024.pdf
2024,Sulawesi Tenggara,90.01,2019,128,SLHI_2024.pdf
2024,Sulawesi Tenggara,91.21,2020,128,SLHI_2024.pdf
2024,Sulawesi Tenggara,90.89,2021,128,SLHI_2024.pdf
2024,Sulawesi Tenggara,92.05,2022,128,SLHI_2024.pdf
2024,Sulawesi Tenggara,92.83,2023,128,SLHI_2024.pdf
2024,Gorontalo,86.88,2019,128,SLHI_2024.pdf
2024,Gorontalo,93.89,2020,128,SLHI_2024.pdf
2024,Gorontalo,93.96,2021,128,SLHI_2024.pdf
2024,Gorontalo,94.47,2022,128,SLHI_2024.pdf
2024,Gorontalo,94.43,2023,128,SLHI_2024.pdf
2024,Sulawesi Barat,89.97,2019,128,SLHI_2024.pdf
2024,Sulawesi Barat,89.72,2020,128,SLHI_2024.pdf
2024,Sulawesi Barat,90.97,2021,128,SLHI_2024.pdf
2024,Sulawesi Barat,91.88,2022,128,SLHI_2024.pdf
2024,Sulawesi Barat,93.33,2023,128,SLHI_2024.pdf
2024,Sulawesi Utara,9.725,20201,327,SLHI_2024.pdf
2024,Sulawesi Utara,54.124,20212,327,SLHI_2024.pdf
2024,Sulawesi Utara,59.93,20223,327,SLHI_2024.pdf
2024,Sulawesi Utara,83.808,20245,327,SLHI_2024.pdf
