"Level 1","Level 2","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Forest","","40482786.492944","40911716.264731735","40613216.623546444","40690205.6621228","40506937.82471064","40115692.445472755","39542951.04801343","38378422.45052546","37204898.16027312","36645405.02214858","36054913.78763836","35582835.45469613","35410415.64919376","35297510.17054901","35127063.853927284","35139324.790015444","34870758.53799495","34662381.73138376","34607140.766311534","34237363.9572521","34144135.31763711","33505359.656754907","33308892.712053314","33231896.84630741","32954901.5301907","32596826.136453934","32325171.01716887","32373301.921965852","32288843.081696663","32215625.889104214","32126669.291980952","32400846.778230585","32430398.387744695","32163632.54454756","31899836.370870557"
"Forest","Forest Formation","31925897.285658263","32367836.735826552","32185248.197582148","32294277.376855806","32146660.526260003","31890182.52363105","31393704.61979285","30678360.87351599","30128550.159613308","29834045.049556624","29324852.4415386","28925621.46182068","28881517.21835352","28916736.76571872","28827627.160715315","28918203.270825915","28842074.651054922","28854682.912771326","28890235.61759359","28675551.62933603","28686985.69784276","28190988.22976759","28089592.074883364","28104968.84712155","27950751.64535735","27821184.21725057","27805546.75758469","27873142.445936114","27808959.097684864","27774280.912428763","27660602.926311243","27912115.31172652","27955548.852335703","27729391.456272673","27396868.29831688"
"Forest","Mangrove","754311.5763077578","771871.1056257307","764434.3439337334","753273.0183397868","769868.6688923549","757255.3526371542","738912.1097540994","715690.1523242663","685459.897137873","655366.5343647032","655296.0396081489","619242.0903464928","597197.4131246454","584329.866621424","588623.3916987544","577010.5233603609","582448.5519343144","603968.735608352","614554.3170818697","601639.5895049998","580269.1732539086","576169.3788726706","588140.8051084641","600140.1540269516","602334.7263433586","592471.9943075967","583822.2979530996","585173.0835578808","585963.0838294473","571797.2079752776","566068.0198149752","567992.8050631034","567402.78086027","584369.4550110929","586382.9634725607"
"Forest","Peat Swamp Forest","7802577.630977982","7772008.423279451","7663534.08203056","7642655.266927205","7590408.629558277","7468254.569204551","7410334.318466474","6984371.424685205","6390888.103521936","6155993.43822725","6074765.306491615","6037971.902528955","5931701.017715589","5796443.538208869","5710813.301513214","5644110.99582917","5446235.335005717","5203730.083004087","5102350.831636076","4960172.738411072","4876880.446540439","4738202.048114647","4631159.832061484","4526787.845158909","4401815.158489988","4183169.924895768","3935801.961631078","3914986.3924718555","3893920.9001823515","3869547.7687001736","3899998.3458547336","3920738.6614409625","3907446.754548723","3849871.633263797","3916585.109081116"
"Non-Forest Natural Formation","","7773994.595931359","7393197.177608598","7518184.9478914","7506770.813888929","7737954.980290632","7734705.263335172","8265572.253159474","9325922.052732391","10568415.653029144","11072892.148650918","11099650.747957945","11388175.031898448","11286632.605296077","11463580.875180217","11530549.545724181","11245222.75653448","11337078.424387477","11252321.635099947","10891102.649423875","10659543.047736734","10221283.59062992","10408416.766910754","10314821.337819869","9987575.29856367","9918173.520151613","9871449.417507797","9794761.066600846","9608665.501735833","9627313.144842338","9555780.686196825","9358714.837256825","9132728.754723618","8754707.242199006","8927214.76634671","9203293.088070802"
"Non-Forest Natural Formation","Other Natural Vegetation","7773994.595931359","7393197.177608598","7518184.9478914","7506770.813888929","7737954.980290632","7734705.263335172","8265572.253159474","9325922.052732391","10568415.653029144","11072892.148650918","11099650.747957945","11388175.031898448","11286632.605296077","11463580.875180217","11530549.545724181","11245222.75653448","11337078.424387477","11252321.635099947","10891102.649423875","10659543.047736734","10221283.59062992","10408416.766910754","10314821.337819869","9987575.29856367","9918173.520151613","9871449.417507797","9794761.066600846","9608665.501735833","9627313.144842338","9555780.686196825","9358714.837256825","9132728.754723618","8754707.242199006","8927214.76634671","9203293.088070802"
"Agriculture","","2990633.671447226","2896355.1405697763","3083637.2155536544","3191320.2851200933","3094895.67170792","3178235.1675892724","3258388.6336217206","3240735.4072231753","3193955.857666389","3321515.7218431924","3810512.946889816","3871259.7434960846","4003826.350019623","4065963.0009699883","4157529.9643157935","4435296.376073937","4528748.60255889","4919512.521189684","5285840.437644507","5733899.389151806","6150365.073245898","6599163.5191554995","7066709.247068307","7485066.497829383","7812364.6755114775","8262075.954603696","8635612.26368348","8942186.686057884","9145606.607610635","9344165.597397204","9438643.970435424","9453831.685680835","9725523.208522484","9701437.59906734","9575148.769871693"
"Agriculture","Rice Paddy","526024.5482944146","521524.7818833684","517510.84532071045","536724.0537946201","561173.9461609817","557222.9094188875","595910.838174905","591817.1792471565","579941.5377752272","556844.6703443489","565273.9023756444","577698.4720798613","610131.1496716294","624268.9384679944","593319.9079969353","601346.3593274924","595749.7421515398","618188.1329710169","601399.2315066251","625974.9964879106","624661.7030281179","648877.6210816032","655714.0978588026","638297.5957580544","649424.0658139589","660821.6029914741","680021.1194258864","672557.5919937245","676986.5665598174","682706.925261479","673529.7316253695","682924.7682009159","659480.2143733329","671399.3981957244","671224.0464005612"
"Agriculture","Oil Palm","168414.4878881947","178221.10566306705","199285.72567466422","229102.80097954784","254901.46252784878","308188.2923412588","337922.53464375983","379925.6077997665","542036.619178199","717839.8092728015","1098816.3314076625","1418837.7236873116","1525368.2229586209","1626165.176407414","1677912.613312365","1860349.6058468905","1967832.5384267955","2305699.3014260535","2572136.9713200415","2862591.950280567","3307004.0424568155","3636910.836794108","4070014.7467962867","4461095.795412337","4780286.99754282","5172232.032784198","5517366.832027906","5762217.49842831","5917618.020486323","6067292.393953607","6256193.816883605","6355561.113969377","6460155.084935845","6582352.373873025","6603349.468202383"
"Agriculture","Pulpwood Plantation","1640.1732080749687","1742.4404325500584","2530.8754302429497","4880.248337811271","5314.271498107893","6721.581324078374","7934.523837084955","7762.554066979963","10054.199593078605","70680.07332304033","125033.25353438158","148625.53768808718","167837.35376599297","175148.46285870305","189484.15012841436","193187.18284676812","192248.14246823295","279684.97882489994","311679.34701938217","345519.13373858604","381169.10359272215","396091.50225196657","422103.6053638162","400832.9113516782","411540.75233940704","377137.9504610418","405543.59058752185","420147.40682456107","463204.61593932204","471940.19184156077","495776.09894085","487877.39750450227","528347.5434401769","541319.0538232186","599969.0311563382"
