2021(0),Daftar Kabupaten Di Provinsi Sulawesi Utara
"Jumlah",""
"53,33","KABUPATEN BOLAANG MONGONDOW"
"50,71","KABUPATEN MINAHASA"
"-","KABUPATEN KEPULAUAN SANGIHE"
"-","KABUPATEN KEPULAUAN TALAUD"
"30","KABUPATEN MINAHASA SELATAN"
"49,17","KABUPATEN MINAHASA UTARA"
"59,52","KABUPATEN BOLAANG MONGONDOW UTARA"
"-","KABUPATEN SIAU TAGULANDANG BIARO"
"-","KABUPATEN MINAHASA TENGGARA"
"-","KABUPATEN BOLAANG MONGONDOW SELATAN"
"-","KABUPATEN BOLAANG MONGONDOW TIMUR"
"30","KOTA MANADO"
"-","KOTA BITUNG"
"45","KOTA TOMOHON"
"44,67","KOTA KOTAMOBAGU"
