2023(0),Daftar Kabupaten Di Provinsi Sulawesi Utara
"Jumlah",""
"48,52","KABUPATEN BOLAANG MONGONDOW"
"47,27","KABUPATEN MINAHASA"
"60","KABUPATEN KEPULAUAN SANGIHE"
"70","KABUPATEN KEPULAUAN TALAUD"
"50","KABUPATEN MINAHASA SELATAN"
"58,46","KABUPATEN MINAHASA UTARA"
"62","KABUPATEN BOLAANG MONGONDOW UTARA"
"63,33","KABUPATEN SIAU TAGULANDANG BIARO"
"50","KABUPATEN MINAHASA TENGGARA"
"52,22","KABUPATEN BOLAANG MONGONDOW SELATAN"
"50","KABUPATEN BOLAANG MONGONDOW TIMUR"
"50","KOTA MANADO"
"-","KOTA BITUNG"
"43,75","KOTA TOMOHON"
"48,89","KOTA KOTAMOBAGU"
