2024(0),2024(1),2024(2),2024(3),Daftar Kabupaten Di Provinsi Sulawesi Utara
"Indeks Kualitas Lingkungan Hidup","Indeks Kualitas Air","Indeks Kualitas Udara","Indeks Kualitas Lahan",""
"76.17","57.27","93.13","77.22","KABUPATEN BOLAANG MONGONDOW"
"66.16","57.06","91.03","35.78","KABUPATEN MINAHASA"
"67.73","60.00","94.77","31.00","KABUPATEN KEPULAUAN SANGIHE"
"76.52","70.00","94.81","53.91","KABUPATEN KEPULAUAN TALAUD"
"66.59","50.00","93.57","45.18","KABUPATEN MINAHASA SELATAN"
"69.90","60.00","94.41","41.58","KABUPATEN MINAHASA UTARA"
"78.97","60.00","93.21","85.21","KABUPATEN BOLAANG MONGONDOW UTARA"
"71.79","70.00","95.67","30.72","KABUPATEN SIAU TAGULANDANG BIARO"
"66.12","53.33","91.66","40.82","KABUPATEN MINAHASA TENGGARA"
"80.67","63.33","93.04","87.54","KABUPATEN BOLAANG MONGONDOW SELATAN"
"71.14","50.00","94.03","65.11","KABUPATEN BOLAANG MONGONDOW TIMUR"
"65.77","60.00","91.61","27.91","KOTA MANADO"
"72.47","63.85","92.42","50.38","KOTA BITUNG"
"67.72","54.00","94.50","41.75","KOTA TOMOHON"
"63.28","50.00","93.79","29.66","KOTA KOTAMOBAGU"
"76.26","58.17","93.44","61.75","PROVINSI SULAWESI UTARA"
