2024(0),Daftar Kabupaten Di Provinsi Sulawesi Utara
"Perubahan IKA",""
"8,75","KABUPATEN BOLAANG MONGONDOW"
"11,11","KABUPATEN MINAHASA"
"-","KABUPATEN KEPULAUAN SANGIHE"
"-2,00","KABUPATEN KEPULAUAN TALAUD"
"-","KABUPATEN MINAHASA SELATAN"
"6,67","KABUPATEN MINAHASA UTARA"
"-","KABUPATEN BOLAANG MONGONDOW UTARA"
"9,79","KABUPATEN SIAU TAGULANDANG BIARO"
"-","KABUPATEN MINAHASA TENGGARA"
"3,33","KABUPATEN BOLAANG MONGONDOW SELATAN"
"1,54","KABUPATEN BOLAANG MONGONDOW TIMUR"
"63,85","KOTA MANADO"
"1,11","KOTA BITUNG"
"10,00","KOTA TOMOHON"
"10,25","KOTA KOTAMOBAGU"
