2023(0),Daftar Kabupaten Di Provinsi Sulawesi Utara
"PERUBAHAN IKA 2022-2023",""
"-5,48","KABUPATEN BOLAANG MONGONDOW"
"-0,73","KABUPATEN MINAHASA"
"60","KABUPATEN KEPULAUAN SANGIHE"
"70","KABUPATEN KEPULAUAN TALAUD"
"-13,33","KABUPATEN MINAHASA SELATAN"
"2,46","KABUPATEN MINAHASA UTARA"
"-1,33","KABUPATEN BOLAANG MONGONDOW UTARA"
"63,33","KABUPATEN SIAU TAGULANDANG BIARO"
"6,67","KABUPATEN MINAHASA TENGGARA"
"-4,45","KABUPATEN BOLAANG MONGONDOW SELATAN"
"50","KABUPATEN BOLAANG MONGONDOW TIMUR"
"10","KOTA MANADO"
"-41,43","KOTA BITUNG"
"-1,25","KOTA TOMOHON"
"11,79","KOTA KOTAMOBAGU"
