2024(0),Daftar Kabupaten Di Provinsi Sulawesi Utara
"IKA",""
"57,27","KABUPATEN BOLAANG MONGONDOW"
"57,06","KABUPATEN MINAHASA"
"60,00","KABUPATEN KEPULAUAN SANGIHE"
"70,00","KABUPATEN KEPULAUAN TALAUD"
"50,00","KABUPATEN MINAHASA SELATAN"
"60,00","KABUPATEN MINAHASA UTARA"
"60,00","KABUPATEN BOLAANG MONGONDOW UTARA"
"70,00","KABUPATEN SIAU TAGULANDANG BIARO"
"53,33","KABUPATEN MINAHASA TENGGARA"
"63,33","KABUPATEN BOLAANG MONGONDOW SELATAN"
"50,00","KABUPATEN BOLAANG MONGONDOW TIMUR"
"60,00","KOTA MANADO"
"63,85","KOTA BITUNG"
"54,00","KOTA TOMOHON"
"50,00","KOTA KOTAMOBAGU"
