Aceh,51.54,54.57,49.62,
Sumatera Utara,60.67,56.67,46.00,
Sumatera Barat,52.71,53.71,40.71,
Riau,48.71,47.53,.,47.65
Jambi,51.00,52.75,53.75,
Sumatera Selatan,63.20,66.19,69.36,
Bengkulu s,64.12,61.67,,
Lampung,62.00,60.86,52.96,
Kepulauan Bangka Belitung,64.25,61.30,64.69,
Kepulauan Riau w,58.67,64.29,62.00,
DKI Jakarta w,34.71,34.00,30.51,
Jawa Barat w,39.00,55.25,,
Jawa Tengah,51.03,50.91,,
DI Yogyakarta,39.00,33.07,,
Jawa Timur,49.10,49.11,50.33,
Banten,47.10,42.86,51.75,
Bali h,57.00,60.89,61.25,
Nusa Tenggara Barat,54.13,53.50,42.46,
Nusa Tenggara Timur,50.14,52.48,52.35,
Kalimantan Barat,61.00,64.81,54.33,
Kalimantan Tengah,50.13,49.17,55.33,
Kalimantan Selatan,46.16,44.00,46.95,
Kalimantan Timur,48.67,54.80,57.97,
Kalimantan Utara,-,-,-,
Sulawesi Utara,47.54,50.00,47.54,
Sulawesi Tengah,65.56,60.67,53.89,
Sulawesi Selatan,57.14,56.29,56.29,
Sulawesi Tenggara,49.38,54.74,50.00,
Gorontalo,50.00,48.49,50.67,
Sulawesi Barat,57.11,58.63,53.37,
Maluku,45.67,48.11,43.11,
Maluku Utara,51.67,50.83,52.96,
Papua Barat,54.44,58.00,55.33,
Papua,58.00,54.67,61.11,
