Aceh,51.93,68.29,62.31
Sumatera Utara,53.33,50.00,56.67
Sumatera Barat,43.28,54.32,53.90
Riau,46.73,53.08,57.50
Jambi,55.61,51.25,67.58
Sumatera Selatan,64.52,63.81,67.05
Bengkulu o,60.33,48.22,
Lampung g,53.81,51.75,
Kepulauan Bangka Belitung,62.05,.66.25,65.31
Kepulauan Riau,58.00,55.33,52.78
DKI Jakarta,22.31,35.00,31.43
Jawa Barat,41.33,41.43,38.73
Jawa Tengah w,46.15,60.00,53.75
DI Yogyakarta w,35.95,50.63,
Jawa Timur w,49.17,50.00,
Banten,70.00,47.67,41.25
Bali,60.00,48.50,
Nusa Tenggara Barat s,50.00,35.42,
Nusa Tenggara Timur,37.10,41.48,49.17
Kalimantan Barat t,52.92,57.50,51.33
Kalimantan Tengah h,57.44,55.26,50.61
Kalimantan Selatan,49.30,52.25,51.43
Kalimantan Timur,55.29,57.69,57.73
Kalimantan Utara,52.86,51.00,50.91
Sulawesi Utara,49.52,54.62,54.10
Sulawesi Tengah,46.67,50.00,45.56
Sulawesi Selatan,55.95,54.29,57.70
Sulawesi Tenggara,52.00,70.00,60.00
Gorontalo,54.00,48.57,50.67
Sulawesi Barat,44.16,56.91,53.08
Maluku,42.50,49.83,55.83
Maluku Utara,50.95,50.62,57.22
Papua Barat,55.33,50.00,50.67
Papua,50.00,62.50,45.00
Indonesia,50.20,53.20,51.01
