Aceh,60.56,61.43,57.14,60.41,61.30
Sumatera Utara,51.11,53.33,53.72,61.20,60.27
Sumatera Barat,53.19,53.50,52.55,55.64,57.05
Riau,53.55,53.24,52.25,53.88,50.84
Jambi,58.49,56.75,48.96,49.49,46.06
Sumatera Selatan,64.45,63.33,58.25,59.85,58.16
Bengkulu,47.64,50.83,49.81,46.18,48.98
Lampung d,55.74,56.21,57.77,55.36,
Kepulauan Bangka Belitung i,69.29,65.63,58.37,57.68,57.43
Kepulauan Riau o,54.00,50.00,56.79,54.93,
DKI Jakarta,41.94,42.73,44.19,41.17,40.76
Jawa Barat s,45.59,41.50,47.13,46.87,
Jawa Tengah p,51.64,55.21,48.16,51.23,
DI Yogyakarta b,35.37,50.00,39.31,40.28,
Jawa Timur w,50.79,.,53.57,56.13,55.86
Banten,43.11,50.56,54.95,55.49,58.93
Bali w,65.33,54.29,53.50,55.17,
Nusa Tenggara Barat,40.23,50.98,45.10,43.39,47.78
Nusa Tenggara Timur,59.48,58.28,52.62,54.65,
Kalimantan Barat p,51.67,54.35,55.52,52.97,
Kalimantan Tengah t,53.61,55.34,56.69,53.90,
Kalimantan Selatan ht,51.67,54.75,54.63,55.64,
Kalimantan Timur,62.01,60.00,51.92,53.02,52.64
Kalimantan Utara,52.22,51.82,57.34,54.46,55.93
Sulawesi Utara,45.48,50.53,49.69,48.24,52.12
Sulawesi Tengah,62.59,61.67,55.84,57.71,63.63
Sulawesi Selatan,58.40,52.38,56.82,57.79,57.95
Sulawesi Tenggara,50.55,51.60,53.26,56.21,61.28
Gorontalo,57.20,53.00,53.46,58.07,58.70
Sulawesi Barat,56.15,52.44,56.04,56.41,58.82
Maluku,57.56,55.67,55.56,52.08,55.87
Maluku Utara,53.61,50.00,53.08,55.69,61.05
Papua Barat,53.89,52.22,54.44,62.00,59.52
Papua Barat Daya,55.61,,,,
Papua,47.29,55.00,57.83,55.07,54.73
Papua Selatan,60.73,,,,
Papua Tengah,64.67,,,,
Papua Pegunungan,63.18,,,,
Indonesia,52.62,53.53,52.82,53.88,54.59
