provinsi,kabupaten_kota,tahun,jenis_penyakit,total_kasus,meninggal,halaman_pdf,raw_nums
Gorontalo,Gorontalo,2019,DBD,111,6.0,183,"[6, 10, 65, 46, 111, 2, 4, 6]"
Gorontalo,Boalemo,2019,DBD,176,,183,"[1, 11, 76, 100, 176]"
Gorontalo,Gorontalo,2019,MALARIA,5,,108,"[1, 1, 5]"
Gorontalo,Pohuwato,2019,DBD,309,6.0,183,"[3, 16, 136, 173, 309, 3, 3, 6]"
Gorontalo,Bone Bolango,2019,DBD,225,3.0,183,"[4, 20, 95, 130, 225, 1, 2, 3]"
Gorontalo,Bone Bolango,2019,FILARIASIS,3,,185,"[4, 20, 2, 1, 3, 2, 1, 3]"
Gorontalo,Gorontalo,2019,FILARIASIS,1,,185,"[5, 15, 1, 1, 1, 1]"
Gorontalo,Boalemo,2020,DBD,163,,163,"[1, 11, 73, 90, 163, 1, 1]"
Gorontalo,Gorontalo,2020,MALARIA,5,,92,"[1, 1, 5]"
Gorontalo,Gorontalo,2020,DBD,81,3.0,163,"[6, 10, 36, 45, 81, 1, 2, 3]"
Gorontalo,Pohuwato,2020,DBD,87,,163,"[3, 16, 43, 44, 87]"
Gorontalo,Bone Bolango,2020,DBD,180,,163,"[4, 20, 79, 101, 180, 1, 1]"
Gorontalo,Gorontalo,2020,FILARIASIS,1,,165,"[6, 10, 1, 1, 1, 1]"
Gorontalo,Boalemo,2021,DBD,41,,160,"[1, 11, 15, 26, 41]"
Gorontalo,Pohuwato,2021,DBD,136,,160,"[3, 16, 56, 80, 136]"
Gorontalo,Gorontalo,2021,MALARIA,5,,89,"[1, 1, 5]"
Gorontalo,Gorontalo,2021,DBD,112,,160,"[6, 10, 48, 64, 112, 1, 1]"
Gorontalo,Bone Bolango,2021,DBD,144,4.0,160,"[4, 20, 73, 71, 144, 2, 2, 4]"
Gorontalo,Bone Bolango,2021,FILARIASIS,3,,162,"[4, 20, 2, 1, 3]"
Gorontalo,Boalemo,2022,DBD,120,2.0,160,"[1, 11, 71, 49, 120, 1, 1, 2]"
Gorontalo,Gorontalo,2022,DBD,98,3.0,160,"[6, 10, 56, 42, 98, 1, 2, 3]"
Gorontalo,Gorontalo,2022,MALARIA,5,,82,"[1, 1, 5]"
Gorontalo,Pohuwato,2022,DBD,169,15.0,160,"[3, 16, 66, 103, 169, 5, 10, 15]"
Gorontalo,Bone Bolango,2022,DBD,89,2.0,160,"[4, 20, 49, 40, 89, 1, 1, 2]"
Gorontalo,Bone Bolango,2022,FILARIASIS,3,,162,"[4, 20, 2, 1, 3, 2, 1, 3]"
Gorontalo,Gorontalo,2023,DBD,72,3.0,158,"[6, 10, 34, 38, 72, 2, 1, 3]"
Gorontalo,Gorontalo,2023,FILARIASIS,1,,160,"[5, 15, 1, 1, 1, 1]"
Gorontalo,Boalemo,2023,DBD,152,,158,"[1, 11, 84, 68, 152, 1, 1]"
Gorontalo,Pohuwato,2023,DBD,155,,158,"[3, 16, 58, 97, 155, 1, 1]"
Gorontalo,Bone Bolango,2023,DBD,142,,158,"[4, 20, 67, 75, 142, 1, 1]"
Gorontalo,Gorontalo,2024,FILARIASIS,5,,81,"[1, 1, 5]"
Gorontalo,Boalemo,2024,DBD,435,,162,"[1, 11, 183, 252, 435]"
Gorontalo,Gorontalo,2024,DBD,270,3.0,162,"[6, 10, 128, 142, 270, 1, 2, 3]"
Gorontalo,Pohuwato,2024,DBD,391,,162,"[3, 16, 197, 194, 391, 1, 1]"
Gorontalo,Bone Bolango,2024,DBD,664,8.0,162,"[4, 20, 326, 338, 664, 5, 3, 8]"
Sulsel,Bone,2015,FILARIASIS,3,,52,"[1, 3, 3]"
Sulsel,Pangkep,2015,FILARIASIS,72,,52,"[6, 116, 72]"
Sulsel,Enrekang,2015,FILARIASIS,4,,52,"[23, 16, 4]"
Sulsel,Makassar,2015,FILARIASIS,1,,52,"[2, 1, 1]"
Sulsel,Selayar,2016,DBD,940,,34,"[7301, 14, 547, 940]"
Sulsel,Bulukumba,2016,DBD,20,,29,"[7302, 20, 20, 20]"
Sulsel,Bantaeng,2016,DBD,787,,34,"[7303, 13, 253, 534, 787]"
Sulsel,Jeneponto,2016,DBD,6,,35,"[7304, 18, 53, 6]"
Sulsel,Takalar,2016,DBD,6,,35,"[7305, 15, 270, 6]"
Sulsel,Gowa,2016,DBD,628,,34,"[7306, 25, 122, 77, 628, 705]"
Sulsel,Sinjai,2016,DBD,286,,34,"[7307, 16, 906, 286]"
Sulsel,Maros,2016,DBD,301,,34,"[7308, 14, 86, 215, 301]"
Sulsel,Pangkep,2016,DBD,317,,35,"[7309, 23, 317]"
Sulsel,Barru,2016,DBD,22,,35,"[7310, 12, 680, 22]"
Sulsel,Bone,2016,DBD,3,,30,"[7311, 38, 2, 1, 3]"
Sulsel,Soppeng,2016,DBD,38,,35,"[7312, 17, 38]"
Sulsel,Wajo,2016,DBD,33,,35,"[7313, 23, 332, 33]"
Sulsel,Sidrap,2016,DBD,521,,35,"[7314, 14, 521]"
Sulsel,Pinrang,2016,DBD,1,,35,"[7315, 16, 402, 16, 1]"
Sulsel,Enrekang,2016,DBD,35,,35,"[7316, 13, 360, 325, 35, 29]"
Sulsel,Luwu,2016,DBD,2,,35,"[7322, 14, 504, 9, 2]"
Sulsel,Tana Toraja,2016,DBD,28,,29,"[7318, 21, 19, 9, 28]"
Sulsel,Toraja Utara,2016,DBD,319,,35,"[7326, 25, 319]"
Sulsel,Makassar,2016,DBD,192,,34,"[7371, 43, 95, 97, 192]"
Sulsel,Palopo,2016,DBD,86,,29,"[7373, 12, 53, 33, 86]"
Sulsel,Selayar,2017,DBD,5,8.0,26,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 7301, 14, 142, 1]"
Sulsel,Bulukumba,2017,DBD,4,,26,"[7302, 20, 298, 4]"
Sulsel,Bantaeng,2017,DBD,61,64.0,35,"[57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 2016]"
Sulsel,Jeneponto,2017,DBD,1,,26,"[7304, 18, 129, 1]"
Sulsel,Takalar,2017,DBD,121,,26,"[7305, 15, 121]"
Sulsel,Gowa,2017,DBD,5,,26,"[7306, 25, 24, 5]"
Sulsel,Sinjai,2017,DBD,3,,34,"[70, 1, 6, 3]"
Sulsel,Maros,2017,DBD,10,,26,"[7308, 14, 307, 10]"
Sulsel,Pangkep,2017,DBD,4,,26,"[7309, 23, 277, 21, 4]"
Sulsel,Barru,2017,DBD,3,,26,"[7310, 12, 211, 3]"
Sulsel,Bone,2017,DBD,2,1.0,27,"[19, 19, 2, 2016, 19, 2, 2016, 23, 2, 2016, 1, 1]"
