No,Province,Estimation of Diarrhea in Health Center,Treated Cases,% Treated Cases
(1),(2),(3),(4),(5)
1,Aceh,"101,258","106,791",105.46
2,North Sumatra,-,-,-
3,West Sumatra,"109,114","111,804",102.47
4,Riau,"134,955","125,463",92.97
5,Jambi,"73,027","64,180",87.89
6,South Sumatra,"174,735","169,769",97.16
7,Bengkulu,"39,125","10,653",27.23
8,Lampung,"174,175","98,446",56.52
9,Bangka Belitung Islands,"26,247","8,973",34.19
10,Riau Islands,-,-,-
11,DKI Jakarta,"216,890","223,579",103.08
12,West Java,"999,809","1,068,685",106.89
13,Central Java,"701,488","393,829",56.14
14,DI Yogyakarta,-,-,-
15,East Java,"824,531","1,015,968",123.22
16,Banten,"253,249","246,077",97.17
17,Bali,"90,423","51,447",56.90
18,West Nusa Tenggara,"100,631","189,168",187.98
19,East Nusa Tenggara,-,-,-
20,West Kalimantan,-,-,-
21,Central Kalimantan,"49,405","32,634",66.05
22,South Kalimantan,"83,758","96,098",114.73
23,East Kalimantan,-,-,-
24,North Kalimantan,-,-,-
25,North Sulawesi,-,-,-
26,Central Sulawesi,"179,669","206,494",114.93
27,South Sulawesi,-,-,-
28,South East Sulawesi,"24,278","25,430",104.74
29,Gorontalo,-,-,-
30,West Sulawesi,-,-,-
31,Maluku,-,-,-
32,North Maluku,-,-,-
33 West Papua Indonesia,,"- 8,713,537","- 8,490,976",- 97.45
