No,Provinsi,Perkiraan Diare di Fasilitas Kesehatan,Diare Ditangani,% Diare Ditangani
(1),(2),(3),(4),(5)
1,Aceh,101.258,106.791,"105,46"
2,Sumatera Utara,-,-,-
3,Sumatera Barat,109.114,111.804,"102,47"
4,Riau,134.955,125.463,93
5,Jambi,73.027,64.180,"87,89"
6,Sumatera Selatan,174.735,169.769,97
7,Bengkulu,39.125,10.653,"27,23"
8,Lampung,174.175,98.446,57
9,Kep. Bangka Belitung,26.247,8.973,"34,19"
10,Kepulauan Riau,-,-,-
11,DKI Jakarta,216.890,223.579,"103,08"
12,Jawa Barat,999.809,1.068.685,107
13,Jawa Tengah,701.488,393.829,"56,14"
14,DI Yogyakarta,-,-,-
15,Jawa Timur,824.531,1.015.968,"123,22"
16,Banten,253.249,246.077,97
17,Bali,90.423,51.447,"56,90"
18,Nusa Tenggara Barat,100.631,189.168,188
19,Nusa Tenggara Timur,-,-,-
20,Kalimantan Barat,-,-,-
21,Kalimantan Tengah,49.405,32.634,"66,05"
22,Kalimantan Selatan,83.758,96.098,115
23,Kalimantan Timur,-,-,-
24,Kalimantan Utara,-,-,-
25,Sulawesi Utara,-,-,-
26,Sulawesi Tengah,179.669,206.494,115
27,Sulawesi Selatan,-,-,-
28,Sulawesi Tenggara,24.278,25.430,105
29,Gorontalo,-,-,-
30,Sulawesi Barat,-,-,-
31,Maluku,-,-,-
32,Maluku Utara,-,-,-
33,Papua Barat,-,-,-
34,Papua,4.356.768,4.245.488,97
Indonesia,,8.713.537,8.490.976,"97,45"
