No,Provinsi,Perkiraan Diare di Fasilitas Kesehatan,Diare Ditangani,% Diare Ditangani
(1),(2),(3),(4),(5)
1,Aceh,101.368,64.589,"63,7"
2,Sumatera Utara,289.498,229.557,"79,3"
3,Sumatera Barat,109.114,178.761,"163,8"
4,Riau,134.955,104.649,"77,5"
5,Jambi,73.027,56.994,"78,0"
6,Sumatera Selatan,170.549,148.248,"86,9"
7,Bengkulu,39.125,26.115,"66,7"
8,Lampung,174.175,312.119,"179,2"
9,Kep. Bangka Belitung,216.890,188.108,"86,7"
10,Kepulauan Riau,999.809,708.976,"70,9"
11,DKI Jakarta,701.488,357.799,"51,0"
12,Jawa Barat,78.734,50.868,"64,6"
13,Jawa Tengah,824.531,503.509,"61,1"
14,DI Yogyakarta,104.041,147.807,"142,1"
15,Jawa Timur,49.405,28.979,"58,7"
16,Banten,83.758,59.694,"71,3"
17,Bali,83.839,93.333,"111,3"
18,Nusa Tenggara Barat,11.120,18.125,"163,0"
19,Nusa Tenggara Timur,53.166,21.086,"39,7"
20,Kalimantan Barat,60.282,31.616,"52,4"
21,Kalimantan Tengah,179.669,119.037,"66,3"
22,Kalimantan Selatan,51.416,31.314,"60,9"
23,Kalimantan Timur,90.423,34.647,"38,3"
24,Kalimantan Utara,100.631,167.846,"166,8"
25,Sulawesi Utara,106.592,59.614,"55,9"
26,Sulawesi Tengah,32.676,12.803,"39,2"
27,Sulawesi Selatan,67.397,28.221,"41,9"
28,Sulawesi Tenggara,253.249,115.878,"45,8"
29,Gorontalo,23.689,14.086,"59,5"
30,Sulawesi Barat,24.278,14.723,"60,6"
31,Maluku,26.247,20.736,"79,0"
32,Maluku Utara,18.650,5.003,"26,8"
33,Papua Barat,43.483,16.437,"37,8"
34,Papua,27.959,46.584,"166,6"
Indonesia,,5.405.235,4.017.861,"74,3"
