No,Provinsi,Cakupan Pelayanan Diare (%),Cakupan Penderita Diare Mendapatkan Oralit (%),Cakupan Penderita Diare Mendapatkan Zinc (%)
(1),(2),(3),(4),(5)
1,Aceh,"27,95","82,71","76,14"
2,Sumatera Utara,"15,40","98,47","99,50"
3,Sumatera Barat,"27,34","99,44","88,89"
4,Riau,"34,58","89,31","97,26"
5,Jambi,"43,79","95,82","87,24"
6,Sumatera Selatan,"52,66","97,71","90,92"
7,Bengkulu,"19,59","91,73","89,19"
8,Lampung,"38,07","99,67","96,78"
9,Kepulauan Bangka Belitung,"34,56","97,39","90,82"
10,Kepulauan Riau,"20,93","91,16","92,12"
11,DKI Jakarta,"54,23","99,16","98,98"
12,Jawa Barat,"54,22","92,01","79,23"
13,Jawa Tengah,"31,41","68,84","80,34"
14,DI Yogyakarta,"19,94","93,01","81,19"
15,Jawa Timur,"38,83","93,09","85,23"
16,Banten,"55,25","99,36","91,71"
17,Bali,"34,96","75,08","71,85"
18,Nusa Tenggara Barat,"96,94","96,42","93,31"
19,Nusa Tenggara Timur,"17,78","92,89","95,24"
20,Kalimantan Barat,"36,52","99,81","99,51"
21,Kalimantan Tengah,"34,05","94,65","57,03"
22,Kalimantan Selatan,"42,31","92,25","94,30"
23,Kalimantan Timur,"56,91","88,06","91,71"
24,Kalimantan Utara,"63,43","81,55","94,85"
25,Sulawesi Utara,"17,89","85,91","62,65"
26,Sulawesi Tengah,"45,35","89,38","87,59"
27,Sulawesi Selatan,"37,70","85,69","83,58"
28,Sulawesi Tenggara,"26,59","88,13","89,08"
29,Gorontalo,"33,66","92,01","89,82"
30,Sulawesi Barat,"43,69","87,79","85,68"
31,Maluku,"26,15","84,86","77,73"
32,Maluku Utara,"21,90","100,00","52,31"
33,Papua Barat,"4,06","15,35","19,45"
34,Papua,"20,66","59,98","72,61"
Indonesia,,"40,07","91,08","86,17"
