No,Provinsi,Perkiraan Diare di Sarana Kesehatan,Jumlah Penderita Diare yang Dilayani di Sarana Kesehatan,Cakupan Pelayanan Diare (%),Cakupan Penderita Diare Mendapatkan Oralit (%)
(1),(2),(3),(4),(5),(6)
1,Aceh,142.595,72.805,"51,06","70,51"
2,Sumatera Utara,386.516,128.088,"33,14","99,99"
3,Sumatera Barat,145.316,122.201,"84,09","100,00"
4,Riau,184.003,80.498,"43,75","87,30"
5,Jambi,96.397,74.741,"77,53","92,03"
6,Sumatera Selatan,225.999,164.934,"72,98","99,62"
7,Bengkulu,53.009,21.093,"39,79","97,05"
8,Lampung,226.003,133.916,"59,25","100,00"
9,Kepulauan Bangka Belitung,39.417,19.455,"49,36","98,96"
10,Kepulauan Riau,57.686,25.073,"43,46","100,00"
11,DKI Jakarta,282.626,305.638,"108,14","99,95"
12,Jawa Barat,1.314.464,803.533,"61,13","87,55"
13,Jawa Tengah,931.253,573.625,"61,60","77,77"
14,DI Yogyakarta,102.678,67.580,"65,82","96,27"
15,Jawa Timur,1.066.523,742.060,"69,58","100,00"
16,Banten,342.623,236.699,"69,08","99,37"
17,Bali,115.888,58.064,"50,10","90,68"
18,Nusa Tenggara Barat,135.370,133.779,"98,83","97,76"
19,Nusa Tenggara Timur,145.031,70.236,"48,43","90,23"
20,Kalimantan Barat,135.045,64.731,"47,93","96,45"
21,Kalimantan Tengah,71.826,39.450,"54,92","99,74"
22,Kalimantan Selatan,112.933,67.818,"60,05","78,30"
23,Kalimantan Timur,98.519,71.401,"72,47","78,70"
24,Kalimantan Utara,19.343,14.770,"76,36","84,17"
25,Sulawesi Utara,67.079,20.626,"30,75","84,06"
26,Sulawesi Tengah,81.282,59.544,"73,26","81,62"
27,Sulawesi Selatan,236.843,167.900,"70,89","67,72"
28,Sulawesi Tenggara,76.418,32.359,"42,34","83,98"
29,Gorontalo,32.008,20.801,"64,99","74,46"
30,Sulawesi Barat,36.600,36.616,"100,04","100,00"
31,Maluku,47.892,5.902,"12,32","94,27"
32,Maluku Utara,33.281,15.403,"46,28","91,29"
33,Papua Barat,25.311,9.956,"39,33","0,00"
34,Papua,89.708,43.229,"48,19","59,41"
Indonesia,,7.157.483,4.504.524,"62,93","90,48"
