No,Provinsi,Jumlah Target Penemuan,,Diare,,,,,,,,,
,,,,Dilayani,,,,Mendapat Oralit,,,,Mendapat Zinc,
,,,,Semua Umur,,Balita,,Semua Umur,,Balita,,Balita,
,,Semua Umur,Balita,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14)
1,Aceh,147.417,95.410,56.698,"38,5",17.693,"18,5",38.092,"67,2",14.946,"84,5",14.664,"82,9"
2,Sumatera Utara,396.995,250.550,200.335,"50,5",61.129,"24,4",159.721,"79,7",49.704,"81,3",45.967,"75,2"
3,Sumatera Barat,148.466,90.039,72.584,"48,9",17.717,"19,7",72.584,"100,0",17.717,"100,0",17.717,"100,0"
4,Riau,192.464,126.139,62.440,"32,4",19.940,"15,8",59.332,"95,0",18.690,"93,7",17.391,"87,2"
5,Jambi,99.303,53.819,46.383,"46,7",13.978,"26,0",42.689,"92,0",13.595,"97,3",13.190,"94,4"
6,Sumatera Selatan,231.334,132.421,89.294,"38,6",29.975,"22,6",88.324,"98,9",29.531,"98,5",29.469,"98,3"
7,Bengkulu,54.536,30.563,19.039,"34,9",7.778,"25,4",18.917,"99,4",7.756,"99,7",7.756,"99,7"
8,Lampung,230.072,125.576,74.283,"32,3",22.023,"17,5",74.283,"100,0",22.023,"100,0",22.023,"100,0"
9,Kep. Bangka Belitung,40.975,22.751,12.515,"30,5",4.498,"19,8",12.231,"97,7",4.450,"98,9",4.461,"99,2"
10,Kepulauan Riau,60.539,35.876,21.212,"35,0",5.220,"14,6",21.212,"100,0",5.220,"100,0",5.220,"100,0"
11,DKI Jakarta,287.415,146.713,191.294,"66,6",62.597,"42,7",191.243,"100,0",62.597,"100,0",62.597,"100,0"
12,Jawa Barat,1.348.268,726.431,604.464,"44,8",248.101,"34,2",535.012,"88,5",225.092,"90,7",224.936,"90,7"
13,Jawa Tengah,943.382,438.814,412.805,"43,8",119.404,"27,2",303.625,"73,6",91.583,"76,7",94.232,"78,9"
14,DI Yogyakarta,104.822,46.851,26.877,"25,6",5.178,"11,1",20.299,"75,5",4.226,"81,6",4.457,"86,1"
15,Jawa Timur,1.076.555,468.721,572.925,"53,2",194.499,"41,5",544.314,"95,0",188.947,"97,1",184.612,"94,9"
16,Banten,355.333,202.913,221.426,"62,3",89.902,"44,3",203.382,"91,9",84.085,"93,5",72.382,"80,5"
17,Bali,118.282,54.206,22.022,"18,6",5.413,"10,0",17.517,"79,5",4.113,"76,0",3.670,"67,8"
18,Nusa Tenggara Barat,138.392,83.048,108.298,"78,3",50.979,"61,4",106.953,"98,8",49.272,"96,7",49.379,"96,9"
19,Nusa Tenggara Timur,149.618,109.829,52.818,"35,3",21.898,"19,9",45.672,"86,5",20.842,"95,2",20.929,"95,6"
20,Kalimantan Barat,138.639,82.410,36.794,"26,5",12.998,"15,8",35.700,"97,0",11.904,"91,6",12.998,"100,0"
21,Kalimantan Tengah,74.767,43.076,21.666,"29,0",7.113,"16,5",21.666,"100,0",7.113,"100,0",7.113,"100,0"
22,Kalimantan Selatan,116.207,66.244,36.343,"31,3",13.316,"20,1",30.419,"83,7",11.656,"87,5",12.073,"90,7"
23,Kalimantan Timur,102.415,58.950,34.421,"33,6",11.344,"19,2",27.104,"78,7",9.655,"85,1",9.797,"86,4"
24,Kalimantan Utara,20.750,12.961,14.877,"71,7",5.472,"42,2",10.620,"71,4",4.413,"80,6",4.198,"76,7"
25,Sulawesi Utara,68.277,34.131,3.369,"4,9",1.360,"4,0",2.706,"80,3",1.174,"86,3",1.143,"84,1"
26,Sulawesi Tengah,83.618,50.410,38.757,"46,3",14.576,"28,9",33.511,"86,5",13.354,"91,6",13.890,"95,3"
27,Sulawesi Selatan,241.056,138.461,86.993,"36,1",28.044,"20,3",62.824,"72,2",21.236,"75,7",23.435,"83,6"
28,Sulawesi Tenggara,74.401,48.913,15.237,"20,5",6.145,"12,6",15.053,"98,8",6.145,"100,0",6.142,"100,0"
29,Gorontalo,32.929,19.185,12.539,"38,1",5.229,"27,3",8.717,"69,5",3.844,"73,5",4.721,"90,3"
30,Sulawesi Barat,37.935,25.804,18.290,"48,2",5.852,"22,7",17.784,"97,2",5.732,"97,9",5.494,"93,9"
31,Maluku,49.461,35.130,15.877,"32,1",7.575,"21,6",13.275,"83,6",7.212,"95,2",7.118,"94,0"
32,Maluku Utara,34.527,23.533,11.268,"32,6",5.608,"23,8",10.075,"89,4",4.930,"87,9",5.317,"94,8"
33,Papua Barat,26.509,17.160,3.762,"14,2",1.755,"10,2",3.045,"80,9",1.745,"99,4",1.710,"97,4"
34,Papua,92.757,56.677,34.372,"37,1",16.194,"28,6",23.754,"69,1",11.104,"68,6",11.081,"68,4"
Indonesia,,7.318.417,3.953.716,3.252.277,"44,4",1.140.503,"28,8",2.871.655,"88,3",1.035.606,"90,8",1.021.280,"89,5"
Angka Kesakitan Diare Per 1.000 Penduduk,,270,843,,,,,,,,,,
