No,Provinsi,Jumlah Kasus Baru AIDS,Jumlah Kasus Baru AIDS pada IDU,Persentase Kasus Baru AIDS pada IDU,,,,,,,
(1),(2),(3),(4),(5),,,,,,,
1,Aceh,33,0,"0,0",,,,,,,
2,Sumatera Utara,403,5,"1,2",,,,,,,
3,Sumatera Barat,109,0,"0,0",,,,,,,
4,Riau,223,1,"0,4",,,,,,,
5,Jambi,21,0,"0,0",,,,,,,
6,Sumatera Selatan,563,11,"2,0",,,,,,,
7,Bengkulu,81,2,"2,5",,,,,,,
8,Lampung,159,1,"0,6",,,,,,,
9,Kepulauan Bangka Belitung,35,0,"0,0",,,,,,,
10,Kepulauan Riau,167,0,"0,0",,,,,,,
11,DKI Jakarta,89,5,"5,6",,,,,,,
12,Jawa Barat,510,8,"1,6",,,,,,,
13,Jawa Tengah,1.484,6,"0,4",,,,,,,
14,DI Yogyakarta,107,0,"0,0",,,,,,,
15,Jawa Timur,666,7,"1,1",,,,,,,
16,Banten,434,6,"1,4",,,,,,,
17,Bali,851,4,"0,5",,,,,,,
18,Nusa Tenggara Barat,396,2,"0,5",,,,,,,
19,Nusa Tenggara Timur,178,3,"1,7",,,,,,,
20,Kalimantan Barat,229,2,"0,9",,,,,,,
21,Kalimantan Tengah,75,0,"0,0",,,,,,,
22,Kalimantan Selatan,162,1,"0,6",,,,,,,
23,Kalimantan Timur,232,0,"0,0",,,,,,,
24,Kalimantan Utara,64,2,"3,1",,,,,,,
25,Sulawesi Utara,177,1,"0,6",,,,,,,
26,Sulawesi Tengah,127,0,"0,0",,,,,,,
27,Sulawesi Selatan,464,4,"0,9",,,,,,,
28,Sulawesi Tenggara,116,0,"0,0",,,,,,,
29,Gorontalo,19,0,"0,0",,,,,,,
30,Sulawesi Barat,12,0,"0,0",,,,,,,
31,Maluku,33,0,"0,0",,,,,,,
32,Maluku Utara,123,1,"0,8",,,,,,,
33,Papua Barat,141,0,"0,0",,,,,,,
34,Papua,858,0,"0,0",,,,,,,
Indonesia,,9.341,72,"0,8",,,,,,,
No,Provinsi,Jumlah Target Penemuan,,Diare,,,,,,,
,,,,Dilayani,,,,Mendapat Oralit (Semua Umur),,Mendapat Oralit dan Zinc (Balita),
,,,,Semua Umur,,Balita,,,,,
,,Semua Umur,Balita,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
1,Aceh,149.304,85.649,46.362,"31,1",18.030,"21,1",29.266,"63,1",11.263,"62,5"
2,Sumatera Utara,407.895,227.046,174.199,"42,7",52.672,"23,2",174199,"100,0",52.671,"100,0"
3,Sumatera Barat,153.235,86.375,48.394,"31,6",13.234,"15,3",45.334,"93,7",11.844,"89,5"
4,Riau,193.895,107.904,20.058,"10,3",6.105,"5,7",18.232,"90,9",5.300,"86,8"
5,Jambi,99.297,50.899,31.636,"31,9",9.124,"17,9",31.636,"100,0",8.967,"98,3"
6,Sumatera Selatan,237.687,133.790,86.487,"36,4",29.619,"22,1",77.132,"89,2",24.737,"83,5"
7,Bengkulu,55.030,28.223,11.843,"21,5",3.876,"13,7",11.616,"98,1",3.719,"95,9"
8,Lampung,234.446,117.888,65.969,"28,1",19.708,"16,7",62.752,"95,1",18.334,"93,0"
9,Kep. Bangka Belitung,40.676,20.929,11.361,"27,9",4.078,"19,5",11.356,"100,0",4.075,"99,9"
10,Kepulauan Riau,66.134,38.281,15.834,"23,9",3.768,"9,8",15.834,"100,0",3.788,"100,5"
11,DKI Jakarta,289.219,142.083,165.527,"57,2",48.986,"34,5",163.081,"98,5",48.986,"100,0"
12,Jawa Barat,1.367.257,668.752,404.051,"29,6",153.151,"22,9",381.868,"94,5",141.201,"92,2"
13,Jawa Tengah,947.440,410.302,322.481,"34,0",97.274,"23,7",267.834,"83,1",80.699,"83,0"
14,DI Yogyakarta,108.589,47.611,23.858,"22,0",4.890,"10,3",20.234,"84,8",4.094,"83,7"
15,Jawa Timur,1.089.408,467.566,423.492,"38,9",183.338,"39,2",405.980,"95,9",173.459,"94,6"
16,Banten,357.791,184.537,217.495,"60,8",106.937,"57,9",209.878,"96,5",104.204,"97,4"
17,Bali,122.004,53.809,15.936,"13,1",5.208,"9,7",13.464,"84,5",4.068,"78,1"
18,Nusa Tenggara Barat,144.998,82.260,76.733,"52,9",27.532,"33,5",66.226,"86,3",26.343,"95,7"
19,Nusa Tenggara Timur,152.900,97.494,41.796,"27,3",24.047,"24,7",38.265,"91,6",23.922,"99,5"
20,Kalimantan Barat,140.946,74.132,40.282,"28,6",14.615,"19,7",36.292,"90,1",10.781,"73,8"
21,Kalimantan Tengah,74.458,37.854,16.649,"22,4",6.084,"16,1",16.640,"99,9",6.075,"99,9"
22,Kalimantan Selatan,118.002,61.853,33.482,"28,4",12.625,"20,4",30.733,"91,8",11.651,"92,3"
23,Kalimantan Timur,101.320,50.903,37.843,"37,3",12.876,"25,3",32.240,"85,2",10.858,"84,3"
24,Kalimantan Utara,19.821,10.692,12.193,"61,5",5.469,"51,2",10.606,"87,0",4.218,"77,1"
25,Sulawesi Utara,68.805,32.313,9.374,"13,6",3.075,"9,5",9.374,"100,0",1.945,"63,3"
26,Sulawesi Tengah,85.313,47.196,27.582,"32,3",10.760,"22,8",23.099,"83,7",8.823,"82,0"
27,Sulawesi Selatan,243.601,118.260,87.402,"35,9",30.856,"26,1",70.282,"80,4",22.070,"71,5"
28,Sulawesi Tenggara,75.138,44.860,17.004,"22,6",7.322,"16,3",16.782,"98,7",3.009,"41,1"
29,Gorontalo,32.544,16.168,9.611,"29,5",4.382,"27,1",8.100,"84,3",3.690,"84,2"
30,Sulawesi Barat,38.209,22.306,19.758,"51,7",7.069,"31,7",16.202,"82,0",5.539,"78,4"
31,Maluku,49.235,28.167,21.746,"44,2",11.684,"41,5",18.799,"86,4",8.965,"76,7"
32,Maluku Utara,34.705,19.643,15.796,"45,5",7.944,"40,4",12.944,"81,9",6.204,"78,1"
33,Papua Barat,27.855,16.292,10.122,"36,3",5.572,"34,2",9.424,"93,1",5.078,"91,1"
34,Papua,94.038,52.917,42.596,"45,3",22.358,"42,3",39.264,"92,2",20.028,"89,6"
Indonesia,,7.421.196,3.684.954,2.604.952,"35,1",974.268,"26,4",2.394.968,"91,9",880.608,"90,4"
