No,Provinsi,Jumlah Target Penemuan,,Diare,,,,,,,
,,,,Dilayani,,,,Mendapat Oralit (Semua Umur),,Mendapat Oralit dan Zinc (Balita),
,,,,Semua Umur,,Balita,,,,,
,,Semua Umur,Balita,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
1,Aceh,151.199,85.691,51.810 ,34.3,20.306,23.7,42.366,81.8,16.999,83.7
2,Sumatera Utara,411.962,226.388,105.226 ,25.5,28.747,12.7,92680,88.1,25.055,87.2
3,Sumatera Barat,154.957,86.068,40.689 ,26.3,11.729,13.6,39.251,96.5,11.443,97.6
4,Riau,196.987,108.080,31.624 ,16.1,9.341,8.6,27.988,88.5,7.738,82.8
5,Jambi,100.259,50.752,21.513 ,21.5,6.657,13.1,20.155,93.7,5.922,89.0
6,Sumatera Selatan,240.365,133.568,95.955 ,39.9,37.663,28.2,79.132,82.5,27.451,72.9
7,Bengkulu,55.604,28.149,10.569 ,19.0,3.269,11.6,9.576,90.6,2.928,89.6
8,Lampung,236.373,117.295,76.257 ,32.3,24.123,20.6,75.170,98.6,23.654,98.1
9,Kep.  Bangka Belitung,41.163,20.952,14.585 ,35.4,5.444,26.0,14.151,97.0,5.359,98.4
10,Kepulauan Riau,68.075,39.125,9.305 ,13.7,2.069,5.3,9.018,96.9,1.977,95.6
11,DKI Jakarta,290.927,141.362,195.609 ,67.2,59.314,42.0,180.226,92.1,55.246,93.1
12,Jawa Barat,1.381.648,671.837,644.506 ,46.6,232.295,34.6,621.224,96.4,221.690,95.4
13,Jawa Tengah,951.970,409.200,372.779 ,39.2,113.035,27.6,310.692,83.3,94.800,83.9
14,DI Yogyakarta,109.995,48.264,37.730 ,34.3,7.096,14.7,32.496,86.1,6.180,87.1
15,Jawa Timur,1.094.336,464.741,642.000 ,58.7,289.200,62.2,633.023,98.6,284.048,98.2
16,Banten,362.531,184.648,245.029 ,67.6,112.172,60.7,232.608,94.9,106.324,94.8
17,Bali,123.408,54.207,33.716 ,27.3,9.523,17.6,30.845,91.5,8.039,84.4
18,Nusa Tenggara Barat,146.916,82.013,69.603 ,47.4,32.597,39.7,64.488,92.7,29.601,90.8
19,Nusa Tenggara Timur,154.871,97.458,19.037 ,12.3,10.020,10.3,16.748,88.0,9.021,90.0
20,Kalimantan Barat,142.470,73.982,34.376 ,24.1,13.030,17.6,26.305,76.5,10.113,77.6
21,Kalimantan Tengah,75.405,37.856,9.631 ,12.8,3.831,10.1,9.018,93.6,3.276,85.5
22,Kalimantan Selatan,116.634,62.315,47.741 ,40.9,18.516,29.7,42.888,89.8,17.101,92.4
23,Kalimantan Timur,102.482,50.961,50.108 ,48.9,17.048,33.5,44.296,88.4,15.068,88.4
24,Kalimantan Utara,20.172,10.808,12.239 ,60.7,5.163,47.8,10.972,89.6,4.697,91.0
25,Sulawesi Utara,69.255,32.130,8.604 ,12.4,3.051,9.5,7.433,86.4,2.591,84.9
26,Sulawesi Tengah,86.355,47.241,10.648 ,12.3,4.153,8.8,9.662,90.7,3.729,89.8
27,Sulawesi Selatan,245.349,117.857,110.987 ,45.2,40.762,34.6,90.978,82.0,33.573,82.4
28,Sulawesi Tenggara,76.211,45.091,26.539 ,34.8,11.666,25.9,22.372,84.3,8.755,75.0
29,Gorontalo,32.794,16.123,14.482 ,44.2,7.203,44.7,12.852,88.7,6.654,92.4
30,Sulawesi Barat,38.697,22.280,22.773 ,58.8,7.961,35.7,19.047,83.6,6.571,82.5
31,Maluku,49.720,28.149,6.401 ,12.9,3.252,11.6,5.542,86.6,2.930,90.1
32,Maluku Utara,35.150,19.710,8.460 ,24.1,4.433,22.5,7.355,86.9,3.888,87.7
33,Papua,23.725,13.344,7.437 ,31.3,3.988,29.9,5.961,80.2,3.457,86.7
34,Papua Barat,13.538,8.021,6.921 ,51.1,4.324,53.9,6.299,91.0,4.121,95.3
35,Papua Selatan,14.126,9.792,3.886 ,27.5,2.099,21.4,2.938,75.6,1.684,80.2
36,Papua Tengah,27.769,16.362,3.726 ,13.4,1.816,11.1,3.186,85.5,1.546,85.1
37 Papua Pegunungan Indonesia 38 Papua Barat Daya,,29.608 7.487.954 14.947,13.475 3.683.780 8.490,1.380  3.105.152 1.271 ,"4.7 41,5 8.5",775 1.168.393 722,"5.8 31,7 8.5",1.141 2.861.235 1.153,"82.7 92,1 90.7",701 1.074.596 666,"90.5 91,97 92.2"
