No,Provinsi,Diare,,,,,
,,Dilayani,,Mendapat Oralit (Semua Umur),,Mendapat Oralit dan Zinc (Balita),
,,Semua Umur,Balita,,,,
,,Jumlah,Jumlah,Jumlah,%,Jumlah,%
(1),(2),(5),(7),(9),(10),(11),(12)
1,Aceh,45.444,15.840,38.640,"85,0",13.992,"88,3"
2,Sumatera Utara,133.953,56.382,131076,"97,9",53.695,"95,2"
3,Sumatera Barat,50.105,13.050,49.008,"97,8",12.912,"98,9"
4,Riau,38.745,10.481,34.580,"89,3",9.001,"85,9"
5,Jambi,29.469,8.516,27.997,"95,0",7.802,"91,6"
6,Sumatera Selatan,27.263,9.349,26.824,"98,4",8.997,"96,2"
7,Bengkulu,10.625,3.393,9.739,"91,7",3.024,"89,1"
8,Lampung,74.406,22.326,67.548,"90,8",16.968,"76,0"
9,Kep. Bangka Belitung,17.822,6.545,16.961,"95,2",6.391,"97,6"
10,Kepulauan Riau,21.425,4.418,20.776,"97,0",4.312,"97,6"
11,DKI Jakarta,195.005,55.037,178.267,"91,4",51.262,"93,1"
12,Jawa Barat,663.921,213.663,644.026,"97,0",206.228,"96,5"
13,Jawa Tengah,467.663,130.750,399.615,"85,4",113.179,"86,6"
14,DI Yogyakarta,41.886,7.525,37.062,"88,5",6.869,"91,3"
15,Jawa Timur,435.344,163.769,424.354,"97,5",159.785,"97,6"
16,Banten,172.447,53.758,165.567,"96,0",51.243,"95,3"
17,Bali,41.739,10.693,39.257,"94,1",9.647,"90,2"
18,Nusa Tenggara Barat,102.324,44.220,96.288,"94,1",41.940,"94,8"
19,Nusa Tenggara Timur,29.313,14.261,25.613,"87,4",12.920,"90,6"
20,Kalimantan Barat,36.776,13.340,30.381,"82,6",11.037,"82,7"
21,Kalimantan Tengah,20.353,6.692,18.053,"88,7",6.005,"89,7"
22,Kalimantan Selatan,44.075,14.990,41.049,"93,1",14.297,"95,4"
23,Kalimantan Timur,55.417,16.779,50.292,"90,8",15.316,"91,3"
24,Kalimantan Utara,13.889,5.669,12.430,"89,5",5.133,"90,5"
25,Sulawesi Utara,11.532,3.556,9.901,"85,9",3.016,"84,8"
26,Sulawesi Tengah,34.225,12.314,29.937,"87,5",11.168,"90,7"
27,Sulawesi Selatan,120.370,38.367,91.006,"75,6",28.509,"74,3"
28,Sulawesi Tenggara,24.613,9.786,20.138,"81,8",8.225,"84,0"
29,Gorontalo,13.040,5.885,11.619,"89,1",5.453,"92,7"
30,Sulawesi Barat,16.785,5.657,13.771,"82,0",4.901,"86,6"
31,Maluku,17.183,8.503,13.610,"79,2",6.964,"81,9"
32,Maluku Utara,11.256,5.342,10.042,"89,2",4.871,"91,2"
33,Papua,5.610,3.483,5.418,"96,6",3.427,"98,4"
34,Papua Barat,7.309,4.020,6.135,"83,9",3.811,"94,8"
35,Papua Selatan,3.658,1.873,3.108,"85,0",1.598,"85,3"
36,Papua Tengah,1.771,1.274,1.469,"82,9",1.105,"86,7"
37 Papua Pegunungan Indonesia,,15.144 3.056.072,10.188 1.014.133,12.288 2.816.958,"81,1 92,2",6.480 933.469,"63,6 92,05"
No,Provinsi,Jumlah Kabupaten/Kota,Jumlah Kabupaten/Kota Melaksanakan Deteksi Dini Hepatitis B/C,Kabupaten/Kota Melaksanakan Deteksi Dini Hepatitis B/C (%),,,
(1),(2),(3),(4),(5),,,
1,Aceh,23,23,"100,0",,,
2,Sumatera Utara,33,33,"100,0",,,
3,Sumatera Barat,19,19,"100,0",,,
4,Riau,12,12,"100,0",,,
5,Jambi,11,11,"100,0",,,
6,Sumatera Selatan,17,17,"100,0",,,
7,Bengkulu,10,10,"100,0",,,
8,Lampung,15,15,"100,0",,,
9,Kepulauan Bangka Belitung,7,7,"100,0",,,
10,Kepulauan Riau,7,7,"100,0",,,
11,DKI Jakarta,6,6,"100,0",,,
12,Jawa Barat,27,27,"100,0",,,
13,Jawa Tengah,35,35,"100,0",,,
14,DI Yogyakarta,5,5,"100,0",,,
15,Jawa Timur,38,38,"100,0",,,
16,Banten,8,8,"100,0",,,
17,Bali,9,9,"100,0",,,
18,Nusa Tenggara Barat,10,10,"100,0",,,
19,Nusa Tenggara Timur,22,22,"100,0",,,
20,Kalimantan Barat,14,14,"100,0",,,
21,Kalimantan Tengah,14,14,"100,0",,,
22,Kalimantan Selatan,13,13,"100,0",,,
23,Kalimantan Timur,10,10,"100,0",,,
24,Kalimantan Utara,5,5,"100,0",,,
25,Sulawesi Utara,15,15,"100,0",,,
26,Sulawesi Tengah,13,13,"100,0",,,
27,Sulawesi Selatan,24,24,"100,0",,,
28,Sulawesi Tenggara,17,17,"100,0",,,
29,Gorontalo,6,6,"100,0",,,
30,Sulawesi Barat,6,6,"100,0",,,
31,Maluku,11,11,"100,0",,,
32,Maluku Utara,10,10,"100,0",,,
33,Papua,9,9,"100,0",,,
34,Papua Barat,7,7,"100,0",,,
35,Papua Selatan,4,4,"100,0",,,
36,Papua Tengah,8,3,"37,5",,,
37 Papua Pegunungan Indonesia,,8 514,3 504,"37,5 98,1",,,
