No,Provinsi,Target Penemuan Pneumonia Balita,Realisasi Penemuan Penderita Pneumonia Balita,,,,,,,
,,,Pneumonia,,Pneumonia Berat,,Jumlah,,Jumlah,%
,,,< 1 Tahun,1-4 Tahun,< 1 Tahun,1-4 Tahun,< 1 Tahun,1-4 Tahun,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
1,Aceh,17.043,238,838,19,34,257,872,1.129,"6,62"
2,Sumatera Utara,48.570,7.339,9.665,103,119,7.442,9.784,17.226,"35,47"
3,Sumatera Barat,17.976,4.110,10.788,183,292,4.293,11.080,15.373,"85,52"
4,Riau,21.132,2.742,6.730,48,32,2.790,6.762,9.552,"45,20"
5,Jambi,12.077,1.480,4.814,205,615,1.685,5.429,7.114,"58,90"
6,Sumatera Selatan,28.565,5.821,10.949,209,275,6.030,11.224,17.254,"60,40"
7,Bengkulu,6.501,368,666,4,1,372,667,1.039,"15,98"
8,Lampung,28.459,2.228,4.517,148,49,2.376,4.566,6.942,"24,39"
9,Kep. Bangka Belitung,4.776,2.106,5.629,78,56,2.184,5.685,7.869,"164,77"
10,Kepulauan Riau,2.030,256,480,108,15,364,495,859,"42,32"
11,DKI Jakarta,36.132,12.342,26.477,556,380,12.898,26.857,39.755,"110,03"
12,Jawa Barat,164.343,61.863,110.106,4.687,3.701,66.550,113.807,180.357,"109,74"
13,Jawa Tengah,118.145,10.267,24.289,846,877,11.113,25.166,36.279,"30,71"
14,DI Yogyakarta,12.912,787,1.940,55,47,842,1.987,2.829,"21,91"
15,Jawa Timur,136.789,28.730,63.540,2.062,1.755,30.792,65.295,96.087,"70,24"
16,Banten,40.262,11.067,20.975,485,451,11.552,21.426,32.978,"81,91"
17,Bali,14.094,1.713,3.888,54,76,1.767,3.964,5.731,"40,66"
18,Nusa Tenggara Barat,16.826,8.940,14.151,799,982,9.739,15.133,24.872,"147,82"
19,Nusa Tenggara Timur,17.872,793,928,214,429,1.007,1.357,2.364,"13,23"
20,Kalimantan Barat,16.676,870,1.844,32,45,902,1.889,2.791,"16,74"
21,Kalimantan Tengah,8.316,141,257,5,5,146,262,408,"4,91"
22,Kalimantan Selatan,21.180,4.280,8.000,851,1.633,5.131,9.633,14.764,"69,71"
23,Kalimantan Timur,10.797,2.583,4.846,206,193,2.789,5.039,7.828,"72,50"
24,Kalimantan Utara,-,-,--,-,-,-,-,-,-
25,Sulawesi Utara,8.045,196,548,6,3,202,551,753,"9,36"
26,Sulawesi Tengah,9.917,3.272,6.503,205,172,3.477,6.675,10.152,"102,37"
27,Sulawesi Selatan,28.241,658,1.714,24,49,682,1.763,2.445,"8,66"
28,Sulawesi Tenggara,8.467,915,2.214,57,76,972,2.290,3.262,"38,52"
29,Gorontalo,4.109,1.609,2.574,31,12,1.640,2.586,4.226,"102,85"
30,Sulawesi Barat,4.397,389,1.040,42,61,431,1.101,1.532,"34,84"
31,Maluku,5.421,97,148,1,1,98,149,247,"4,56"
32,Maluku Utara,4.126,220,384,14,15,234,399,633,"15,34"
33,Papua Barat,-,-,--,-,- -,-,-,-,-
34,Papua,-,-,--,-,- -,-,-,-,-
Indonesia,,874.195,178.420,351.442,12.337,12.451,190.757,363.893,554.650,"63,45"
No,Provinsi,Penderita Pneumonia,,,Jumlah Kematian Balita Karena Pneumonia,,,CFR (%),,
,,< 1 Tahun,1-4 Tahun,Jumlah,< 1 Tahun,1-4 Tahun,Jumlah,< 1 Tahun,1-4 Tahun,0-4 Tahun
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
1,Aceh,257,872,1.129,0,0,0,"0,00","0,00","0,00"
2,Sumatera Utara,7.442,9.784,17.226,4,10,14,"0,05","0,10","0,08"
3,Sumatera Barat,4.293,11.080,15.373,0,1,1,"0,00","0,01","0,01"
4,Riau,2.790,6.762,9.552,6,0,6,"0,22","0,00","0,06"
5,Jambi,1.685,5.429,7.114,0,2,2,"0,00","0,04","0,03"
6,Sumatera Selatan,6.030,11.224,17.254,2,8,10,"0,03","0,07","0,06"
7,Bengkulu,372,667,1.039,33,101,134,"8,87","15,14","12,90"
8,Lampung,2.376,4.566,6.942,14,26,40,"0,59","0,57","0,58"
