No,Provinsi,Target Penemuan Pneumonia Balita*),Realisasi Penemuan Penderita Pneumonia Balita,,,,,,,
,,,Pneumonia,,Pneumonia Berat,,Jumlah,,Jumlah,%
,,,< 1 Tahun,1-4 Tahun,< 1 Tahun,1-4 Tahun,< 1 Tahun,1-4 Tahun,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
1,Aceh,21.767,703,1.935,50,53,753,1.988,2.741,"12,59"
2,Sumatera Utara,41.908,2.850,3.282,79,82,2.929,3.364,6.293,"15,02"
3,Sumatera Barat,20.493,3.049,7.932,156,209,3.205,8.141,11.346,"55,36"
4,Riau,18.610,1.651,4.100,55,40,1.706,4.140,5.846,"31,41"
5,Jambi,10.398,1.039,2.959,44,38,1.083,2.997,4.080,"39,24"
6,Sumatera Selatan,32.383,3.934,7.265,553,345,4.487,7.610,12.097,"37,36"
7,Bengkulu,3.657,339,607,3,9,342,616,958,"26,20"
8,Lampung,18.385,2.373,5.698,254,251,2.627,5.949,8.576,"46,65"
9,Kepulauan Bangka Belitung,8.284,1.139,3.924,31,41,1.170,3.965,5.135,"61,99"
10,Kepulauan Riau,8.284,947,1.203,9,48,956,1.251,2.207,"26,64"
11,DKI Jakarta,44.284,13.954,27.756,268,327,14.222,28.083,42.305,"95,53"
12,Jawa Barat,223.454,46.610,81.516,1.787,1.469,48.397,82.985,131.382,"58,80"
13,Jawa Tengah,95.764,16.260,41.400,1.452,1.548,17.712,42.948,60.660,"63,34"
14,DI Yogyakarta,12.620,1.923,3.973,88,37,2.011,4.010,6.021,"47,71"
15,Jawa Timur,180.433,24.662,66.349,835,1.067,25.497,67.416,92.913,"51,49"
16,Banten,49.966,11.884,21.396,315,180,12.199,21.576,33.775,"67,60"
17,Bali,8.187,1.474,3.062,102,139,1.576,3.201,4.777,"58,35"
18,Nusa Tenggara Barat,31.737,7.771,11.610,460,388,8.231,11.998,20.229,"63,74"
19,Nusa Tenggara Timur,22.381,1.540,2.146,127,146,1.667,2.292,3.959,"17,69"
20,Kalimantan Barat,10.108,614,1.197,74,80,688,1.277,1.965,"19,44"
21,Kalimantan Tengah,11.425,196,376,27,12,223,388,611,"5,35"
22,Kalimantan Selatan,22.520,3.277,8.376,156,209,3.433,8.585,12.018,"53,37"
23,Kalimantan Timur,20.190,1.874,3.853,53,80,1.927,3.933,5.860,"29,02"
24,Kalimantan Utara,3.609,808,1.729,8,14,816,1.743,2.559,"70,91"
25,Sulawesi Utara,6.399,190,229,3,5,193,234,427,"6,67"
26,Sulawesi Tengah,12.504,3.072,5.619,139,150,3.211,5.769,8.980,"71,82"
27,Sulawesi Selatan,32.493,1.685,3.311,106,248,1.791,3.559,5.350,"16,47"
28,Sulawesi Tenggara,10.149,1.368,2.124,60,161,1.428,2.285,3.713,"36,58"
29,Gorontalo,5.779,1.137,2.008,59,33,1.196,2.041,3.237,"56,01"
30,Sulawesi Barat,6.882,388,935,48,79,436,1.014,1.450,"21,07"
31,Maluku,5.729,428,609,26,21,454,630,1.084,"18,92"
32,Maluku Utara,2.663,412,675,14,29,426,704,1.130,"42,43"
33,Papua Barat,1.923,415,642,20,35,435,677,1.112,"57,82"
34,Papua,8.865,217,271,21,26,238,297,535,"6,03"
Indonesia,,894.259,160.183,330.067,7.482,7.599,167.665,337.666,505.331,"56,51"
