No,Provinsi,Jumlah Balita,Prevalensi Pneumonia Pada Balita (%),Perkiraan Pneumonia Balita,Realisasi Penemuan Penderita Pneumonia Pada Balita,,,,,,,,,,,,,,,,,,,
,,,,,Pneumonia,,,,Pneumonia Berat,,,,Jumlah,,,%,Jumlah Kematian Balita Karena Pneumonia,,,,Total,,,CFR (%)
,,,,,< 1 Tahun,,1-4 Tahun,,< 1 Tahun,,1-4 Tahun,,L,P,L+P,,< 1 Tahun,,1-4 Tahun,,L,P,L+P,
,,,,,L,P,L,P,L,P,L,P,,,,,L,P,L,P,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
1,Aceh,514.963,"4,46",22.967,269,206,721,546,37,21,22,134,1.049,907,1.956,"8,5",4,13,1,1,5,14,19,"0,97"
2,Sumatera Utara,1.419.374,"2,99",42.439,471,445,812,643,30,29,43,35,1.356,1.152,2.508,"5,9",1,5,14,16,15,21,36,"1,44"
3,Sumatera Barat,515.165,"3,91",20.143,633,542,1.673,1.364,56,38,86,79,2.448,2.023,4.471,"22,2",0,3,0,1,0,4,4,"0,09"
4,Riau,683.206,"2,67",18.242,399,308,793,622,14,3,29,11,1.235,944,2.179,"11,9",1,4,1,4,2,8,10,"0,46"
5,Jambi,365.995,"3,15",11.529,250,226,768,530,8,7,12,11,1.038,774,1.812,"15,7",0,0,0,0,0,0,0,"0,00"
6,Sumatera Selatan,874.326,"3,61",31.563,1.081,1.007,1.856,1.538,152,89,119,86,3.208,2.720,5.928,"18,8",0,1,0,0,0,1,1,"0,02"
7,Bengkulu,214.664,"2,00",4.293,76,36,107,57,4,0,3,8,190,101,291,"6,8",2,0,0,1,2,1,3,"0,96"
8,Lampung,848.480,"2,23",18.921,1.082,1.118,2.459,2.191,69,65,311,236,3.921,3.610,7.531,"39,8",0,0,2,3,2,3,5,"0,07"
9,Kep. Bangka Belitung,139.019,"6,05",8.411,238,226,947,709,7,2,12,6,1.204,943,2.147,"25,5",1,1,0,0,1,1,2,"0,09"
10,Kepulauan Riau,139.019,"3,98",5.533,134,129,289,261,5,6,0,2,428,398,826,"14,9",0,0,2,3,2,3,5,"0,61"
11,DKI Jakarta,1.045.731,"4,24",44.339,4.291,3.435,8.228,7.059,87,56,81,279,12.687,10.829,23.516,"53,0",0,0,0,0,0,0,0,"0,00"
12,Jawa Barat,4.898.913,"4,62",226.330,12.165,10.912,24.197,21.371,548,384,490,441,37.400,33.108,70.508,"31,2",20,18,15,15,35,33,68,"0,10"
13,Jawa Tengah,2.652.751,"3,61",95.764,5.767,5.235,14.935,12.693,434,409,487,1.089,21.623,19.426,41.049,"42,9",25,41,14,35,39,76,115,"0,28"
14,DI Yogyakarta,242.608,"4,32",10.481,402,318,869,685,21,13,15,12,1.307,1.028,2.335,"22,3",6,4,8,6,14,10,24,"1,03"
15,Jawa Timur,3.898.048,"4,45",173.463,10.088,10.140,28.617,26.509,442,262,442,429,39.589,37.340,76.929,"44,3",13,10,1,4,14,14,28,"0,04"
16,Banten,1.222.487,"4,12",50.366,3.794,3.489,7.922,7.358,179,115,164,153,12.059,11.115,23.174,"46,0",14,5,1,1,15,6,21,"0,09"
17,Bali,415.605,"2,05",8.520,561,347,1.033,755,96,48,49,55,1.739,1.205,2.944,"34,6",0,0,0,0,0,0,0,"0,00"
18,Nusa Tenggara Barat,513.375,"6,38",32.753,2.245,1.793,3.794,3.193,215,136,206,153,6.460,5.275,11.735,"35,8",0,0,2,0,2,0,2,"0,02"
19,Nusa Tenggara Timur,532.606,"4,28",22.796,632,450,824,722,47,28,29,32,1.532,1.232,2.764,"12,1",1,1,1,0,2,1,3,"0,11"
20,Kalimantan Barat,469.747,"2,12",9.959,163,164,388,336,27,10,37,40,615,550,1.165,"11,7",0,0,5,11,5,11,16,"1,37"
21,Kalimantan Tengah,278.055,"4,37",12.151,95,85,180,147,3,2,0,3,278,237,515,"4,2",3,1,5,3,8,4,12,"2,33"
22,Kalimantan Selatan,415.760,"5,53",22.992,1.160,783,2.447,1.953,36,25,23,27,3.666,2.788,6.454,"28,1",1,2,0,0,1,2,3,"0,05"
23,Kalimantan Timur,368.719,"2,86",10.545,436,255,859,587,5,4,13,8,1.313,854,2.167,"20,5",3,0,0,1,3,1,4,"0,18"
24,Kalimantan Utara,69.635,"2,86",1.992,82,54,100,77,3,0,2,4,187,135,322,"16,2",1,3,10,6,11,9,20,"6,21"
25,Sulawesi Utara,238.269,"2,68",6.386,71,34,83,78,2,0,2,4,158,116,274,"4,3",2,0,3,1,5,1,6,"2,19"
26,Sulawesi Tengah,296.133,"5,19",15.369,1.102,796,2.051,1.624,62,19,33,37,3.248,2.476,5.724,"37,2",2,2,5,3,7,5,12,"0,21"
27,Sulawesi Selatan,874.230,"3,79",33.133,583,453,1.069,816,25,12,30,39,1.707,1.320,3.027,"9,1",2,3,1,1,3,4,7,"0,23"
28,Sulawesi Tenggara,276.312,"3,84",10.610,253,200,423,325,32,13,19,18,727,556,1.283,"12,1",1,0,8,3,9,3,12,"0,94"
29,Gorontalo,119.754,"4,84",5.796,346,290,427,393,17,16,16,9,806,708,1.514,"26,1",5,20,3,1,8,21,29,"1,92"
30,Sulawesi Barat,134.083,"4,88",6.543,93,79,217,143,8,3,10,12,328,237,565,"8,6",0,1,0,1,0,2,2,"0,35"
31,Maluku,176.393,"3,74",6.597,121,143,165,108,8,3,6,7,300,261,561,"8,5",5,2,9,11,14,13,27,"4,81"
32,Maluku Utara,123.063,"2,29",2.818,89,65,138,76,3,1,1,0,231,142,373,"13,2",0,0,1,0,1,0,1,"0,27"
33,Papua Barat,98.182,"2,88",2.828,216,170,437,417,4,2,23,22,680,611,1.291,"45,7",0,0,0,1,0,1,1,"0,08"
34,Papua,0,"2,80",0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!
Indonesia,,25.074.670,"3,55",890.151,49.388,43.933,109.828,95.886,2.686,1.821,2.815,3.481,164.717,145.121,309.838,"34,8",113,140,112,133,225,273,498,"0,16"
