No,Provinsi,Jumlah Balita,Perkiraan Pneumonia Balita,Realisasi Penemuan Penderita Pneumonia Pada Balita,,,,,,,,,,,,,,,,,,,,Kasus Pneumonia yang mendapatkan antibiotik,Persentase Kasus Pneumonia yang mendapatkan pengobatan sesuai standar
,,,,Pneumonia,,,,Pneumonia Berat,,,,Jumlah,,,%,Jumlah Kematian Balita Karena Pneumonia,,,,Total,,,CFR (%),,
,,,,< 1 Tahun,,1-<5 tahun,,< 1 Tahun,,1-<5 tahun,,L,P,L+P,,< 1 Tahun,,1-<5 tahun,,L,P,L+P,,,
,,,,L,P,L,P,L,P,L,P,,,,,L,P,L,P,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
1,Aceh,548.854,24.479,421,319,1.227,885,40,13,129,22,1.816,1.237,3.053,12.47,2,2,0,0,2,2,4,0.13,2.770,90.72
2,Sumatera Utara,2.823.541,84.424,752,650,1.674,1.459,173,120,109,91,2.708,2.320,5.028,5.96,26,6,3,1,29,7,36,0.72,4.796,95.39
3,Sumatera Barat,547.549,21.409,973,813,2.543,1.957,30,28,32,29,3.578,2.827,6.405,29.92,0,1,0,0,0,1,1,0.02,6.014,93.90
4,Riau,644.531,17.209,505,258,704,580,39,11,16,15,1.264,864,2.128,12.37,2,0,0,0,2,0,2,0.09,2.052,96.43
5,Jambi,366.459,11.543,159,131,464,347,5,10,16,7,644,495,1.139,9.87,1,0,0,0,1,0,1,0.09,1.096,96.22
6,Sumatera Selatan,875.020,31.588,893,815,2.449,2.053,52,43,109,82,3.503,2.993,6.496,20.56,2,2,0,0,2,2,4,0.06,5.477,84.31
7,Bengkulu,155.934,3.119,43,157,420,88,4,4,127,11,594,260,853,27.35,0,0,0,1,0,1,1,0.12,853,99.99
8,Lampung,905.859,20.199,1.127,923,2.027,1.864,19,20,54,56,3.227,2.863,6.090,30.15,0,0,0,0,0,0,0,0.00,5.782,94.94
9,Kep. Bangka Belitung,143.485,8.681,322,322,1.041,948,5,12,15,10,1.383,1.292,2.675,30.81,1,0,0,0,1,0,1,0.04,2.231,83.40
10,Kepulauan Riau,277.584,11.048,302,237,489,407,18,9,20,27,829,680,1.509,13.66,1,0,0,0,1,0,1,0.07,1.360,90.13
11,DKI Jakarta,1.125.159,47.707,6.308,4.827,12.385,10.477,121,82,180,136,18.994,15.522,34.516,72.35,0,0,0,0,0,0,0,0.00,34.220,99.14
12,Jawa Barat,4.929.355,227.736,17.257,14.786,34.491,30.637,1.245,881,1.799,1.480,54.792,47.784,102.576,45.04,16,9,12,2,28,11,39,0.04,98.129,95.66
13,Jawa Tengah,3.731.519,134.708,7.591,5.860,21.681,18.003,482,296,738,581,30.492,24.740,55.232,41.00,27,22,17,15,44,37,81,0.15,52.228,94.56
14,DI Yogyakarta,255.407,11.034,814,601,2.134,1.804,14,5,24,49,2.986,2.459,5.445,49.35,2,2,1,1,3,3,6,0.11,3.930,72.18
15,Jawa Timur,3.277.302,146.208,9.924,9.067,28.260,25.900,396,241,784,627,39.364,35.835,75.199,51.43,4,2,0,1,4,3,7,0.01,71.432,94.99
16,Banten,1.246.095,51.339,5.262,4.954,11.838,10.854,197,153,203,186,17.500,16.147,33.647,65.54,8,4,0,0,8,4,12,0.04,32.570,96.80
17,Bali,419.401,8.598,999,754,2.046,1.468,275,156,257,200,3.577,2.578,6.155,71.59,0,2,2,2,2,4,6,0.10,6.155,100.00
18,Nusa Tenggara Barat,538.829,34.377,2.255,1.793,4.660,3.747,185,109,270,236,7.370,5.885,13.255,38.56,6,2,1,0,7,2,9,0.07,13.254,99.99
19,Nusa Tenggara Timur,570.859,24.433,1.106,707,1.338,1.171,84,59,83,73,2.611,2.010,4.621,18.91,4,4,0,0,4,4,8,0.17,3.723,80.57
20,Kalimantan Barat,528.425,11.203,417,342,607,518,11,10,28,25,1.063,895,1.958,17.48,1,0,0,0,1,0,1,0.05,1.927,98.42
21,Kalimantan Tengah,272.639,11.914,371,234,405,350,176,104,113,103,1.065,791,1.856,15.58,11,11,0,0,11,11,22,1.19,1.737,93.59
22,Kalimantan Selatan,416.947,23.057,1.996,1.422,4.605,3.952,356,294,338,318,7.295,5.986,13.281,57.60,3,1,1,0,4,1,5,0.04,12.759,96.07
23,Kalimantan Timur,357.130,10.214,900,628,1.788,1.300,32,21,21,29,2.741,1.978,4.719,46.20,1,1,0,0,1,1,2,0.04,4.123,87.37
24,Kalimantan Utara ,72.544,2.075,288,179,468,316,2,3,6,8,764,506,1.270,61.21,2,2,1,0,3,2,5,0.39,1.199,94.41
25,Sulawesi Utara,254.834,54.823,41,22,40,37,1,0,1,1,83,60,143,0.26,3,4,0,0,3,4,7,4.90,114,79.72
26,Sulawesi Tengah,305.598,15.861,1.343,1.068,2.777,2.161,186,75,131,132,4.437,3.436,7.873,49.64,9,6,0,0,9,6,15,0.19,7.072,89.83
27,Sulawesi Selatan,885.540,33.562,1.381,974,2.888,2.254,334,205,545,469,5.148,3.902,9.050,26.97,3,6,1,5,4,11,15,0.17,8.118,89.70
28,Sulawesi Tenggara,264.722,10.165,310,214,486,399,38,32,40,53,874,698,1.572,15.46,1,3,5,3,6,6,12,0.76,1.572,100.00
29,Gorontalo,118.997,5.759,591,430,899,724,25,8,20,19,1.535,1.181,2.716,47.16,13,4,0,0,13,4,17,0.63,2.579,94.96
30,Sulawesi Barat,142.964,6.977,116,100,296,228,41,12,30,25,483,365,848,12.15,37,51,0,1,37,52,89,10.50,848,100.00
31,Maluku,181.416,6.785,266,207,391,281,12,4,15,20,684,512,1.196,17.63,8,7,25,31,33,38,71,5.94,1.077,90.05
32,Maluku Utara,125.094,2.865,223,146,335,248,7,8,6,11,571,413,984,34.35,1,6,0,0,1,6,7,0.71,900,91.46
33,Papua,324.540,9.087,153,111,243,185,12,13,18,15,426,324,750,8.25,8,6,0,0,8,6,14,1.87,750,100.00
34,Papua Barat ,101.680,2.928,462,313,650,496,72,30,87,87,1.271,926,2.197,75.02,8,8,3,2,11,10,21,0.96,2.050,93.31
35,Papua Selatan,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A
36,Papua Tengah,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A
37,Papua Pegunungan,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A,N?A
38 PapuIan Bdaornaet sDiaaya,,27.735.N80?A6,1.127.N11?A3,65.N87?A1,54.N36?A4,148.N74?A9,128.N09?A8,4.N68?A8,3.N07?A0,6.N36?A4,5.N23?A3,225.N67?A1,190.N76?A4,416.N43?A5,"36N,9?A5",N21?A1,N17?A4,N7?A2,N6?A5,N28?A3,N23?A9,N52?A2,"0N,1?A3",394.N89?A7,"94N,8?A3"
No,Provinsi,K e l o m p o k U m u r ( T a h u n ),,,,,,,,,,,,,,,Jumlah estimasi orang dengan risiko terinfeksi HIV (minimal) (Target Tes),Jumlah orang dengan risiko terinfeksi HIV yang mendapatkan pelayanan sesuai standar (Tes HIV),Persentase orang dengan risiko terinfeksi HIV mendapatkan pelayanan deteksi dini HIV sesuai standar,,,,,,
,,≤ 4 Tahun,,5 - 14 Tahun,,15 - 19 Tahun,,20 - 24 Tahun,,25 - 49 Tahun,,≥ 50 Tahun,,Total,,,,,,,,,,,
,,L,P,L,P,L,P,L,P,L,P,L,P,L,P,T,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),,,,,,
1,Aceh,2,3,0,1,17,2,56,2,156,27,9,4,240,39,279,127.235,68.430,54?,,,,,,
2,Sumatera Utara,31,6,22,12,163,11,453,40,1.672,426,189,80,2.530,575,3.105,430.438,299.147,69?,,,,,,
3,Sumatera Barat,6,1,2,2,39,1,103,6,327,53,35,4,512,67,579,157.958,94.826,60?,,,,,,
4,Riau,6,1,5,3,46,5,156,17,463,132,56,24,732,182,914,225.127,168.894,75?,,,,,,
5,Jambi,2,0,1,2,15,0,49,5,123,42,19,3,209,52,261,88.467,40.284,46?,,,,,,
6,Sumatera Selatan,8,6,2,1,36,5,152,18,401,132,41,11,640,173,813,236.323,200.256,85?,,,,,,
7,Bengkulu,0,0,1,1,13,1,31,1,91,21,13,3,149,27,176,60.152,34.887,58?,,,,,,
8,Lampung,13,4,6,5,48,7,138,27,466,127,35,13,706,183,889,213.036,143.826,68?,,,,,,
9,Kep. Bangka Belitung,0,1,1,1,7,4,22,9,127,56,9,11,166,82,248,40.916,40.068,98?,,,,,,
10,Kepulauan Riau,3,2,7,6,26,8,114,15,484,181,60,24,694,236,930,75.156,80.539,107?,,,,,,
11,DKI Jakarta,19,13,30,22,165,39,948,107,3.065,713,324,124,4.551,1.018,5.569,326.939,481.160,147?,,,,,,
12,Jawa Barat,59,45,40,43,382,71,1.354,223,3.832,1.349,402,153,6.069,1.884,7.953,1.275.453,1.005.864,79?,,,,,,
13,Jawa Tengah,40,24,28,23,194,43,558,139,2.143,1.092,571,287,3.534,1.608,5.142,836.803,874.784,105?,,,,,,
14,DI Yogyakarta,4,4,4,5,63,1,235,11,345,104,90,39,741,164,905,83.087,85.254,103?,,,,,,
15,Jawa Timur,50,37,48,48,299,65,922,328,3.724,2.391,1.000,588,6.043,3.457,9.500,855.601,867.498,101?,,,,,,
16,Banten,13,8,13,15,112,9,370,56,1.170,342,110,33,1.788,463,2.251,350.618,331.479,95?,,,,,,
17,Bali,8,9,6,14,46,14,227,86,1.195,728,290,176,1.772,1.027,2.799,116.462,98.505,85?,,,,,,
18,Nusa Tenggara Barat,4,4,2,2,33,7,80,14,232,84,33,9,384,120,504,144.153,106.229,74?,,,,,,
19,Nusa Tenggara Timur,10,3,9,7,29,19,136,56,530,287,76,39,790,411,1.201,176.593,62.537,35?,,,,,,
20,Kalimantan Barat,5,4,12,7,63,11,188,31,550,193,89,31,907,277,1.184,138.906,93.063,67?,,,,,,
21,Kalimantan Tengah,6,4,2,2,21,9,55,19,227,108,29,12,340,154,494,77.545,43.273,56?,,,,,,
22,Kalimantan Selatan,1,6,4,5,38,5,109,19,367,113,40,16,559,164,723,117.937,99.710,85?,,,,,,
23,Kalimantan Timur,8,7,4,3,52,10,171,36,514,261,73,33,822,350,1.172,127.435,132.048,104?,,,,,,
24,Kalimantan Utara,4,1,3,1,7,2,28,10,89,37,12,5,143,56,199,24.174,26.249,109?,,,,,,
25,Sulawesi Utara,4,3,3,3,46,10,129,31,271,88,32,12,485,147,632,75.256,40.499,54?,,,,,,
26,Sulawesi Tengah,0,0,0,0,26,3,71,3,82,20,11,1,190,27,217,84.621,57.283,68?,,,,,,
27,Sulawesi Selatan,21,18,9,4,159,11,467,48,843,156,71,16,1.570,253,1.823,254.746,172.719,68?,,,,,,
28,Sulawesi Tenggara,7,1,1,0,40,2,103,9,177,28,16,5,344,45,389,81.634,37.121,45?,,,,,,
29,Gorontalo,6,2,0,0,9,1,31,2,59,6,5,3,110,14,124,35.015,27.134,77?,,,,,,
30,Sulawesi Barat,2,0,1,1,1,1,16,1,43,7,1,1,64,11,75,41.742,20.388,49?,,,,,,
31,Maluku,6,2,2,3,16,12,77,33,184,105,21,6,306,161,467,62.947,49.451,79?,,,,,,
32,Maluku Utara,2,2,1,1,15,11,40,24,105,33,4,4,167,75,242,37.778,20.364,54?,,,,,,
33,Papua,25,32,8,15,35,110,161,365,540,679,61,43,830,1.244,2.074,100.583,38.685,38?,,,,,,
34,Papua Barat,8,10,3,3,13,70,91,132,228,297,44,34,387,546,933,65.809,31.003,47?,,,,,,
35,Papua Selatan,3,1,0,1,5,13,14,21,44,47,6,4,72,87,159,54.618,25.663,47?,,,,,,
36,Papua Tengah,4,12,7,15,65,168,178,231,424,412,33,26,711,864,1.575,90.295,57.804,64?,,,,,,
37,Papua Pegunungan,8,2,4,4,5,38,32,63,140,140,17,3,206,250,456,45.905,8.481,18?,,,,,,
38 Papua Barat Daya,,3991,2802,2910,2821,2.3589,81112,8.09350,2.29546,25.52985,11.114203,3.93181,1.8833,40.610496,16.619907,57.239493,7.38580..271596,6.08149..843372,"380?,8",,,,,,
Indonesia,,"1,2%",,"1,0%",,"5,5%",,"18,1%",,"64,0%",,"10,2%",,100%,,,,,,,,,,,
