No,Province,No. of New Case,Leprosy Disability Grade 1,,Leprosy Disability Grade 2,,0 - 14 y.o,
,,,Total,%,Total,%,Total,%
(1),(2),(3),(4),(5),(6),(7),(8),(9)
1,Aceh,583,15,2.57,68,11.66,75,12.86
2,North Sumatra,176,24,13.64,20,11.36,20,11.36
3,West Sumatra,159,5,3.14,18,11.32,17,10.69
4,Riau,120,3,2.50,8,6.67,4,3.33
5,Jambi,78,16,20.51,11,14.10,6,7.69
6,South Sumatra,304,39,12.83,29,9.54,11,3.62
7,Bengkulu,21,2,9.52,4,19.05,1,4.76
8,Lampung,142,29,20.42,11,7.75,6,4.23
9,Bangka Belitung Islands,54,0,0.00,2,3.70,7,12.96
10,Riau Islands,17,4,23.53,0,0.00,4,23.53
11,DKI Jakarta,258,18,6.98,10,3.88,30,11.63
12,West Java,"1,917",333,17.37,225,11.74,137,7.15
13,Central Java,"1,860",233,12.53,240,12.90,109,5.86
14,DI Yogyakarta,79,8,10.13,0,0.00,0,0.00
15,East Java,"4,116",554,13.46,528,12.83,387,9.40
16,Banten,823,110,13.37,87,10.57,111,13.49
17,Bali,81,1,1.23,0,0.00,5,6.17
18,West Nusa Tenggara,281,15,5.34,14,4.98,37,13.17
19,East Nusa Tenggara,378,22,5.82,32,8.47,43,11.38
20,West Kalimantan,43,2,4.65,7,16.28,2,4.65
21,Central Kalimantan,62,4,6.45,3,4.84,10,16.13
22,South Kalimantan,156,3,1.92,26,16.67,3,1.92
23,East Kalimantan,154,4,2.60,5,3.25,9,5.84
24,North Sulawesi,349,9,2.58,12,3.44,40,11.46
25,Central Sulawesi,269,34,12.64,22,8.18,30,11.15
26,South Sulawesi,"1,143",226,19.77,113,9.89,82,7.17
27,South East Sulawesi,268,6,2.24,3,1.12,34,12.69
28,Gorontalo,152,7,4.61,10,6.58,7,4.61
29,West Sulawesi,199,23,11.56,9,4.52,17,8.54
30,Maluku,545,79,14.50,16,2.94,73,13.39
31,North Maluku,544,15,2.76,31,5.70,104,19.12
32 West Papua Indonesia,,"633 17,025","10 1,897",1.58 11.14,"6 1,596",0.95 9.37,"212 1,894",33.49 11.12
