No,Provinsi,Penduduk,,,Klasifikasi,,,Jenis Kelamin,,,Case Detection Rate per 100.000 Penduduk,,
,,Laki-laki,Perempuan,Laki-laki + Perempuan,PB,MB,PB + MB,Laki-laki,Perempuan,Laki-laki + Perempuan,Laki-laki,Perempuan,Laki-laki + Perempuan
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14)
1,Aceh,2.365.626,2.366.079,4.731.705,146,437,583,316,267,583,"13,36","11,28","12,32"
2,Sumatera Utara,6.753.829,6.774.108,13.527.937,20,156,176,107,69,176,"1,58","1,02","1,30"
3,Sumatera Barat,2.527.260,2.571.530,5.098.790,42,117,159,107,52,159,"4,23","2,02","3,12"
4,Riau,3.273.675,3.084.961,6.358.636,20,100,120,92,28,120,"2,81","0,91","1,89"
5,Jambi,1.742.763,1.669.696,3.412.459,9,69,78,50,28,78,"2,87","1,68","2,29"
6,Sumatera Selatan,4.068.596,3.927.939,7.996.535,36,268,304,192,112,304,"4,72","2,85","3,80"
7,Bengkulu,932.755,895.536,1.828.291,2,19,21,17,4,21,"1,82","0,45","1,15"
8,Lampung,4.101.852,3.870.394,7.972.246,20,122,142,95,47,142,"2,32","1,21","1,78"
9,Kepulauan Bangka Belitung,714.779,665.983,1.380.762,7,47,54,35,19,54,"4,90","2,85","3,91"
10,Kepulauan Riau,1.041.183,990.712,2.031.895,11,6,17,8,9,17,"0,77","0,91","0,84"
11,DKI Jakarta,5.136.173,4.998.857,10.135.030,26,232,258,156,102,258,"3,04","2,04","2,55"
12,Jawa Barat,23.557.049,22.743.494,46.300.543,194,1.723,1.917,1.238,679,1.917,"5,26","2,99","4,14"
13,Jawa Tengah,16.286.404,16.493.428,32.779.832,259,1.601,1.860,1.181,679,1.860,"7,25","4,12","5,67"
14,DI Yogyakarta,1.774.459,1.819.831,3.594.290,0,79,79,61,18,79,"3,44","0,99","2,20"
15,Jawa Timur,19.021.215,19.508.266,38.529.481,507,3.609,4.116,2.453,1.663,4.116,"12,90","8,52","10,68"
16,Banten,6.051.954,5.782.133,11.834.087,117,706,823,532,291,823,"8,79","5,03","6,95"
17,Bali,2.127.969,2.097.415,4.225.384,13,68,81,68,13,81,"3,20","0,62","1,92"
18,Nusa Tenggara Barat,2.279.683,2.422.706,4.702.389,70,211,281,164,117,281,"7,19","4,83","5,98"
19,Nusa Tenggara Timur,2.516.606,2.554.140,5.070.746,72,306,378,302,76,378,"12,00","2,98","7,45"
20,Kalimantan Barat,2.321.739,2.224.700,4.546.439,8,35,43,35,8,43,"1,51","0,36","0,95"
21,Kalimantan Tengah,1.233.335,1.135.319,2.368.654,11,51,62,59,3,62,"4,78","0,26","2,62"
22,Kalimantan Selatan,1.979.604,1.934.304,3.913.908,17,139,156,130,26,156,"6,57","1,34","3,99"
23,Kalimantan Timur,2.165.984,1.949.757,4.115.741,9,145,154,103,51,154,"4,76","2,62","3,74"
24,Sulawesi Utara,1.215.227,1.167.714,2.382.941,35,314,349,233,116,349,"19,17","9,93","14,65"
25,Sulawesi Tengah,1.453.503,1.385.787,2.839.290,51,218,269,180,89,269,"12,38","6,42","9,47"
26,Sulawesi Selatan,4.098.674,4.297.073,8.395.747,153,990,1.143,691,452,1.143,"16,86","10,52","13,61"
27,Sulawesi Tenggara,1.212.907,1.205.055,2.417.962,35,233,268,160,108,268,"13,19","8,96","11,08"
28,Gorontalo,567.181,567.317,1.134.498,19,133,152,107,45,152,"18,87","7,93","13,40"
29,Sulawesi Barat,642.684,641.936,1.284.620,62,137,199,122,77,199,"18,98","11,99","15,49"
30,Maluku,861.747,846.443,1.708.190,133,412,545,336,209,545,"38,99","24,69","31,91"
31,Maluku Utara,582.295,559.266,1.141.561,104,440,544,313,231,544,"53,75","41,30","47,65"
32,Papua Barat,462.254,415.183,877.437,285,348,633,374,259,633,"80,91","62,38","72,14"
33,Papua,1.850.900,1.635.532,3.486.432,319,742,1.061,638,423,1.061,"34,47","25,86","30,43"
Indonesia,,126.921.864,125.202.594,252.124.458,2.812,14.213,17.025,10.655,6.370,17.025,"8,39","5,09","6,75"
No,Provinsi,Jumlah Penderita Baru,Cacat Tingkat 1,,Cacat Tingkat 2,,0 - 14 Tahun,,,,,,
,,,Jumlah,%,Jumlah,%,Jumlah,%,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),,,,,
1,Aceh,583,15,"2,57",68,"11,66",75,"12,86",,,,,
2,Sumatera Utara,176,24,"13,64",20,"11,36",20,"11,36",,,,,
3,Sumatera Barat,159,5,"3,14",18,"11,32",17,"10,69",,,,,
4,Riau,120,3,"2,50",8,"6,67",4,"3,33",,,,,
5,Jambi,78,16,"20,51",11,"14,10",6,"7,69",,,,,
6,Sumatera Selatan,304,39,"12,83",29,"9,54",11,"3,62",,,,,
7,Bengkulu,21,2,"9,52",4,"19,05",1,"4,76",,,,,
8,Lampung,142,29,"20,42",11,"7,75",6,"4,23",,,,,
9,Kepulauan Bangka Belitung,54,0,"0,00",2,"3,70",7,"12,96",,,,,
10,Kepulauan Riau,17,4,"23,53",0,"0,00",4,"23,53",,,,,
