No,Provinsi,Penduduk,,,,Klasifikasi,,Jenis Kelamin,,Jumlah Kasus Baru,Case Detection Rate per 100.000 Penduduk
,,Laki-laki,Perempuan,Laki-laki + Perempuan,,PB,MB,Laki-laki,Perempuan,,
(1),(2),(3),(4),(5),,(6),(7),(8),(9),(10),(11)
1,Aceh,2.497.491,2.504.462,5.001.953,,139,385,295,229,524,"10,48"
2,Sumatera Utara,6.954.552,6.983.245,13.937.797,,25,172,136,61,197,"1,41"
3,Sumatera Barat,2.584.192,2.612.097,5.196.289,,13,41,38,16,54,"1,04"
4,Riau,3.257.561,3.086.841,6.344.402,,11,97,88,20,108,"1,70"
5,Jambi,1.736.049,1.666.003,3.402.052,,9,63,50,22,72,"2,12"
6,Sumatera Selatan,4.092.177,3.960.138,8.052.315,,45,285,184,146,330,"4,10"
7,Bengkulu,956.265,918.679,1.874.944,,0,17,11,6,17,"0,91"
8,Lampung,4.162.437,3.954.831,8.117.268,,3,50,34,19,53,"0,65"
9,Kepulauan Bangka Belitung,713.223,659.590,1.372.813,,6,29,21,14,35,"2,55"
10,Kepulauan Riau,1.007.979,965.064,1.973.043,,6,18,24,0,24,"1,22"
11,DKI Jakarta,5.115.357,5.062.567,10.177.924,,41,276,223,94,317,"3,11"
12,Jawa Barat,23.680.927,23.028.642,46.709.569,,193,1.833,1327,699,2.026,"4,34"
13,Jawa Tengah,16.750.898,17.023.243,33.774.141,,207,1.600,1150,657,1.807,"5,35"
14,DI Yogyakarta,1.818.765,1.860.411,3.679.176,,22,83,71,34,105,"2,85"
15,Jawa Timur,19.172.610,19.674.951,38.847.561,,508,3.505,2359,1654,4.013,"10,33"
16,Banten,6.097.184,5.858.059,11.955.243,,147,879,624,402,1.026,"8,58"
17,Bali,2.091.005,2.061.828,4.152.833,,9,52,41,20,61,"1,47"
18,Nusa Tenggara Barat,2.345.811,2.489.766,4.835.577,,56,236,192,100,292,"6,04"
19,Nusa Tenggara Timur,2.536.872,2.583.189,5.120.061,,46,234,217,63,280,"5,47"
20,Kalimantan Barat,2.439.892,2.349.682,4.789.574,,7,50,47,10,57,"1,19"
21,Kalimantan Tengah,1.302.796,1.192.239,2.495.035,,0,26,23,3,26,"1,04"
22,Kalimantan Selatan,2.021.963,1.967.830,3.989.793,,18,127,125,20,145,"3,63"
23,Kalimantan Timur,1.797.297,1.629.341,3.426.638,,26,150,109,67,176,"5,14"
24,Kalimantan Utara,340.811,301.125,641.936,,4,37,34,7,41,"6,39"
25,Sulawesi Utara,1.230.810,1.181.308,2.412.118,,50,377,295,132,427,"17,70"
