No,Provinsi,Penduduk,,,Klasifikasi,,,Jenis Kelamin,,Jumlah Kasus Baru*,Case Detection Rate per 100.000 Penduduk
,,Laki-laki,Perempuan,Laki-laki + Perempuan,PB*,MB*,Proporsi MB,Laki-laki*,Perempuan*,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
1,Aceh,2.638.423,2.642.891,5.281.314,84,282,"77,05",241,125,366,"6,93"
2,Sumatera Utara,7.193.200,7.222.191,14.415.391,11,166,"93,79",118,59,177,"1,23"
3,Sumatera Barat,2.681.113,2.700.964,5.382.077,7,56,"88,89",46,17,63,"1,17"
4,Riau,3.495.705,3.319.204,6.814.909,16,103,"86,55",84,35,119,"1,75"
5,Jambi,1.821.381,1.748.891,3.570.272,12,66,"84,62",49,29,78,"2,18"
6,Sumatera Selatan,4.252.833,4.117.487,8.370.320,44,259,"85,48",197,106,303,"3,62"
7,Bengkulu,1.000.644,962.656,1.963.300,3,22,"88,00",14,11,25,"1,27"
8,Lampung,4.286.676,4.083.809,8.370.485,1,152,"99,35",96,57,153,"1,83"
9,Kepulauan Bangka Belitung,759.255,700.618,1.459.873,9,37,"80,43",26,20,46,"3,15"
10,Kepulauan Riau,1.089.442,1.047.079,2.136.521,6,82,"93,18",50,38,88,"4,12"
11,DKI Jakarta,5.244.690,5.222.939,10.467.629,43,329,"88,44",253,119,372,"3,55"
12,Jawa Barat,24.652.609,24.031.252,48.683.861,194,1.930,"90,87",1.399,725,2.124,"4,36"
13,Jawa Tengah,17.101.806,17.389.029,34.490.835,133,1.312,"90,80",946,499,1.445,"4,19"
14,DI Yogyakarta,1.881.478,1.921.394,3.802.872,7,35,"83,33",28,14,42,"1,10"
15,Jawa Timur,19.502.156,19.998.695,39.500.851,304,2.955,"90,67",1.977,1.282,3.259,"8,25"
16,Banten,6.465.282,6.224.454,12.689.736,87,759,"89,72",548,298,846,"6,67"
17,Bali,2.161.512,2.130.642,4.292.154,9,103,"91,96",74,38,112,"2,61"
18,Nusa Tenggara Barat,2.433.731,2.579.956,5.013.687,39,210,"84,34",161,88,249,"4,97"
19,Nusa Tenggara Timur,2.660.613,2.710.906,5.371.519,45,330,"88,00",261,114,375,"6,98"
20,Kalimantan Barat,2.544.860,2.456.804,5.001.664,10,89,"89,90",60,39,99,"1,98"
21,Kalimantan Tengah,1.391.078,1.269.131,2.660.209,3,72,"96,00",49,26,75,"2,82"
22,Kalimantan Selatan,2.121.999,2.060.696,4.182.695,11,157,"93,45",124,44,168,"4,02"
23,Kalimantan Timur,1.912.979,1.735.856,3.648.835,22,159,"87,85",118,63,181,"4,96"
24,Kalimantan Utara,380.011,336.396,716.407,9,32,"78,05",31,10,41,"5,72"
25,Sulawesi Utara,1.267.467,1.216.925,2.484.392,58,302,"83,89",211,149,360,"14,49"
26,Sulawesi Tengah,1.536.491,1.473.952,3.010.443,35,259,"88,10",191,103,294,"9,77"
27,Sulawesi Selatan,4.286.893,4.485.077,8.771.970,95,840,"89,84",575,360,935,"10,66"
28,Sulawesi Tenggara,1.334.683,1.318.971,2.653.654,31,262,"89,42",199,94,293,"11,04"
29,Gorontalo,593.871,591.621,1.185.492,18,192,"91,43",144,66,210,"17,71"
30,Sulawesi Barat,680.325,675.229,1.355.554,43,169,"79,72",122,90,212,"15,64"
31,Maluku,894.229,879.547,1.773.776,62,393,"86,37",268,187,455,"25,65"
32,Maluku Utara,628.572,604.060,1.232.632,122,574,"82,47",399,297,696,"56,46"
33,Papua Barat,493.353,444.105,937.458,405,551,"57,64",550,406,956,"101,98"
34,Papua,1.746.771,1.575.755,3.322.526,496,1.304,"72,44",1.069,731,1.800,"54,18"
Indonesia,,133.136.131,131.879.182,265.015.313,2.474,14.543,"85,46",10.678,6.339,17.017,"6,42"
