No,Provinsi,Jumlah Penduduk,Kasus Baru,,,,,,,,,Angka Penemuan Kasus Baru (NCDR/New Case Detection Rate) Per 100.000 Penduduk
,,,Pausi Basiler (PB)/ Kusta kering,,,Multi Basiler (MB)/ Kusta Basah,,,PB + MB,,,
,,,L,P,L+P,L,P,L+P,L,P,L+P,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
1,Aceh,5.539.628,29,17,46,148,60,208,177,77,254,"4,59"
2,Sumatera Utara,14.703.532,3,9,12,64,38,102,67,47,114,"0,78"
3,Sumatera Barat,5.610.859,4,4,8,33,31,64,37,35,72,"1,28"
4,Riau,7.066.264,4,2,6,50,19,69,54,21,75,"1,06"
5,Jambi,3.674.667,3,3,6,27,12,39,30,15,45,"1,22"
6,Sumatera Selatan,8.467.432,11,7,18,118,86,204,129,93,222,"2,62"
7,Bengkulu,1.991.838,1,1,2,7,6,13,8,7,15,"0,75"
8,Lampung,8.521.201,1,5,6,79,45,124,80,50,130,"1,53"
9,Kepulauan Bangka Belitung,1.488.245,2,4,6,31,12,43,33,16,49,"3,29"
10,Kepulauan Riau,2.069.617,1,1,2,18,12,30,19,13,32,"1,55"
11,DKI Jakarta,11.100.929,15,21,36,236,124,360,251,145,396,"3,57"
12,Jawa Barat,51.963.170,48,37,85,838,405,1.243,886,442,1.328,"2,56"
13,Jawa Tengah,34.917.040,41,31,72,366,204,570,407,235,642,"1,84"
14,DI Yogyakarta,3.634.493,1,0,1,13,11,24,14,11,25,"0,69"
15,Jawa Timur,40.156.672,49,41,90,1.028,578,1.606,1.077,619,1.696,"4,22"
16,Banten,12.414.666,30,34,64,363,189,552,393,223,616,"4,96"
17,Bali,4.380.824,3,3,6,59,36,95,62,39,101,"2,31"
18,Nusa Tenggara Barat,5.298.471,6,11,17,96,57,153,102,68,170,"3,21"
19,Nusa Tenggara Timur,5.462.224,14,11,25,226,91,317,240,102,342,"6,26"
20,Kalimantan Barat,5.162.937,2,0,2,38,19,57,40,19,59,"1,14"
21,Kalimantan Tengah,2.605.274,4,1,5,25,15,40,29,16,45,"1,73"
22,Kalimantan Selatan,4.240.796,7,2,9,44,20,64,51,22,73,"1,72"
23,Kalimantan Timur,3.708.936,10,4,14,77,31,108,87,35,122,"3,29"
24,Kalimantan Utara,680.037,2,0,2,16,12,28,18,12,30,"4,41"
25,Sulawesi Utara,2.553.251,15,16,31,227,120,347,242,136,378,"14,80"
26,Sulawesi Tengah,3.274.422,8,6,14,111,55,166,119,61,180,"5,50"
27,Sulawesi Selatan,8.956.181,38,36,74,384,236,620,422,272,694,"7,75"
28,Sulawesi Tenggara,2.721.246,4,5,9,115,85,200,119,90,209,"7,68"
29,Gorontalo,1.190.569,3,3,6,80,35,115,83,38,121,"10,16"
30,Sulawesi Barat,1.405.012,4,3,7,65,29,94,69,32,101,"7,19"
31,Maluku,1.831.880,8,22,30,147,155,302,155,177,332,"18,12"
32,Maluku Utara,1.278.764,20,32,52,294,184,478,314,216,530,"41,45"
33,Papua Barat,950.557,119,97,216,400,165,565,519,262,781,"82,16"
34,Papua,3.309.626,104,146,250,478,269,747,582,415,997,"30,12"
Indonesia,,272.331.260,614,615,1.229,6.301,3.446,9.747,6.915,4.061,10.976,"4,03"
Proporsi Jenis Kelamin,,,"50,0","50,0",,"64,6","35,4",,"63,0","37,0",,
