,,,,,,Kasus Baru,,,,,,Angka Penemuan Kasus Baru
No,Provinsi,Jumlah Penduduk,Pausi Basiler (PB)/ Kusta kering,,,Multi Basiler (MB)/ Kusta Basah,,,PB + MB,,,(NCDR/New Case Detection
,,,L,P,L+P,L,P,L+P,L,P,L+P,Rate) Per 100.000 Penduduk
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
1,Aceh,5.529.773,20,25,45,101,62,163,121,87,208,"3,8"
2,Sumatera Utara,15.107.226,2,2,4,97,52,149,99,54,153,"1,0"
3,Sumatera Barat,5.675.357,4,2,6,31,17,48,35,19,54,"1,0"
4,Riau,7.181.300,2,1,3,46,32,78,48,33,81,"1,1"
5,Jambi,3.677.678,2,3,5,29,8,37,31,11,42,"1,1"
6,Sumatera Selatan,8.803.213,7,11,18,122,87,209,129,98,227,"2,6"
7,Bengkulu,2.038.146,2,1,3,16,7,23,18,8,26,"1,3"
8,Lampung,8.683.167,4,2,6,83,38,121,87,40,127,"1,5"
9,Kepulauan Bangka Belitung,1.506.505,4,1,5,15,12,27,19,13,32,"2,1"
10,Kepulauan Riau,2.449.422,4,1,5,19,12,31,23,13,36,"1,5"
11,DKI Jakarta,10.711.809,24,16,40,207,81,288,231,97,328,"3,1"
12,Jawa Barat,50.639.156,79,57,136,1.058,527,1.585,1.137,584,1.721,"3,4"
13,Jawa Tengah,35.090.378,33,31,64,618,291,909,651,322,973,"2,8"
14,DI Yogyakarta,4.021.816,5,6,11,13,12,25,18,18,36,"0,9"
15,Jawa Timur,40.348.441,65,50,115,1.369,739,2.108,1.434,789,2.223,"5,5"
16,Banten,13.251.533,33,26,59,350,186,536,383,212,595,"4,5"
17,Bali,4.518.680,1,5,6,58,36,94,59,41,100,"2,2"
18,Nusa Tenggara Barat,5.370.302,12,11,23,109,34,143,121,45,166,"3,1"
19,Nusa Tenggara Timur,5.662.948,13,23,36,278,133,411,291,156,447,"7,9"
20,Kalimantan Barat,5.220.211,4,3,7,28,24,52,32,27,59,"1,1"
21,Kalimantan Tengah,2.757.697,6,2,8,58,17,75,64,19,83,"3,0"
22,Kalimantan Selatan,4.370.444,4,1,5,61,34,95,65,35,100,"2,3"
23,Kalimantan Timur,3.752.605,22,7,29,59,36,95,81,43,124,"3,3"
24,Kalimantan Utara,734.112,0,0,0,24,16,40,24,16,40,"5,4"
25,Sulawesi Utara,2.548.338,23,24,47,272,161,433,295,185,480,"18,8"
26,Sulawesi Tengah,3.159.749,14,10,24,179,103,282,193,113,306,"9,7"
27,Sulawesi Selatan,9.022.276,47,28,75,419,250,669,466,278,744,"8,2"
28,Sulawesi Tenggara,2.782.882,4,8,12,149,57,206,153,65,218,"7,8"
29,Gorontalo,1.205.341,4,3,7,85,57,142,89,60,149,"12,4"
30,Sulawesi Barat,1.415.130,14,9,23,83,49,132,97,58,155,"11,0"
31,Maluku,1.823.518,8,3,11,197,100,297,205,103,308,"16,9"
32,Maluku Utara,1.285.374,43,36,79,324,206,530,367,242,609,"47,4"
33,Papua Barat,1.031.676,74,90,164,339,195,534,413,285,698,"67,7"
34,Papua,3.482.891,83,117,200,479,285,764,562,402,964,"27,7"
Indonesia,,274.859.094,666,615,1.281,7.375,3.956,11.331,8.041,4.571,12.612,"4,6"
Proporsi Jenis Kelamin,,,"52,0","48,0",,"65,1","34,9",,"63,8","36,2",,
No,Provinsi,Jumlah Penduduk,Kasus Baru,,,,,,,,,
,,,Penderita Kusta,Cacat Tingkat 0,,Cacat Tingkat 2,,Angka Cacat Tingkat 2 Per 1.000.000 Penduduk,Penderita Kusta Anak <15 Tahun,,Penderita Kusta Anak <15 Tahun dengan Cacat Tingkat 2,
,,,,Jumlah,%,Jumlah,%,,Jumlah,%,Jumlah,%
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
1,Aceh,5.529.773,208,181,"87,0",11,"5,3","2,0",17,"8,2",0,"0,0"
2,Sumatera Utara,15.107.226,153,105,"68,6",28,"18,3","1,9",9,"5,9",0,"0,0"
