No,Province,Population at Risk,Suspect,Blood Specimen Taken,,,Positive,% of positive blood specimen,"Annual Parasite Incidence (API) per 1,000 population"
,,,,Microscopic Examination,Rapid Diagnostic Test,Total,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
1,Aceh,"4,731,705","42,352","39,229","2,870","42,099",778,1.85,0.16
2,North Sumatra,"13,527,937","88,205","39,093","38,212","77,305","9,357",12.10,0.69
3,West Sumatra,"5,098,790","4,182","3,855",234,"4,089",908,22.21,0.18
4,Riau,"6,358,636","13,441","9,338","3,002","12,340",845,6.85,0.13
5,Jambi,"3,412,459","32,484","24,052","5,899","29,951","2,855",9.53,0.84
6,South Sumatra,"7,996,535","36,529","22,418","4,064","26,482","2,371",8.95,0.30
7,Bengkulu,"1,828,291","34,636","23,761","6,731","30,492","3,971",13.02,2.17
8,Lampung,"7,972,246","24,468","17,265","6,675","23,940","4,389",18.33,0.55
9,Bangka Belitung Islands,"1,380,762","67,650","57,134","10,440","67,574","1,192",1.76,0.86
10,Riau Islands,"2,031,895","4,753","3,702","1,032","4,734",836,17.66,0.41
11,DKI Jakarta,"10,135,030",32,32,0,32,32,-,0.00
12,West Java,"46,300,543","17,125","18,847",16,"18,863",282,1.49,0.01
13,Central Java,"32,779,832","44,798","44,476",7,"44,483","1,629",3.66,0.05
14,DI Yogyakarta,"3,594,290",86,86,0,86,86,100.00,0.02
15,East Java,"38,529,481","21,589","21,344",84,"21,428",315,1.47,0.01
16,Banten,"11,834,087","1,405",858,612,"1,470",46,3.13,0.00
17,Bali,"4,225,384","4,780","4,780",0,"4,780",10,0.21,0.00
18,West Nusa Tenggara,"4,702,389","94,530","91,067","2,991","94,058","3,662",3.89,0.78
19,East Nusa Tenggara,"5,070,746","296,845","295,467","16,510","311,977","64,953",20.82,12.81
20,West Kalimantan,"4,546,439","29,295","21,132","16,303","37,435",753,2.01,0.17
21,Central Kalimantan,"2,368,654","24,167","11,028","13,099","24,127","3,130",12.97,1.32
22,South Kalimantan,"3,913,908","15,898","10,354","5,544","15,898","5,303",33.36,1.35
23,East Kalimantan,"3,508,012","9,177","5,774","5,337","11,111","1,115",10.04,0.32
24,North Kalimantan,"607,729","4,303","4,088","1,238","5,326",57,1.07,0.09
25,North Sulawesi,"2,382,941","18,846","16,768","6,886","23,654","2,244",9.49,0.94
26,Central Sulawesi,"2,839,290","41,785","21,395","16,695","38,090","2,282",5.99,0.80
27,South Sulawesi,"8,395,747","22,641","18,499","4,077","22,576",800,3.54,0.10
28,South East Sulawesi,"2,417,962","16,666","8,890","7,769","16,659","1,124",6.75,0.46
29,Gorontalo,"1,134,498","14,121","7,648","6,541","14,189",949,6.69,0.84
30,West Sulawesi,"1,284,620","26,252","19,656","12,819","32,475",325,1.00,0.25
31,Maluku,"1,708,190","54,212","44,396","6,572","50,968","10,249",20.11,6.00
32,North Maluku,"1,141,561","25,986","19,603","4,850","24,453","3,790",15.50,3.32
33 West Papua Indonesia 34 Papua,,"877,437 252,124,458 3,486,432","82,487 1,575,907 360,181","70,847 1,300,835 303,953","8,547 249,461 33,805","79,394 1,550,296 337,758","18,294 252,027 103,095",23.04 16.26 30.52,20.85 0.99 29.57
No,Province,API,,,,,,,
,,2011,2012,2013,2014,,,,
(1),(2),(3),(4),(5),(6),,,,
1,Aceh,0.76,0.44,0.44,0.16,,,,
2,North Sumatra,0.85,0.84,1.30,0.69,,,,
3,West Sumatra,0.09,0.25,0.26,0.18,,,,
4,Riau,0.15,0.20,0.23,0.13,,,,
5,Jambi,1.08,1.29,1.11,0.84,,,,
6,South Sumatra,0.22,0.20,0.39,0.30,,,,
7,Bengkulu,3.89,5.32,3.89,2.17,,,,
8,Lampung,0.49,0.18,0.34,0.55,,,,
9,Bangka Belitung Islands,3.66,2.66,1.28,0.86,,,,
10,Riau Islands,1.91,2.47,0.49,0.41,,,,
11,DKI Jakarta,0.00,0.00,0.00,0.00,,,,
12,West Java,0.01,0.01,0.00,0.01,,,,
13,Central Java,0.01,0.03,0.04,0.05,,,,
14,DI Yogyakarta,0.00,0.06,0.02,0.02,,,,
15,East Java,0.00,0.02,0.00,0.01,,,,
16,Banten,0.01,0.02,0.01,0.00,,,,
17,Bali,0.00,0.00,0.00,0.00,,,,
18,West Nusa Tenggara,0.93,0.82,0.57,0.78,,,,
19,East Nusa Tenggara,22.09,19.41,16.37,12.81,,,,
20,West Kalimantan,2.21,0.85,0.23,0.17,,,,
21,Central Kalimantan,3.74,3.48,2.00,1.32,,,,
22,South Kalimantan,2.31,2.06,1.43,1.35,,,,
23,East Kalimantan,1.46,1.15,0.47,0.32,,,,
24,North Kalimantan,-,-,-,0.09,,,,
25,North Sulawesi,3.21,2.35,1.11,0.94,,,,
26,Central Sulawesi,3.35,2.49,1.13,0.80,,,,
27,South Sulawesi,0.38,0.19,0.25,0.10,,,,
28,South East Sulawesi,1.48,0.79,0.62,0.46,,,,
29,Gorontalo,2.14,1.64,1.08,0.84,,,,
30,West Sulawesi,2.22,1.23,0.40,0.25,,,,
31,Maluku,8.34,7.42,8.25,6.00,,,,
32,North Maluku,4.57,5.08,4.51,3.32,,,,
33 West Papua Indonesia 34 Papua,,73.21 1.75 52.80,52.27 1.69 60.56,38.44 1.38 42.65,20.85 1.00 29.57,,,,
