No,Provinsi,Populasi Berisiko,Suspek,Sediaan Darah Diperiksa,,,Positif,Annual Parasite Incidence (API) per 1.000 penduduk
,,,,Pemeriksaan Mikroskopik,Rapid Diagnostic Test,Total,,
(1),(2),(3),(4),(5),(6),(7),(8),(10)
1,Aceh,5.001.953,53.921,44.749,9.049,53.798,422,"0,08"
2,Sumatera Utara,13.937.797,87.177,32.908,48.168,81.076,6.840,"0,49"
3,Sumatera Barat,5.196.289,6.404,5.343,641,5.984,752,"0,14"
4,Riau,6.344.402,15.649,10.174,5.475,15.649,625,"0,10"
5,Jambi,3.402.052,34.944,23.845,8.152,31.997,1.612,"0,47"
6,Sumatera Selatan,8.052.315,40.629,22.809,9.792,32.601,2.495,"0,31"
7,Bengkulu,1.874.944,32.457,21.649,6.631,28.280,3.814,"2,03"
8,Lampung,8.117.268,26.379,19.873,6.329,26.202,3.991,"0,49"
9,Kep. Bangka Belitung,1.372.813,67.960,60.232,7.728,67.960,1.484,"1,08"
10,Kepulauan Riau,1.973.043,5.627,4.076,1.327,5.403,688,"0,35"
11,DKI Jakarta,10.177.924,23,23,-,23,23,"0,00"
12,Jawa Barat,46.709.569,174,143,31,174,179,"0,00"
13,Jawa Tengah,33.774.141,50.654,49.794,860,50.654,2.190,"0,06"
14,DI Yogyakarta,3.679.176,126,126,-,126,126,"0,03"
15,Jawa Timur,38.847.561,3.515,3.514,1,3.515,25,"0,00"
16,Banten,11.955.243,401,149,252,401,28,"0,00"
17,Bali,4.152.833,5.283,4.905,-,4.905,5,"0,00"
18,Nusa Tenggara Barat,4.835.577,101.990,88.262,13.728,101.990,2.014,"0,42"
19,Nusa Tenggara Timur,5.120.061,283.112,260.012,20.494,280.506,36.039,"7,04"
20,Kalimantan Barat,4.789.574,49.128,21.658,27.470,49.128,640,"0,13"
21,Kalimantan Tengah,2.495.035,23.909,12.733,11.176,23.909,1.047,"0,42"
22,Kalimantan Selatan,3.989.793,14.056,8.363,5.693,14.056,2.716,"0,68"
23,Kalimantan Timur,3.426.638,15.229,7.257,7.972,15.229,1.562,"0,46"
24,Kalimantan Utara,641.936,4.240,3.127,1.113,4.240,18,"0,03"
25,Sulawesi Utara,2.412.118,22.274,12.033,10.241,22.274,2.128,"0,88"
26,Sulawesi Tengah,2.876.689,36.657,18.086,17.065,35.151,1.953,"0,68"
27,Sulawesi Selatan,8.520.304,24.811,18.765,5.860,24.625,818,"0,10"
28,Sulawesi Tenggara,2.626.222,14.403,7.062,7.252,14.403,1.073,"0,41"
29,Gorontalo,1.133.237,18.635,14.502,4.129,18.631,649,"0,57"
30,Sulawesi Barat,1.282.162,32.817,22.348,10.469,32.817,220,"0,17"
31,Maluku,1.686.469,66.474,44.796,15.939,60.735,9.802,"5,81"
32,Maluku Utara,1.162.345,25.349,19.526,5.184,24.710,3.220,"2,77"
33,Papua Barat,871.510,121.257,95.077,21.268,116.345,27.266,"31,29"
34,Papua,3.149.375,327.113,266.585,53.457,320.042,100.561,"31,93"
Indonesia,,255.602.872,1.612.777,1.224.504,342.946,1.567.539,217.025,"0,85"
No,Provinsi,API,,,,,,
,,2012,2013,2014,2015,,,
(1),(2),(3),(4),(5),(6),,,
1,Aceh,"0,44","0,44","0,16","0,08",,,
2,Sumatera Utara,"0,84","1,30","0,69","0,49",,,
3,Sumatera Barat,"0,25","0,26","0,18","0,14",,,
4,Riau,"0,20","0,23","0,13","0,10",,,
5,Jambi,"1,29","1,11","0,84","0,47",,,
6,Sumatera Selatan,"0,20","0,39","0,30","0,31",,,
7,Bengkulu,"5,32","3,89","2,17","2,03",,,
8,Lampung,"0,18","0,34","0,55","0,49",,,
9,Kepulauan Bangka Belitung,"2,66","1,28","0,86","1,08",,,
10,Kepulauan Riau,"2,47","0,49","0,41","0,35",,,
11,DKI Jakarta,"0,00","0,00","0,00","0,00",,,
12,Jawa Barat,"0,01","0,00","0,01","0,00",,,
13,Jawa Tengah,"0,03","0,04","0,05","0,06",,,
14,DI Yogyakarta,"0,06","0,02","0,02","0,03",,,
15,Jawa Timur,"0,02","0,00","0,01","0,00",,,
16,Banten,"0,02","0,01","0,00","0,00",,,
17,Bali,"0,00","0,00","0,00","0,00",,,
18,Nusa Tenggara Barat,"0,82","0,57","0,78","0,42",,,
19,Nusa Tenggara Timur,"19,41","16,37","12,81","7,04",,,
20,Kalimantan Barat,"0,85","0,23","0,17","0,13",,,
21,Kalimantan Tengah,"3,48","2,00","1,32","0,42",,,
22,Kalimantan Selatan,"2,06","1,43","1,35","0,68",,,
23,Kalimantan Timur,"1,15","0,47","0,32","0,46",,,
24,Kalimantan Utara,-,-,"0,09","0,03",,,
25,Sulawesi Utara,"2,35","1,11","0,94","0,88",,,
26,Sulawesi Tengah,"2,49","1,13","0,80","0,68",,,
27,Sulawesi Selatan,"0,19","0,25","0,10","0,10",,,
28,Sulawesi Tenggara,"0,79","0,62","0,46","0,41",,,
29,Gorontalo,"1,64","1,08","0,84","0,57",,,
30,Sulawesi Barat,"1,23","0,40","0,25","0,17",,,
31,Maluku,"7,42","8,25","6,00","5,81",,,
32,Maluku Utara,"5,08","4,51","3,32","2,77",,,
33,Papua Barat,"52,27","38,44","20,85","31,29",,,
34,Papua,"60,56","42,65","29,57","31,93",,,
Indonesia,,"1,69","1,38","0,99","0,85",,,
