No,Provinsi,Populasi,Suspek,Sediaan Darah Diperiksa,,,Positif,Pengobatan ACT,% Konfirmasi,% ACT,Annual Parasite Incidence (API) per 1.000 penduduk,Jumlah Kab/Kota yang Mencapai Eliminasi Malaria,Jumlah Kabupaten/Kota dengan API<1
,,,,Pemeriksaan Mikroskopik,Rapid Diagnostic Test,Total,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14)
1,Aceh,5.096.248,48.243,37.694,10.031,47.725,243,209,99%,86%,"0,05",18,23
2,Sumatera Utara,14.102.911,46.466,14.479,29.241,43.720,3.807,3.562,94%,94%,"0,27",18,29
3,Sumatera Barat,5.259.528,5.094,4.296,679,4.975,650,649,98%,100%,"0,12",16,18
4,Riau,6.500.971,14.760,6.887,7.814,14.701,166,127,100%,77%,"0,03",7,12
5,Jambi,3.458.926,45.138,25.249,16.207,41.456,492,460,92%,93%,"0,14",3,11
6,Sumatera Selatan,8.160.901,33.598,16.252,14.586,30.838,2.286,1.917,92%,84%,"0,28",7,14
7,Bengkulu,1.904.793,34.297,22.920,10.922,33.842,2.770,2.477,99%,89%,"1,45",3,5
8,Lampung,8.205.141,24.793,18.222,6.571,24.793,3.298,3.210,100%,97%,"0,40",5,12
9,Kep. Bangka Belitung,1.401.827,31.564,29.375,2.189,31.564,158,158,100%,100%,"0,11",5,7
10,Kepulauan Riau,2.028.169,9.190,4.418,4.189,8.607,721,409,94%,57%,"0,36",3,6
11,DKI Jakarta,10.277.628,70,70,0,70,70,70,100%,100%,"0,01",6,6
12,Jawa Barat,47.379.389,22.036,15.680,3.055,18.735,323,228,85%,71%,"0,01",23,27
13,Jawa Tengah,34.019.095,53.998,48.546,5.452,53.998,1.091,910,100%,83%,"0,03",28,35
14,DI Yogyakarta,3.720.912,95,95,0,95,95,95,100%,100%,"0,03",4,5
15,Jawa Timur,39.075.152,11.421,10.845,576,11.421,303,262,100%,86%,"0,01",37,38
16,Banten,12.203.148,28,28,0,28,28,28,100%,100%,"0,00",6,8
17,Bali,4.200.069,7.978,7.978,0,7.978,6,6,100%,100%,"0,00",9,9
18,Nusa Tenggara Barat,4.896.162,92.427,73.758,13.519,87.277,1.168,1.035,94%,89%,"0,24",3,10
19,Nusa Tenggara Timur,5.203.514,247.616,215.664,26.989,242.653,28.129,27.278,98%,97%,"5,41",0,6
20,Kalimantan Barat,4.861.738,48.790,18.171,29.531,47.702,297,233,98%,78%,"0,06",2,14
21,Kalimantan Tengah,2.550.192,18.866,9.105,9.718,18.823,474,456,100%,96%,"0,19",5,14
22,Kalimantan Selatan,4.055.479,14.465,8.270,6.195,14.465,2.117,1.978,100%,93%,"0,52",4,11
23,Kalimantan Timur,3.501.232,13.152,5.639,7.513,13.152,1.228,1.081,100%,88%,"0,35",3,8
24,Kalimantan Utara,666.333,2.538,2.065,473,2.538,22,14,100%,64%,"0,03",1,5
25,Sulawesi Utara,2.436.921,23.498,12.028,11.470,23.498,1.752,1.752,100%,100%,"0,72",3,12
26,Sulawesi Tengah,2.921.715,32.132,17.871,12.802,30.673,1.446,873,95%,60%,"0,49",3,9
27,Sulawesi Selatan,8.606.375,18.986,13.821,4.405,18.226,992,933,96%,94%,"0,12",14,24
28,Sulawesi Tenggara,2.770.910,14.435,6.360,8.075,14.435,1.226,1.189,100%,97%,"0,44",8,16
29,Gorontalo,1.150.765,13.302,10.275,2.962,13.237,176,173,100%,98%,"0,15",2,6
30,Sulawesi Barat,1.306.478,38.091,24.631,13.460,38.091,119,118,100%,99%,"0,09",1,6
31,Maluku,1.715.548,53.039,33.758,16.594,50.352,6.780,6.604,95%,97%,"3,95",0,3
32,Maluku Utara,1.185.912,29.259,18.718,8.479,27.197,2.888,2.296,93%,80%,"2,44",0,2
33,Papua Barat,893.362,73.457,39.579,11.765,51.344,6.063,4.804,70%,79%,"6,79",0,1
34,Papua,3.207.444,397.357,319.346,70.303,389.649,147.066,135.406,98%,92%,"45,85",0,1
Indonesia,,258.924.888,1.520.179,1.092.093,365.765,1.457.858,218.450,201.000,96%,92%,"0,84",247,413
