No,Provinsi,Populasi,Suspek,Sediaan Darah Diperiksa,,,% Konfirmasi,Positif,Annual Parasite Incidence (API) per 1.000 penduduk,Jumlah Kabupaten/Kota dengan API<1,Pengobatan ACT,% ACT,Jumlah Kab/Kota yang Mencapai Eliminasi Malaria
,,,,Pemeriksaan Mikroskopik,Rapid Diagnostic Test,Total,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14)
1,Aceh,5.189.466,41.301,28.883,10.885,39.768,"96,29",299,"0,06",22,272,"90,97",19
2,Sumatera Utara,14.262.147,36.579,11.966,21.914,32.580,"89,07",2.442,"0,17",31,2.256,"92,38",21
3,Sumatera Barat,5.321.489,3.414,2.305,1.109,3.414,"100,00",512,"0,10",18,376,"73,44",16
4,Riau,6.657.911,13.513,5.123,8.290,13.413,"99,26",211,"0,03",12,171,"81,04",7
5,Jambi,3.515.017,43.139,26.517,15.703,42.220,"97,87",187,"0,05",11,182,"97,33",3
6,Sumatera Selatan,8.266.983,45.454,20.382,22.203,42.585,"93,69",911,"0,11",17,786,"86,28",8
7,Bengkulu,1.934.269,30.627,20.247,8.569,28.816,"94,09",1.031,"0,53",9,1.019,"98,84",3
8,Lampung,8.289.577,33.934,19.410,13.550,32.960,"97,13",4.297,"0,52",13,4.166,"96,95",7
9,Kep. Bangka Belitung,1.430.865,34.339,28.534,5.110,33.644,"97,98",95,"0,07",7,87,"91,58",5
10,Kepulauan Riau,2.082.694,3.828,1.832,1.860,3.692,"96,45",357,"0,17",5,255,"71,43",3
11,DKI Jakarta,10.374.235,111,111,0,111,"100,00",111,"0,01",6,111,"100,00",6
12,Jawa Barat,48.037.827,328,328,0,328,"100,00",328,"0,01",27,328,"100,00",23
13,Jawa Tengah,34.257.865,17.337,15.900,1.437,17.337,"100,00",904,"0,03",35,756,"84,00",29
14,DI Yogyakarta,3.762.167,86,86,0,86,"100,00",86,"0,02",5,86,"100,00",4
15,Jawa Timur,39.292.972,3.899,3.841,58,3.899,"100,00",107,"0,00",38,88,"82,24",38
16,Banten,12.448.160,42,23,19,42,"100,00",42,"0,00",8,25,"59,52",6
17,Bali,4.246.528,7.087,7.087,0,7.087,"100,00",33,"0,01",9,30,"90,91",9
18,Nusa Tenggara Barat,4.955.578,81.242,52.645,20.040,72.685,"89,47",765,"0,15",9,708,"92,55",3
19,Nusa Tenggara Timur,5.287.302,310.671,241.369,68.273,309.642,"99,67",30.451,"5,76",10,29.262,"96,10",0
20,Kalimantan Barat,4.932.499,35.351,17.377,17.570,34.947,"98,86",152,"0,03",14,123,"80,92",2
21,Kalimantan Tengah,2.605.274,21.778,11.503,10.275,21.778,"100,00",760,"0,29",13,725,"95,39",6
22,Kalimantan Selatan,4.119.794,14.319,7.861,6.458,14.319,"100,00",1.135,"0,28",12,1.121,"98,77",5
23,Kalimantan Timur,3.575.449,14.021,7.017,7.004,14.021,"100,00",1.573,"0,44",8,1.282,"81,50",3
24,Kalimantan Utara,691.058,1.327,841,486,1.327,"100,00",65,"0,09",5,50,"76,92",1
25,Sulawesi Utara,2.461.028,16.484,8.621,7.863,16.484,"100,00",900,"0,37",13,899,"99,89",5
26,Sulawesi Tengah,2.966.325,24.820,15.859,8.961,24.820,"100,00",543,"0,18",13,489,"90,06",3
27,Sulawesi Selatan,8.690.294,15.370,11.355,4.014,15.369,"99,99",1.201,"0,14",24,1.119,"93,17",18
28,Sulawesi Tenggara,2.602.389,11.504,5.819,5.679,11.498,"99,95",596,"0,21",17,570,"95,64",8
29,Gorontalo,1.168.190,10.372,8.367,2.005,10.372,"100,00",46,"0,04",6,44,"95,65",2
30,Sulawesi Barat,1.330.961,37.405,25.038,12.367,37.405,"100,00",147,"0,11",6,146,"99,32",3
31,Maluku,1.744.654,53.604,29.731,20.170,49.901,"93,09",4.019,"2,30",3,3.558,"88,53",0
32,Maluku Utara,1.209.342,27.240,17.034,10.205,27.239,"100,00",957,"0,79",7,929,"97,07",0
33,Papua Barat,915.361,90.419,73.119,15.868,88.987,"98,42",13.706,"14,97",2,12.580,"91,78",0
34,Papua,3.265.202,423.592,319.863,67.740,387.603,"91,50",192.648,"59,00",3,183.260,"95,13",0
Indonesia,,261.890.872,1.504.537,1.045.994,395.685,1.440.379,"95,74",261.617,"0,99",438,247.859,"94,74",266
