No,Provinsi,Populasi,Suspek,Sediaan Darah Diperiksa,,,Positif,Pengobatan ACT,% ACT,Annual Parasite Incidence (API) per 1.000 penduduk,Jumlah Kabupaten/Kota Berdasarkan Tingkat Endemisitas Malaria,,,
,,,,Pemeriksaan Mikroskopik,Rapid Diagnostic Test,Total,,,,,Bebas Malaria (Sudah Mendapat Sertifikat Eliminasi),Endemis Rendah (API<1),Endemis Sedang (API 1-5),Endemis Tinggi (API >5)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(10),(11),(12),(13),(14)
1,Aceh,5.281.314,29.719,18.602,9.135,27.737,128,128,100%,"0,02",19,4,0,0
2,Sumatera Utara,14.415.391,23.155,5.994,15.583,21.577,1.299,1.289,99%,"0,09",21,12,0,0
3,Sumatera Barat,5.382.077,4.874,3.042,1.146,4.188,482,482,100%,"0,09",16,2,1,0
4,Riau,6.814.909,2.771,1.859,911,2.770,74,70,95%,"0,01",10,2,0,0
5,Jambi,3.570.272,18.658,11.835,6.546,18.381,189,181,96%,"0,05",5,6,0,0
6,Sumatera Selatan,8.370.320,7.725,5.672,654,6.326,646,569,88%,"0,08",8,9,0,0
7,Bengkulu,1.963.300,13.307,8.194,847,9.041,317,293,92%,"0,16",3,7,0,0
8,Lampung,8.370.485,23.189,15.231,7.958,23.189,3.181,3.127,98%,"0,38",10,4,1,0
9,Kep. Bangka Belitung,1.459.873,23.333,23.201,132,23.333,227,224,99%,"0,16",5,2,0,0
10,Kepulauan Riau,2.136.521,2.153,1.832,234,2.066,238,235,99%,"0,11",3,3,1,0
11,DKI Jakarta,10.467.629,63,63,0,63,63,63,100%,"0,01",6,0,0,0
12,Jawa Barat,48.683.861,14.004,13.861,6,13.867,181,166,92%,"0,00",23,4,0,0
13,Jawa Tengah,34.490.835,23.888,23.888,0,23.888,732,732,100%,"0,02",30,5,0,0
14,DI Yogyakarta,3.802.872,6.102,2.333,0,2.333,30,29,97%,"0,01",4,1,0,0
15,Jawa Timur,39.500.851,15.578,13.811,22,13.833,361,347,96%,"0,01",38,0,0,0
16,Banten,12.689.736,55,22,33,55,55,55,100%,"0,00",6,2,0,0
17,Bali,4.292.154,918,912,6,918,70,59,84%,"0,02",9,0,0,0
18,Nusa Tenggara Barat,5.013.687,74.009,47.833,2.202,50.035,1.702,1.629,96%,"0,34",3,6,1,0
19,Nusa Tenggara Timur,5.371.519,331.482,270.608,58.617,329.225,18.386,17.688,96%,"3,42",0,11,6,5
20,Kalimantan Barat,5.001.664,31.661,14.964,16.697,31.661,99,85,86%,"0,02",3,11,0,0
21,Kalimantan Tengah,2.660.209,18.180,9.296,8.834,18.130,664,621,94%,"0,25",9,5,0,0
22,Kalimantan Selatan,4.182.695,20.161,13.270,6.891,20.161,844,827,98%,"0,20",7,6,0,0
23,Kalimantan Timur,3.648.835,7.383,4.292,3.084,7.376,2.297,1.715,75%,"0,63",3,4,2,1
24,Kalimantan Utara,716.407,2.703,1.187,1.516,2.703,27,27,100%,"0,04",1,4,0,0
25,Sulawesi Utara,2.484.392,15.640,8.992,6.563,15.555,609,608,100%,"0,25",6,8,1,0
26,Sulawesi Tengah,3.010.443,19.007,8.577,10.430,19.007,186,173,93%,"0,06",4,9,0,0
27,Sulawesi Selatan,8.771.970,13.779,9.607,4.144,13.751,1.285,1.237,96%,"0,15",19,5,0,0
28,Sulawesi Tenggara,2.653.654,13.306,5.760,7.546,13.306,831,772,93%,"0,31",9,8,0,0
29,Gorontalo,1.185.492,4.197,2.521,1.676,4.197,58,57,98%,"0,05",2,4,0,0
30,Sulawesi Barat,1.355.554,23.018,11.347,11.671,23.018,254,254,100%,"0,19",3,3,0,0
31,Maluku,1.773.776,68.684,44.300,24.384,68.684,2.058,2.044,99%,"1,16",0,5,6,0
32,Maluku Utara,1.232.632,18.329,10.011,8.166,18.177,485,447,92%,"0,39",0,8,2,0
33,Papua Barat,937.458,92.410,73.545,18.865,92.410,7.957,7.425,93%,"8,49",0,2,7,4
34,Papua,3.322.526,486.731,432.441,48.388,480.829,176.070,162.757,92%,"52,99",0,6,5,18
Indonesia,,265.015.313,1.450.172,1.118.903,282.887,1.401.790,222.085,206.415,93%,"0,84",285,168,33,28
