No,Provinsi,Penduduk,Malaria,,,,,,,,,,
,,,Suspek,Konfirmasi Laboratorium,,,% Konfirmasi Laboratorium,Positif,,,Pengobatan Standar,% Pengobatan Standar,Annual Paracite Incidence (API) per 1.000 Penduduk
,,,,Mikrosko pis,Rapid Diagnosti c Test (RDT),Total,,L,P,L+P,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14)
1,Aceh,5.371.532,55.026,31.947,22.600,54.547,"99,1",84,8,92,91,"98,9","0,02"
2,Sumatera Utara,14.562.549,38.220,13.398,17.730,31.128,"81,4",590,443,1.033,977,"94,6","0,07"
3,Sumatera Barat,5.441.197,10.065,6.226,3.013,9.239,"91,8",160,156,316,312,"98,7","0,06"
4,Riau,6.971.745,8.792,3.425,5.342,8.767,"99,7",100,37,137,133,"97,1","0,02"
5,Jambi,3.624.579,50.273,29.974,19.862,49.836,"99,1",43,23,66,66,"100,0","0,02"
6,Sumatera Selatan,8.470.683,35.912,21.417,14.485,35.902,"100,0",355,247,602,594,"98,7","0,07"
7,Bengkulu,1.991.838,28.015,17.187,10.825,28.012,"100,0",50,32,82,78,"95,1","0,04"
8,Lampung,8.447.737,49.975,29.617,20.223,49.840,"99,7",1.009,512,1.521,1.469,"96,6","0,18"
9,Kepulauan Bangka Belitung,1.488.792,52.894,33.168,18.947,52.115,"98,5",98,32,130,127,"97,7","0,09"
10,Kepulauan Riau,2.189.653,3.555,1.804,973,2.777,"78,1",85,54,139,137,"98,6","0,06"
11,DKI Jakarta,10.557.810,91,89,2,91,"100,0",83,8,91,70,"76,9","0,01"
12,Jawa Barat,49.316.712,25.521,20.277,934,21.211,"83,1",396,40,436,421,"96,6","0,01"
13,Jawa Tengah,34.718.204,42.832,38.617,1.727,40.344,"94,2",271,26,297,292,"98,3","0,01"
14,DI Yogyakarta,3.842.932,7.650,7.620,30,7.650,"100,0",12,0,12,12,"100,0","0,00"
15,Jawa Timur,39.698.631,30.533,25.292,224,25.516,"83,6",602,34,636,614,"96,5","0,02"
16,Banten,12.927.316,655,86,561,647,"98,8",32,1,33,30,"90,9","0,00"
17,Bali,4.336.923,10.725,8.922,1,8.923,"83,2",26,6,32,26,"81,3","0,01"
18,Nusa Tenggara Barat,5.070.385,151.038,106.397,27.580,133.977,"88,7",606,348,954,936,"98,1","0,19"
19,Nusa Tenggara Timur,5.456.203,540.372,455.186,80.410,535.596,"99,1",6.967,5.942,12.909,10.334,"80,1","2,37"
20,Kalimantan Barat,5.069.127,33.320,16.932,14.064,30.996,"93,0",15,7,22,13,"59,1","0,00"
21,Kalimantan Tengah,2.714.859,24.590,10.867,11.915,22.782,"92,6",170,32,202,187,"92,6","0,07"
22,Kalimantan Selatan,4.244.096,18.177,10.082,7.973,18.055,"99,3",744,117,861,851,"98,8","0,20"
23,Kalimantan Timur,3.721.389,15.384,7.349,6.546,13.895,"90,3",1.913,152,2.065,1.676,"81,2","0,55"
24,Kalimantan Utara,742.245,5.337,1.947,2.720,4.667,"87,4",54,2,56,42,"75,0","0,08"
25,Sulawesi Utara,2.506.981,14.318,5.620,8.183,13.803,"96,4",321,180,501,468,"93,4","0,20"
26,Sulawesi Tengah,3.054.023,46.097,12.470,30.594,43.064,"93,4",105,74,179,160,"89,4","0,06"
27,Sulawesi Selatan,8.851.240,23.359,13.240,9.291,22.531,"96,5",715,146,861,768,"89,2","0,10"
28,Sulawesi Tenggara,2.704.737,20.975,9.358,9.319,18.677,"89,0",585,227,812,784,"96,6","0,30"
29,Gorontalo,1.202.631,25.682,17.344,8.218,25.562,"99,5",20,12,32,32,"100,0","0,03"
30,Sulawesi Barat,1.380.256,23.566,11.685,11.699,23.384,"99,2",189,5,194,194,"100,0","0,14"
31,Maluku,1.802.870,83.669,60.611,21.648,82.259,"98,3",769,533,1.302,972,"74,7","0,72"
32,Maluku Utara,1.255.771,58.817,44.295,14.169,58.464,"99,4",322,258,580,550,"94,8","0,46"
33,Papua Barat,959.617,158.068,124.317,33.535,157.852,"99,9",4.156,2.923,7.079,6.907,"97,6","7,38"
34,Papua,3.379.302,878.483,760.759,112.758,873.517,"99,4",121.410,94.970,216.380,204.053,"94,3","64,03"
Indonesia,,268.074.565,2.571.986,1.957.525,548.101,2.505.626,"97,4",143.057,107.587,250.644,234.381,"93,5","0,93"
