No,Provinsi,Jumlah Kab/Kota,Kabupaten/Kota Terjangkit,,,,,,,,,,
,,,2020,,2021,,2022,,,,,,
,,,Jumlah,%,Jumlah,%,Jumlah,%,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),,,,,
1,Aceh,23,23,"100,00",21,"91,30",22,"95,65",,,,,
2,Sumatera Utara,33,33,"100,00",31,"93,94",33,"100,00",,,,,
3,Sumatera Barat,19,19,"100,00",19,"100,00",19,"100,00",,,,,
4,Riau,12,12,"100,00",12,"100,00",12,"100,00",,,,,
5,Jambi,11,11,"100,00",11,"100,00",11,"100,00",,,,,
6,Sumatera Selatan,17,17,"100,00",17,"100,00",17,"100,00",,,,,
7,Bengkulu,10,10,"100,00",10,"100,00",10,"100,00",,,,,
8,Lampung,15,15,"100,00",15,"100,00",15,"100,00",,,,,
9,Kepulauan Bangka Belitung,7,7,"100,00",7,"100,00",7,"100,00",,,,,
10,Kepulauan Riau,7,7,"100,00",7,"100,00",7,"100,00",,,,,
11,DKI Jakarta,6,6,"100,00",6,"100,00",6,"100,00",,,,,
12,Jawa Barat,27,27,"100,00",27,"100,00",27,"100,00",,,,,
13,Jawa Tengah,35,35,"100,00",35,"100,00",35,"100,00",,,,,
14,DI Yogyakarta,5,5,"100,00",5,"100,00",5,"100,00",,,,,
15,Jawa Timur,38,38,"100,00",38,"100,00",38,"100,00",,,,,
16,Banten,8,8,"100,00",8,"100,00",8,"100,00",,,,,
17,Bali,9,9,"100,00",9,"100,00",9,"100,00",,,,,
18,Nusa Tenggara Barat,10,10,"100,00",10,"100,00",10,"100,00",,,,,
19,Nusa Tenggara Timur,22,22,"100,00",22,"100,00",22,"100,00",,,,,
20,Kalimantan Barat,14,14,"100,00",14,"100,00",14,"100,00",,,,,
21,Kalimantan Tengah,14,14,"100,00",14,"100,00",14,"100,00",,,,,
22,Kalimantan Selatan,13,13,"100,00",12,"92,31",13,"100,00",,,,,
23,Kalimantan Timur,10,10,"100,00",10,"100,00",10,"100,00",,,,,
24,Kalimantan Utara,5,5,"100,00",4,"80,00",5,"100,00",,,,,
25,Sulawesi Utara,15,15,"100,00",15,"100,00",15,"100,00",,,,,
26,Sulawesi Tengah,13,13,"100,00",13,"100,00",13,"100,00",,,,,
27,Sulawesi Selatan,24,24,"100,00",24,"100,00",24,"100,00",,,,,
28,Sulawesi Tenggara,17,17,"100,00",14,"82,35",17,"100,00",,,,,
29,Gorontalo,6,6,"100,00",6,"100,00",6,"100,00",,,,,
30,Sulawesi Barat,6,6,"100,00",6,"100,00",6,"100,00",,,,,
31,Maluku,11,5,"45,45",8,"72,73",9,"81,82",,,,,
32,Maluku Utara,10,9,"90,00",9,"90,00",9,"90,00",,,,,
33,Papua Barat,13,6,"46,15",5,"38,46",8,"61,54",,,,,
34,Papua,29,6,"20,69",3,"10,34",8,"27,59",,,,,
Indonesia,,514,477,"92,80",467,"90,86",484,"94,16",,,,,
No,Provinsi,Penduduk,Malaria,,,,,,,,,,
,,,Suspek,Konfirmasi Laboratorium,,,% Konfirmasi Laboratorium,Positif,,,Pengobatan Standar,% Pengobatan Standar,Annual Paracite Incidence (API) per 1.000 Penduduk
,,,,Mikroskopis,Rapid Diagnostic Test (RDT),Total,,L,P,L+P,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14)
1,Aceh,5.529.773,43.894,25.134,18.746,43.880,"99,97",118,19,137,137,"100,00","0,02"
2,Sumatera Utara,15.107.226,34.065,15.001,17.936,32.937,"96,69",3.217,2.009,5.226,4.358,"83,39","0,35"
3,Sumatera Barat,5.675.357,12.576,4.805,7.250,12.055,"95,86",133,64,197,191,"96,95","0,03"
4,Riau,7.181.300,6.043,847,5.196,6.043,"100,00",1.167,644,1.811,1.747,"96,47","0,25"
5,Jambi,3.677.678,29.943,15.848,13.726,29.574,"98,77",169,95,264,264,"100,00","0,07"
6,Sumatera Selatan,8.803.213,18.944,6.338,12.524,18.862,"99,57",27,13,40,40,"100,00","0,00"
7,Bengkulu,2.038.146,10.940,4.781,5.518,10.299,"94,14",10,2,12,11,"91,67","0,01"
8,Lampung,8.683.167,35.714,15.555,20.156,35.711,"99,99",477,237,714,714,"100,00","0,08"
9,Kepulauan Bangka Belitung,1.506.505,15.734,10.260,5.472,15.732,"99,99",101,22,123,119,"96,75","0,08"
10,Kepulauan Riau,2.449.422,3.404,2.194,1.207,3.401,"99,91",28,18,46,46,"100,00","0,02"
11,DKI Jakarta,10.711.809,5.555,2.116,3.416,5.532,"99,59",138,10,148,146,"98,65","0,01"
12,Jawa Barat,50.639.156,13.790,11.648,1.371,13.019,"94,41",478,20,498,494,"99,20","0,01"
13,Jawa Tengah,35.090.378,37.407,32.989,3.297,36.286,"97,00",695,236,931,919,"98,71","0,03"
14,DI Yogyakarta,4.021.816,18.738,14.283,122,14.405,"76,88",104,43,147,145,"98,64","0,04"
15,Jawa Timur,40.348.441,13.578,13.025,549,13.574,"99,97",548,31,579,577,"99,65","0,01"
16,Banten,13.251.533,976,70,723,793,"81,25",74,9,83,79,"95,18","0,01"
17,Bali,4.518.680,6.610,6.526,37,6.563,"99,29",23,5,28,25,"89,29","0,01"
18,Nusa Tenggara Barat,5.370.302,118.388,83.636,25.553,109.189,"92,23",403,94,497,488,"98,19","0,09"
19,Nusa Tenggara Timur,5.662.948,912.554,409.322,503.230,912.552,"100,00",9.103,6.709,15.812,15.793,"99,88","2,79"
20,Kalimantan Barat,5.220.211,37.957,17.651,20.238,37.889,"99,82",38,15,53,47,"88,68","0,01"
21,Kalimantan Tengah,2.757.697,13.777,5.340,8.417,13.757,"99,85",187,29,216,211,"97,69","0,08"
22,Kalimantan Selatan,4.370.444,15.853,5.791,9.882,15.673,"98,86",476,23,499,486,"97,39","0,11"
23,Kalimantan Timur,3.752.605,24.753,9.023,14.002,23.025,"93,02",2.965,298,3.263,3.041,"93,20","0,87"
24,Kalimantan Utara,734.112,5.266,1.014,3.853,4.867,"92,42",101,12,113,102,"90,27","0,15"
25,Sulawesi Utara,2.548.338,30.599,14.146,16.330,30.476,"99,60",691,378,1.069,1.064,"99,53","0,42"
26,Sulawesi Tengah,3.159.749,19.228,1.777,15.667,17.444,"90,72",115,58,173,162,"93,64","0,05"
27,Sulawesi Selatan,9.022.276,26.707,8.390,18.317,26.707,"100,00",1.421,315,1.736,1.679,"96,72","0,19"
28,Sulawesi Tenggara,2.782.882,24.298,6.503,17.291,23.794,"97,93",507,83,590,586,"99,32","0,21"
29,Gorontalo,1.205.341,22.905,6.529,16.376,22.905,"100,00",50,2,52,52,"100,00","0,04"
30,Sulawesi Barat,1.415.130,17.558,4.541,12.767,17.308,"98,58",235,6,241,215,"89,21","0,17"
31,Maluku,1.823.518,66.757,35.432,28.063,63.495,"95,11",695,424,1.119,1.039,"92,85","0,61"
32,Maluku Utara,1.285.374,21.675,11.828,9.846,21.674,"100,00",166,66,232,232,"100,00","0,18"
33,Papua Barat,1.031.676,256.637,113.207,141.457,254.664,"99,23",8.059,5.021,13.080,12.818,"98,00","12,68"
34,Papua,3.482.891,1.472.988,829.929,634.433,1.464.362,"99,41",220.729,173.072,393.801,364.756,"92,62","113,07"
Indonesia,,274.859.094,3.395.811,1.745.479,1.612.968,3.358.447,"98,90",253.448,190.082,443.530,412.783,"93,07","1,61"
No,Provinsi,Jumlah Kabupaten/Kota Berdasarkan Tingkat Endemisitas Malaria,,,,Persentase Kabupaten/Kota Mendapat Sertifikat Eliminasi Malaria,,,,,,,
,,Bebas Malaria (Sudah Mendapat Sertifikat Eliminasi),Endemis Rendah (API<1),Endemis Sedang (API 1-5),Endemis Tinggi (API >5),,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,
1,Aceh,22,1,0,0,"95,65",,,,,,,
2,Sumatera Utara,22,8,3,0,"66,67",,,,,,,
3,Sumatera Barat,18,0,1,0,"94,74",,,,,,,
4,Riau,11,1,0,0,"91,67",,,,,,,
5,Jambi,7,4,0,0,"63,64",,,,,,,
6,Sumatera Selatan,14,3,0,0,"82,35",,,,,,,
7,Bengkulu,7,3,0,0,"70,00",,,,,,,
8,Lampung,13,2,0,0,"86,67",,,,,,,
9,Kepulauan Bangka Belitung,6,1,0,0,"85,71",,,,,,,
10,Kepulauan Riau,4,3,0,0,"57,14",,,,,,,
11,DKI Jakarta,6,0,0,0,"100,00",,,,,,,
12,Jawa Barat,27,0,0,0,"100,00",,,,,,,
13,Jawa Tengah,34,1,0,0,"97,14",,,,,,,
14,DI Yogyakarta,5,0,0,0,"100,00",,,,,,,
15,Jawa Timur,38,0,0,0,"100,00",,,,,,,
16,Banten,8,0,0,0,"100,00",,,,,,,
17,Bali,9,0,0,0,"100,00",,,,,,,
18,Nusa Tenggara Barat,6,4,0,0,"60,00",,,,,,,
19,Nusa Tenggara Timur,7,6,6,3,"31,82",,,,,,,
20,Kalimantan Barat,9,5,0,0,"64,29",,,,,,,
21,Kalimantan Tengah,12,1,1,0,"85,71",,,,,,,
22,Kalimantan Selatan,10,3,0,0,"76,92",,,,,,,
23,Kalimantan Timur,4,2,3,1,"40,00",,,,,,,
24,Kalimantan Utara,3,2,0,0,"60,00",,,,,,,
25,Sulawesi Utara,9,5,1,0,"60,00",,,,,,,
26,Sulawesi Tengah,6,7,0,0,"46,15",,,,,,,
27,Sulawesi Selatan,22,1,1,0,"91,67",,,,,,,
28,Sulawesi Tenggara,15,2,0,0,"88,24",,,,,,,
29,Gorontalo,5,1,0,0,"83,33",,,,,,,
30,Sulawesi Barat,5,1,0,0,"83,33",,,,,,,
31,Maluku,3,4,4,0,"27,27",,,,,,,
32,Maluku Utara,4,5,1,0,"40,00",,,,,,,
33,Papua Barat,1,2,4,6,"7,69",,,,,,,
34,Papua,0,5,5,19,"0,00",,,,,,,
Indonesia,,372,83,30,29,"72,37",,,,,,,
No,Provinsi,API,,,,,,,,,,,
,,2018,2019,2020,2021,2022,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,
1,Aceh,"0,02","0,02","0,04","0,06","0,02",,,,,,,
2,Sumatera Utara,"0,09","0,07","0,07","0,17","0,35",,,,,,,
3,Sumatera Barat,"0,09","0,06","0,02","0,01","0,03",,,,,,,
4,Riau,"0,01","0,02","0,24","0,13","0,25",,,,,,,
5,Jambi,"0,05","0,02","0,02","0,01","0,07",,,,,,,
6,Sumatera Selatan,"0,08","0,07","0,01","0,00","0,00",,,,,,,
7,Bengkulu,"0,16","0,04","0,05","0,00","0,01",,,,,,,
8,Lampung,"0,38","0,18","0,05","0,06","0,08",,,,,,,
9,Kepulauan Bangka Belitung,"0,16","0,09","0,12","0,07","0,08",,,,,,,
10,Kepulauan Riau,"0,11","0,06","0,09","0,02","0,02",,,,,,,
11,DKI Jakarta,"0,01","0,01","0,01","0,01","0,01",,,,,,,
12,Jawa Barat,"0,00","0,01","0,01","0,00","0,01",,,,,,,
13,Jawa Tengah,"0,02","0,01","0,01","0,02","0,03",,,,,,,
14,DI Yogyakarta,"0,01","0,00","0,00","0,01","0,04",,,,,,,
15,Jawa Timur,"0,01","0,02","0,01","0,01","0,01",,,,,,,
16,Banten,"0,00","0,00","0,00","0,00","0,01",,,,,,,
17,Bali,"0,02","0,01","0,00","0,01","0,01",,,,,,,
18,Nusa Tenggara Barat,"0,34","0,19","0,05","0,07","0,09",,,,,,,
19,Nusa Tenggara Timur,"3,42","2,37","2,76","1,69","2,79",,,,,,,
20,Kalimantan Barat,"0,02","0,00","0,01","0,00","0,01",,,,,,,
21,Kalimantan Tengah,"0,25","0,07","0,06","0,06","0,08",,,,,,,
22,Kalimantan Selatan,"0,20","0,20","0,12","0,07","0,11",,,,,,,
23,Kalimantan Timur,"0,53","0,55","0,62","0,61","0,87",,,,,,,
24,Kalimantan Utara,"0,04","0,08","0,09","0,05","0,15",,,,,,,
25,Sulawesi Utara,"0,25","0,20","0,36","0,28","0,42",,,,,,,
26,Sulawesi Tengah,"0,06","0,06","0,06","0,02","0,05",,,,,,,
27,Sulawesi Selatan,"0,15","0,10","0,09","0,10","0,19",,,,,,,
28,Sulawesi Tenggara,"0,29","0,30","0,14","0,13","0,21",,,,,,,
29,Gorontalo,"0,05","0,03","0,03","0,04","0,04",,,,,,,
30,Sulawesi Barat,"0,19","0,14","0,10","0,07","0,17",,,,,,,
31,Maluku,"1,16","0,72","0,42","0,45","0,61",,,,,,,
32,Maluku Utara,"0,39","0,46","0,16","0,10","0,18",,,,,,,
33,Papua Barat,"8,49","7,38","10,15","7,56","12,68",,,,,,,
34,Papua,"52,99","64,03","63,12","80,05","113,07",,,,,,,
Indonesia,,"0,99","0,84","0,94","1,12","1,61",,,,,,,
