"80,3 80,8 75,1 71,4 67.87",,,,,,,,,,,,,,,,,
target progr 90%,am 2014:,,,,,,,,,,,,,,,,
Ta 20,rget Renstra 14: 78%,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,,,,,Rasio Puskesmas per 30.000 Penduduk,,,,,,,,,,
,,2010,2011,2012,2013,2014,2010,2011,2012,2013,2014,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,
1,Aceh,315,325,330,334,337,"2,10","2,14","2,15","2,14","2,14",,,,,,
2,Sumatera Utara,506,542,555,570,570,"1,17","1,24","1,26","1,28","1,26",,,,,,
3,Sumatera Barat,246,254,260,262,264,"1,52","1,55","1,57","1,56","1,55",,,,,,
4,Riau,193,203,207,207,211,"1,05","1,06","1,05","1,01","1,00",,,,,,
5,Jambi,169,174,176,176,176,"1,64","1,65","1,63","1,59","1,55",,,,,,
6,Sumatera Selatan,293,304,317,319,321,"1,18","1,20","1,23","1,22","1,20",,,,,,
7,Bengkulu,170,178,178,180,180,"2,97","3,06","3,01","3,00","2,95",,,,,,
8,Lampung,265,269,276,280,290,"1,04","1,05","1,06","1,07","1,09",,,,,,
9,Kepulauan Bangka Belitung,58,58,60,60,61,"1,42","1,38","1,38","1,34","1,33",,,,,,
10,Kepulauan Riau,66,67,69,70,73,"1,18","1,14","1,12","1,08","1,08",,,,,,
11,DKI Jakarta,341,340,340,340,340,"1,06","1,05","1,03","1,02","1,01",,,,,,
12,Jawa Barat,1.028,1.046,1.046,1.050,1.050,"0,72","0,72","0,70","0,69","0,68",,,,,,
13,Jawa Tengah,867,867,873,873,875,"0,80","0,80","0,80","0,80","0,80",,,,,,
14,DI Yogyakarta,121,121,121,121,121,"1,05","1,04","1,03","1,02","1,01",,,,,,
15,Jawa Timur,946,956,960,960,960,"0,76","0,76","0,76","0,75","0,75",,,,,,
16,Banten,217,226,228,230,231,"0,61","0,62","0,61","0,60","0,59",,,,,,
17,Bali,114,114,118,120,120,"0,88","0,86","0,87","0,87","0,85",,,,,,
18,Nusa Tenggara Barat,150,152,157,158,158,"1,00","1,00","1,02","1,02","1,01",,,,,,
19,Nusa Tenggara Timur,309,342,349,362,370,"1,98","2,15","2,15","2,18","2,19",,,,,,
20,Kalimantan Barat,231,235,237,237,238,"1,58","1,59","1,59","1,58","1,57",,,,,,
21,Kalimantan Tengah,174,179,190,194,195,"2,36","2,39","2,49","2,50","2,47",,,,,,
22,Kalimantan Selatan,214,224,226,228,228,"1,77","1,82","1,80","1,78","1,75",,,,,,
23,Kalimantan Timur,217,215,217,222,174,"1,83","1,75","1,70","1,68","1,49",,,,,,
24,Kalimantan Utara,,,,,48,,,,,"2,37",,,,,,
25,Sulawesi Utara,170,170,177,183,187,"2,25","2,22","2,28","2,33","2,35",,,,,,
26,Sulawesi Tengah,160,173,176,183,184,"1,82","1,93","1,93","1,97","1,94",,,,,,
