76,PROFIL KESEHATAN INDONESIA Tahun 2016,,,,,,,,,,,,,,
,Target Renstra 2016 : 74%,,,,,,,,,,,,,,
110066,PPRROOFFIILL KKEESSEEHHAATTAANN IINNDDOONNEESSIIAA TTaahhuunn 22001166,,,,,,,,,,,,,,
111144,PPRROOFFIILL KKEESSEEHHAATTAANN IINNDDOONNEESSIIAA TTaahhuunn 22001166,,,,,,,,,,,,,,
111166,PPRROOFFIILL KKEESSEEHHAATTAANN IINNDDOONNEESSIIAA TTaahhuunn 22001166,,,,,,,,,,,,,,
112222,PPRROOFFIILL KKEESSEEHHAATTAANN IINNDDOONNEESSIIAA TTaahhuunn 22001166,,,,,,,,,,,,,,
,,,,,54,"100,00 100,00 100,00 100,00 100,00 100,00 100,00 100,00 96,97 96,89 6,09 5,98 5,90 5,89",,,,,,,,,
Target Renstra 2 55%,016:,,,,,,,,,,,,,,
113344,PPRROOFFIILL KKEESSEEHHAATTAANN IINNDDOONNEESSIIAA TTaahhuunn 22001166,,,,,,,,,,,,,,
,,,,,"100,00 100,00 100,00 100,00 100,00 100,00 100,00 5,83 1",,,,,,,,,,
,,Target Renstra 20 40%,16 :,,,,,,,,,,,,
113366,PPRROOFFIILL KKEESSEEHHAATTAANN IINNDDOONNEESSIIAA TTaahhuunn 22001166,,,,,,,,,,,,,,
,,,,,,,"100,00 100,00 100,00 100,00",,,,,,,,
,,"3 31,28 5,93 5,81 47 4 T R 3",,,,,,,,,,,,,
,,,T R 3,arget enstra 2016 : 0%,,,,,,,,,,,
113388,PPRROOFFIILL KKEESSEEHHAATTAANN IINNDDOONNEESSIIAA TTaahhuunn 22001166,,,,,,,,,,,,,,
"65,27",,,,,,,,,,,,,,,
"63,45",,,,,,,,,,,,,,,
"29,47 26,26 25,91 23,98 24,46",,,,,,,,,,,,,,,
"23,00 23,42",,,,,,,,,,,,,,,
52.703,,,,,,,,,,,,,,,
15.324 7.341,,,,,,,,,,,,,,,
2.998 1.831 2.282 1.702,,,,,,,,,,,,,,,
,,,,"90,08 87,71 0",,,,,,,,,,,
,"3 35 34 31,23 31,18 26,53 25,35 24,26 21,61 19,87 8 7",,,,,,,,,,,,,,
200,PROFIL KESEHATAN INDONESIA Tahun 2016,,,,,,,,,,,,,,
224,PROFIL KESEHATAN INDONESIA Tahun 2016,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,,,,,,,,,,,,,
,,2012,2013,2014,2015,2016,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,,,
1,Aceh,330,334,337,339,340,,,,,,,,,
2,Sumatera Utara,555,570,570,571,571,,,,,,,,,
3,Sumatera Barat,260,262,264,264,264,,,,,,,,,
4,Riau,207,207,211,212,213,,,,,,,,,
5,Jambi,176,176,176,176,183,,,,,,,,,
6,Sumatera Selatan,317,319,321,322,322,,,,,,,,,
7,Bengkulu,178,180,180,180,180,,,,,,,,,
8,Lampung,276,280,290,291,292,,,,,,,,,
9,Kepulauan Bangka Belitung,60,60,61,62,62,,,,,,,,,
10,Kepulauan Riau,69,70,73,72,73,,,,,,,,,
11,DKI Jakarta,340,340,340,340,340,,,,,,,,,
12,Jawa Barat,1.046,1.050,1.050,1.050,1.050,,,,,,,,,
13,Jawa Tengah,873,873,875,875,875,,,,,,,,,
14,DI Yogyakarta,121,121,121,121,121,,,,,,,,,
15,Jawa Timur,960,960,960,960,960,,,,,,,,,
16,Banten,228,230,231,233,233,,,,,,,,,
17,Bali,118,120,120,120,120,,,,,,,,,
18,Nusa Tenggara Barat,157,158,158,158,158,,,,,,,,,
19,Nusa Tenggara Timur,349,362,370,371,371,,,,,,,,,
20,Kalimantan Barat,237,237,238,238,238,,,,,,,,,
21,Kalimantan Tengah,190,194,195,195,195,,,,,,,,,
22,Kalimantan Selatan,226,228,228,230,230,,,,,,,,,
23,Kalimantan Timur,217,222,174,174,175,,,,,,,,,
24,Kalimantan Utara,-,-,48,49,49,,,,,,,,,
25,Sulawesi Utara,177,183,187,187,188,,,,,,,,,
26,Sulawesi Tengah,176,183,184,189,189,,,,,,,,,
27,Sulawesi Selatan,425,440,446,448,448,,,,,,,,,
28,Sulawesi Tenggara,258,264,269,269,269,,,,,,,,,
29,Gorontalo,87,91,93,93,93,,,,,,,,,
30,Sulawesi Barat,91,92,94,94,94,,,,,,,,,
31,Maluku,178,190,197,199,199,,,,,,,,,
32,Maluku Utara,119,125,127,127,128,,,,,,,,,
33,Papua Barat,128,143,149,151,151,,,,,,,,,
34,Papua,381,391,394,394,393,,,,,,,,,
Indonesia,,9.510,9.655,9.731,9.754,9.767,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,Jumlah Kecamatan,Rasio Puskesmas per kecamatan,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,
1,Aceh,340,289,"1,18",,,,,,,,,,,
2,Sumatera Utara,571,436,"1,31",,,,,,,,,,,
3,Sumatera Barat,264,179,"1,47",,,,,,,,,,,
4,Riau,213,163,"1,31",,,,,,,,,,,
5,Jambi,183,141,"1,30",,,,,,,,,,,
6,Sumatera Selatan,322,231,"1,39",,,,,,,,,,,
7,Bengkulu,180,128,"1,41",,,,,,,,,,,
8,Lampung,292,227,"1,29",,,,,,,,,,,
9,Kepulauan Bangka Belitung,62,47,"1,32",,,,,,,,,,,
10,Kepulauan Riau,73,70,"1,04",,,,,,,,,,,
11,DKI Jakarta,340,44,"7,73",,,,,,,,,,,
12,Jawa Barat,1.050,626,"1,68",,,,,,,,,,,
13,Jawa Tengah,875,573,"1,53",,,,,,,,,,,
14,DI Yogyakarta,121,78,"1,55",,,,,,,,,,,
15,Jawa Timur,960,664,"1,45",,,,,,,,,,,
16,Banten,233,155,"1,50",,,,,,,,,,,
17,Bali,120,57,"2,11",,,,,,,,,,,
18,Nusa Tenggara Barat,158,116,"1,36",,,,,,,,,,,
19,Nusa Tenggara Timur,371,306,"1,21",,,,,,,,,,,
20,Kalimantan Barat,238,174,"1,37",,,,,,,,,,,
21,Kalimantan Tengah,195,136,"1,43",,,,,,,,,,,
22,Kalimantan Selatan,230,152,"1,51",,,,,,,,,,,
23,Kalimantan Timur,175,103,"1,70",,,,,,,,,,,
24,Kalimantan Utara,49,50,"0,98",,,,,,,,,,,
25,Sulawesi Utara,188,167,"1,13",,,,,,,,,,,
26,Sulawesi Tengah,189,175,"1,08",,,,,,,,,,,
27,Sulawesi Selatan,448,306,"1,46",,,,,,,,,,,
28,Sulawesi Tenggara,269,212,"1,27",,,,,,,,,,,
29,Gorontalo,93,77,"1,21",,,,,,,,,,,
30,Sulawesi Barat,94,69,"1,36",,,,,,,,,,,
31,Maluku,199,118,"1,69",,,,,,,,,,,
32,Maluku Utara,128,115,"1,11",,,,,,,,,,,
33,Papua Barat,151,218,"0,69",,,,,,,,,,,
34,Papua,393,558,"0,70",,,,,,,,,,,
Indonesia,,9.767,7160,"1,36",,,,,,,,,,,
No,Provinsi,Kabupaten,Puskesmas,,,,,,,,,,,,
(1),(2),(3),(4),,,,,,,,,,,,
1,Aceh,16,82,,,,,,,,,,,,
2,Sumatera Utara,5,18,,,,,,,,,,,,
3,Sumatera Barat,14,59,,,,,,,,,,,,
4,Riau,5,28,,,,,,,,,,,,
5,Jambi,7,17,,,,,,,,,,,,
6,Sumatera Selatan,8,69,,,,,,,,,,,,
7,Bengkulu,1,1,,,,,,,,,,,,
8,Lampung,11,55,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,3,12,,,,,,,,,,,,
10,Kepulauan Riau,1,6,,,,,,,,,,,,
11,DKI Jakarta,6,19,,,,,,,,,,,,
12,Jawa Barat,19,499,,,,,,,,,,,,
13,Jawa Tengah,35,502,,,,,,,,,,,,
14,DI Yogyakarta,5,100,,,,,,,,,,,,
15,Jawa Timur,32,455,,,,,,,,,,,,
16,Banten,5,80,,,,,,,,,,,,
17,Bali,8,60,,,,,,,,,,,,
18,Nusa Tenggara Barat,10,66,,,,,,,,,,,,
19,Nusa Tenggara Timur,4,22,,,,,,,,,,,,
20,Kalimantan Barat,9,54,,,,,,,,,,,,
21,Kalimantan Tengah,3,8,,,,,,,,,,,,
22,Kalimantan Selatan,13,117,,,,,,,,,,,,
23,Kalimantan Timur,5,47,,,,,,,,,,,,
24,Kalimantan Utara,1,4,,,,,,,,,,,,
25,Sulawesi Utara,12,88,,,,,,,,,,,,
26,Sulawesi Tengah,8,49,,,,,,,,,,,,
27,Sulawesi Selatan,23,111,,,,,,,,,,,,
28,Sulawesi Tenggara,0,0,,,,,,,,,,,,
29,Gorontalo,5,30,,,,,,,,,,,,
30,Sulawesi Barat,1,2,,,,,,,,,,,,
31,Maluku,6,13,,,,,,,,,,,,
32,Maluku Utara,2,11,,,,,,,,,,,,
33,Papua Barat,2,8,,,,,,,,,,,,
34,Papua,0,0,,,,,,,,,,,,
Indonesia,,285,2692,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas Rawat Inap,,,,,Jumlah Puskesmas Non Rawat Inap,,,,,,,,
,,2012,2013,2014,2015,2016,2012,2013,2014,2015,2016,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,
1,Aceh,144,149,143,143,143,186,185,194,196,197,,,,
2,Sumatera Utara,157,164,164,164,164,398,406,406,407,407,,,,
3,Sumatera Barat,89,88,91,91,91,171,174,173,173,173,,,,
4,Riau,63,75,79,79,79,144,132,132,133,134,,,,
5,Jambi,62,68,68,68,68,114,108,108,108,115,,,,
6,Sumatera Selatan,106,95,95,95,95,211,224,226,227,227,,,,
7,Bengkulu,43,45,45,46,46,135,135,135,134,134,,,,
8,Lampung,69,91,101,112,112,207,189,189,179,180,,,,
9,Kepulauan Bangka Belitung,20,20,20,21,21,40,40,41,41,41,,,,
10,Kepulauan Riau,26,26,29,28,28,43,44,44,44,45,,,,
11,DKI Jakarta,52,30,30,30,30,288,310,310,310,310,,,,
12,Jawa Barat,220,176,176,176,182,826,874,874,874,868,,,,
13,Jawa Tengah,268,309,318,320,320,605,564,557,555,555,,,,
