GAMBAR 4.12 JUMLAH FASILITAS KESEHATAN TINGKAT PERTAMA (FKTP) BEKERJASAMA DENGAN BPJS KESEHATAN TAHUN 2014-2018,,,GAMBAR 4.13 PERSENTASE FASILITAS KESEHATAN TINGKAT PERTAMA (FKTP) DAN JEJARING BEKERJASAMA DENGAN BPJS KESEHATAN TAHUN 2018,,,,,,,,,,
"25.000 22.482 21.763 20.708 19.969 20.000 18.437 15.000 10.000 5.000 0 2014 2015 2016 2017 2018 Sumber: Pusat Pembiayaan dan Jaminan Kesehatan, Kemenkes RI, 2019",,,"Jejaring RS Tipe D 5,43% Pratama Dokter 0,12% Praktik Perorangan 24,28% Puskesmas 44,04% Klinik Pratama 26,13%",,,,,,,,,,
,Target Re,nstra 2018:,78%,,,,,,,,,,
,,,7,,,,,,,,,,
,,,7,,,,,,,,,,
,,,7,,,,,,,,,,
,,,73,,,,,,,,,,
,,Target,Renstra 2018,: 87%,,,,,,,,,
,,Targ,et Renstra 2,018: 95%,,,,,,,,,
,Targ,et Renstra 2,018: 65%,,,,,,,,,,
,,,,,,"9 9 9 9 89, 87, 87, 83,61 78,92 5,00 4,47 3,76 ,49 5",,,,,,,
CAKUPAN PUSKESMAS YANG MELAKSANAKAN PENJARINGAN KESEHATAN PESERTA DIDIK,,,,,,,,,,,,,
KELAS 7 DAN 10 MENURUT PROVINSI TAHUN 2018,,,,,,,,,,,,,
,Target,,,,,,,,,,,,
,Renst,ra 2018: 5,5%,,,,,,,,,,
,,,"4,59 64",,,,,,,,,,
,Target,,,,,,,,,,,,
,Renstr,a 2018: 40,%,,,,,,,,,,
"76 74,2 74,4 73,9 74 71,8 72 72,2 72,4 72,6 72,8 72,9 73,1 72,2 72,4 71,9 72 70,4 70,6 70,8 70,9 71,1 69,8 70 70,2 70 70,4 70,6 70,1 69,6 68 67,9 68,1 68,3 68,5 68,7 68,9 69 Laki-Laki 66 Perempuan Laki-Laki + Perempuan 64 2010 2011 2012 2013 2014 2015 2016 2020 2025 2030 2035",,,,,,,,,,,,,
,,,,"56,51",9 82 91,"5,53",,,,,,,
,,,,"71, 70, 67,60 63,74 63,34 61,99 58,80 58,35 57,82 56,01 55,36 3,37 ,49 1",,,,,,,,,
,Target:,80 %,,,,,,,,,,,
,,"5 51 47,7 46,65 42,43 39,24 37,36 36,58 41 2",,,,,,,,,,,
,"31, 29,0 26,64 26,20 21,07 19,44 18,92 17,69 16,47 5,02 ,59",,,,,,,,,,,,
"1 12 6,67 6,03 5,35",,,,,,,,,,,,,
Tah un,Jumlah Propinsi,Jumlah Kejadian,Kasus,Kematian,CFR (%),,,,,,,,
2010,11,33,4.204,73,"1,74",,,,,,,,
,15,19,3.003,12,"0,40",,,,,,,,
,17,34,1.625,25,"1,54",,,,,,,,
,6,8,633,7,"1,11",,,,,,,,
,5,6,2.549,29,"1,14",,,,,,,,
,13,21,1.213,30,"2,47",,,,,,,,
,3,3,198,6,"3,03",,,,,,,,
,12,21,1.725,34,"1,97",,,,,,,,
,8,10,756,36,"4,76",,,,,,,,
Jumlah,,,,,,,,,,,,,
Kejadian,,,,,,,,,,,,,
,,,,,45,,,,,,,,
,,,,,25,,,,,,,,
,"10,97",,,,,,,,,,,,
,No,,,Provinsi,,,Jumlah Kasus Pasung,,,,,,
,1,,,Aceh,,,90,,,,,,
,2,,,Sumatera Utara,,,427,,,,,,
,3,,,Sumatera Barat,,,134,,,,,,
,4,,,Riau,,,40,,,,,,
,5,,,Jambi,,,64,,,,,,
,6,,,Sumatera Selatan,,,33,,,,,,
,7,,,Bengkulu,,,39,,,,,,
,8,,,Lampung,,,601,,,,,,
,9,,,Kep. Bangka Belitung,,,15,,,,,,
,10,,,Kepulauan Riau,,,153,,,,,,
,11,,,DKI Jakarta,,,,,,,,,
,12,,,Jawa Barat,,,131,,,,,,
,13,,,Jawa Tengah,,,106,,,,,,
,14,,,DI Yogyakarta,,,325,,,,,,
,15,,,Jawa Timur,,,754,,,,,,
,16,,,Banten,,,24,,,,,,
,17,,,Bali,,,9,,,,,,
,18,,,Nusa Tenggara Barat,,,14,,,,,,
,19,,,Nusa Tenggara Timur,,,105,,,,,,
,20,,,Kalimantan Barat,,,38,,,,,,
,21,,,Kalimantan Tengah,,,30,,,,,,
,22,,,Kalimantan Selatan,,,40,,,,,,
,23,,,Kalimantan Timur,,,139,,,,,,
,24,,,Kalimantan Utara,,,131,,,,,,
,25,,,Sulawesi Utara,,,-,,,,,,
,26,,,Sulawesi Tengah,,,202,,,,,,
,27,,,Sulawesi Selatan,,,5,,,,,,
,28,,,Sulawesi Tenggara,,,38,,,,,,
,29,,,Gorontalo,,,616,,,,,,
,30,,,Sulawesi Barat,,,117,,,,,,
,31,,,Maluku,,,17,,,,,,
,32,,,Maluku Utara,,,18,,,,,,
,33,,,Papua Barat,,,-,,,,,,
,34,,,Papua,,,3,,,,,,
,,,,Total,,,4458,,,,,,
GAMBAR 6.74,,,,,,,,,,,,,
INDIKATOR CAKUPAN KABUPATEN/KOTA MEMILIKI PUSKESMAS YANG,,,,,,,,,,,,,
MENYELENGGARAKAN UPAYA KESEHATAN JIWA,,,,,,,,,,,,,
120 100 100 100 100100100100100100100100100 97 100 80 73 60 60 44 43 41 40 33 32 30 30 23 20 0 0 0 0 0 0 0 0 0 0 0 0 h e c A ib m a J n a t a le S a r e t a m u S g n u p m a L g n u tile B a k g n a B .p e K u a iR n a u a lu p e K n e tn a B ila B n a t a le S n a t n a m ila K a r a t U n a t n a m ila K o la tn o r o G u k u la M r u m iT a w a J a r a t U is e w a lu S a r a t U u k u la M t a r a B a w a J h a g n e T a w a J a r a g g n e T is e w a lu S u a iR r u m iT a r a g g n e T a s u N a r a t U a r e t a m u S r u m iT n a t n a m ila K a u p a P t a r a B a r e t a m u S u lu k g n e B a tr a k a J IK D a t r a k a y g o Y ID t a r a B a r a g g n e T a s u N t a r a B n a t n a m ila K h a g n e T n a t n a m ila K h a g n e T is e w a lu S n a t a le S is e w a lu S t a r a B is e w a lu S t a r a B a u p a P,,,,,,,,,,,,,
"Sumber: Direktorat Jenderal P2P, 2019",,,,,,,,,,,,,
"Kabupaten/kota di Provinsi Aceh, Lampung, Sumbar, Jatim, DKI Jakarta dan Sumsel sudah",,,,,,,,,,,,,
"banyak yang memiliki puskesmas dengan layanan kesehatan jiwa, salah satunya karena adanya",,,,,,,,,,,,,
"dukungan APBD dalam melakukan pelatihan bagi nakes. Provinsi Kalimantan Tengah, Sulawesi Barat,",,,,,,,,,,,,,
"Jambi, Riau, dan Papua mempunyai kabupaten/kota yang sedikit memiliki puskesmas dengan layanan",,,,,,,,,,,,,
jiwa dikarenakan provinsi tersebut hanya mengadakan pelatihan dengan menggunakan dana,,,,,,,,,,,,,
"dekonsentrasi, yang diadakan di provinsi sehingga puskesmas yang dapat dilibatkan hanya",,,,,,,,,,,,,
sedikit/terbatas. Hingga saat ini semua provinsi sudah memiliki puskesmas dengan layanan jiwa,,,,,,,,,,,,,
walaupun belum mencapai indikator yang ditetapkan.,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,,,,,,,,,,,
,,2014,2015,2016,2017,2018,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,
1,Aceh,337,339,340,341,348,,,,,,,
2,Sumatera Utara,570,571,571,571,581,,,,,,,
3,Sumatera Barat,264,264,264,269,275,,,,,,,
4,Riau,211,212,213,215,216,,,,,,,
5,Jambi,176,176,183,186,195,,,,,,,
6,Sumatera Selatan,321,322,322,322,332,,,,,,,
7,Bengkulu,180,180,180,180,180,,,,,,,
8,Lampung,290,291,292,297,302,,,,,,,
9,Kepulauan Bangka Belitung,61,62,62,63,64,,,,,,,
10,Kepulauan Riau,73,72,73,74,83,,,,,,,
11,DKI Jakarta,340,340,340,340,321,,,,,,,
12,Jawa Barat,1.050,1.050,1.050,1.056,1.069,,,,,,,
13,Jawa Tengah,875,875,875,876,881,,,,,,,
14,DI Yogyakarta,121,121,121,121,121,,,,,,,
15,Jawa Timur,960,960,960,963,967,,,,,,,
16,Banten,231,233,233,233,242,,,,,,,
17,Bali,120,120,120,120,120,,,,,,,
18,Nusa Tenggara Barat,158,158,158,160,166,,,,,,,
19,Nusa Tenggara Timur,370,371,371,372,381,,,,,,,
20,Kalimantan Barat,238,238,238,241,244,,,,,,,
21,Kalimantan Tengah,195,195,195,196,200,,,,,,,
22,Kalimantan Selatan,228,230,230,230,233,,,,,,,
23,Kalimantan Timur,174,174,175,179,183,,,,,,,
24,Kalimantan Utara,48,49,49,49,56,,,,,,,
25,Sulawesi Utara,187,187,188,189,193,,,,,,,
26,Sulawesi Tengah,184,189,189,193,202,,,,,,,
27,Sulawesi Selatan,446,448,448,451,458,,,,,,,
28,Sulawesi Tenggara,269,269,269,274,284,,,,,,,
29,Gorontalo,93,93,93,93,93,,,,,,,
30,Sulawesi Barat,94,94,94,94,94,,,,,,,
31,Maluku,197,199,199,199,208,,,,,,,
32,Maluku Utara,127,127,128,129,134,,,,,,,
33,Papua Barat,149,151,151,155,159,,,,,,,
