,,Targe,t Renstra 20,19 : 90%,,,,,,,,,,,,,,,,,,,,,,,
,,Tar,get Renstra,2019 : 100%,,,,,,,,,,,,,,,,,,,,,,,
,,,9,,,"129,1",,,,,,,,,,,,,,,,,,,,,
,,,,3 80%,,,,,,,,,,,,,,,,,,,,,,,
,,,Target:,80%,,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,,,,,,,,,,,,,,,
1,Aceh,339,340,341,348,359,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,571,571,571,581,601,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,264,264,269,275,275,,,,,,,,,,,,,,,,,,,,,
4,Riau,212,213,215,216,228,,,,,,,,,,,,,,,,,,,,,
5,Jambi,176,183,186,195,205,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,322,322,322,332,341,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,180,180,180,180,179,,,,,,,,,,,,,,,,,,,,,
8,Lampung,291,292,297,302,310,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,62,62,63,64,64,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,72,73,74,83,86,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,340,340,340,321,315,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.050,1.050,1.056,1.069,1.072,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,875,875,876,881,878,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,121,121,121,121,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,960,960,963,967,968,,,,,,,,,,,,,,,,,,,,,
16,Banten,233,233,233,242,243,,,,,,,,,,,,,,,,,,,,,
17,Bali,120,120,120,120,120,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,158,158,160,166,169,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,371,371,372,381,402,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,238,238,241,244,246,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,195,195,196,200,203,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,230,230,230,233,235,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,174,175,179,183,186,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,49,49,49,56,55,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,187,188,189,193,195,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,189,189,193,202,206,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,448,448,451,458,459,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,269,269,274,284,290,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,94,94,94,94,95,,,,,,,,,,,,,,,,,,,,,
31,Maluku,199,199,199,208,209,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,127,128,129,134,147,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,151,151,155,159,159,,,,,,,,,,,,,,,,,,,,,
34,Papua,394,393,394,408,420,,,,,,,,,,,,,,,,,,,,,
Indonesia,,9.754,9.767,9.825,9.993,10.134,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas Rawat Inap,,,,,Jumlah Puskesmas Non Rawat Inap,,,,,,,,,,,,,,,,,,,,
,,2015,2016,2017,2018,2019,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,
